,0
0,Purohit Hospital
1,Surya Sahyadri Hospital
2,Yashda Hospital
3,Vijaymata Hospital
4,Umarji Hospital Shukrawar Peth
5,Samarth Hospital
6,Poona Hospital And Research Centre
7,Morya General Hospital
8,Deccan Hardikar Hospital.
9,baaner jupiter hospital
10,Purohit Hospital
11,Surya Sahyadri Hospital
12,Yashda Hospital
13,Vijaymata Hospital
14,Umarji Hospital Shukrawar Peth
15,Samarth Hospital
16,Poona Hospital And Research Centre
17,Morya General Hospital
18,Deccan Hardikar Hospital.
19,baaner jupiter hospital
20,Umarji Mother and Child Care Hospital(उमरजी माता आणि लहान मुलांचे रुग्णालय)
21,Deccan Hardikar Hospital.
22,Deccan Hardikar Hospital.
23,Shree Samarth Hospital
24,Deendayal Memorial Hospital
25,Manorama Ogale Memorial Hospital
26,Samarth Hospital
27,Purohit Hospital
28,Kamla Nehru Hospital
29,Samarth Hospital
30,Deccan Hardikar Hospital.
31,Purohit Hospital
32,Surya Sahyadri Hospital
33,Yashda Hospital
34,Vijaymata Hospital
35,Umarji Hospital Shukrawar Peth
36,Samarth Hospital
37,Poona Hospital And Research Centre
38,Morya General Hospital
39,Deccan Hardikar Hospital.
40,Deccan Hardikar Hospital.
41,Shree Samarth Hospital
42,Deendayal Memorial Hospital
43,Manorama Ogale Memorial Hospital
44,Samarth Hospital
45,Purohit Hospital
46,Kamla Nehru Hospital
47,Samarth Hospital
48,Suyog Hospital
49,Yashda Hospital
50,Purohit Hospital
51,Surya Sahyadri Hospital
52,Yashda Hospital
53,Vijaymata Hospital
54,Umarji Hospital Shukrawar Peth
55,Samarth Hospital
56,Poona Hospital And Research Centre
57,Morya General Hospital
58,Deccan Hardikar Hospital.
59,Kamla Nehru Hospital
60,Purohit Hospital
61,Surya Sahyadri Hospital
62,Yashda Hospital
63,Vijaymata Hospital
64,Umarji Hospital Shukrawar Peth
65,Samarth Hospital
66,Poona Hospital And Research Centre
67,Morya General Hospital
68,Deccan Hardikar Hospital.
69,Kamla Nehru Hospital
70,Purohit Hospital
71,Surya Sahyadri Hospital
72,Yashda Hospital
73,Umarji Hospital Shukrawar Peth
74,Samarth Hospital
75,Poona Hospital And Research Centre
76,Morya General Hospital
77,Deccan Hardikar Hospital.
78,Kamla Nehru Hospital
79,Deendayal Memorial Hospital
80,Purohit Hospital
81,Surya Sahyadri Hospital
82,Yashda Hospital
83,Umarji Hospital Shukrawar Peth
84,Samarth Hospital
85,Poona Hospital And Research Centre
86,Morya General Hospital
87,Deccan Hardikar Hospital.
88,Kamla Nehru Hospital
89,Deendayal Memorial Hospital
90,Purohit Hospital
91,Surya Sahyadri Hospital
92,Yashda Hospital
93,Vijaymata Hospital
94,Umarji Hospital Shukrawar Peth
95,Samarth Hospital
96,Poona Hospital And Research Centre
97,Morya General Hospital
98,Deccan Hardikar Hospital.
99,baaner jupiter hospital
100,Purohit Hospital
101,Surya Sahyadri Hospital
102,Yashda Hospital
103,Vijaymata Hospital
104,Umarji Hospital Shukrawar Peth
105,Samarth Hospital
106,Poona Hospital And Research Centre
107,Morya General Hospital
108,Deccan Hardikar Hospital.
109,baaner jupiter hospital
110,Purohit Hospital
111,Surya Sahyadri Hospital
112,Yashda Hospital
113,Vijaymata Hospital
114,Umarji Hospital Shukrawar Peth
115,Samarth Hospital
116,Poona Hospital And Research Centre
117,Morya General Hospital
118,Deccan Hardikar Hospital.
119,sadar hosptial
120,Purohit Hospital
121,Surya Sahyadri Hospital
122,Yashda Hospital
123,Vijaymata Hospital
124,Umarji Hospital Shukrawar Peth
125,Samarth Hospital
126,Poona Hospital And Research Centre
127,Morya General Hospital
128,Deccan Hardikar Hospital.
129,Kamla Nehru Hospital
130,Purohit Hospital
131,Surya Sahyadri Hospital
132,Yashda Hospital
133,Vijaymata Hospital
134,Umarji Hospital Shukrawar Peth
135,Samarth Hospital
136,Poona Hospital And Research Centre
137,Morya General Hospital
138,Deccan Hardikar Hospital.
139,Kamla Nehru Hospital
140,Purohit Hospital
141,Surya Sahyadri Hospital
142,Yashda Hospital
143,Vijaymata Hospital
144,Umarji Hospital Shukrawar Peth
145,Samarth Hospital
146,Poona Hospital And Research Centre
147,Morya General Hospital
148,Deccan Hardikar Hospital.
149,baaner jupiter hospital
150,Purohit Hospital
151,Surya Sahyadri Hospital
152,Yashda Hospital
153,Vijaymata Hospital
154,Umarji Hospital Shukrawar Peth
155,Samarth Hospital
156,Poona Hospital And Research Centre
157,Morya General Hospital
158,Deccan Hardikar Hospital.
159,baaner jupiter hospital
160,Purohit Hospital
161,Surya Sahyadri Hospital
162,Yashda Hospital
163,Umarji Hospital Shukrawar Peth
164,Samarth Hospital
165,Poona Hospital And Research Centre
166,Morya General Hospital
167,Deccan Hardikar Hospital.
168,Kamla Nehru Hospital
169,Deendayal Memorial Hospital
170,Purohit Hospital
171,Surya Sahyadri Hospital
172,Yashda Hospital
173,Vijaymata Hospital
174,Umarji Hospital Shukrawar Peth
175,Samarth Hospital
176,Poona Hospital And Research Centre
177,Morya General Hospital
178,Deccan Hardikar Hospital.
179,baaner jupiter hospital
