Rating,Review
5 stars,"This hospital is best which I've ever seen. Dr. Rahul Birajdar Sir is just awesome. All the hospital staff is best including IPD, OPD, Reception, Sisters, Maushi, Medical shop. They take of your patient very carefully. No needs to rush for bringing medicines as they have their own medical shop in IPD area and you will get discount on all medicines. Clean and hygiene area, availability of parking, fresh and airy atmosphere. Also rates are very reasonable. I personally appreciate Dr. Rahul Sir because they explain our each and every doubts in details. Perfect diagnosis. Also they have their own pathology lab, ICU beds. Thx a lot to #TeamAnujaHospital and best wishes for future. "
5 stars,Very good Hospital..very good facility and Very good staff...Thank you Dr Rahul for accurate diagnosis and treatment to my Father. Also provide clarity on daily basis on undergoing treatment ... Compare to big hospiral..charges are also reasonable. Highly recommend Anuja hospital specially in Dhayari area. Thank you 
5 stars,"Dr. Rahul Birajdar is extremally talented doctor. He treated me very well when i was admitted in his hospital. I recommended him to my friends as well. Staff extremely polite which i have never seen in any hospital. Recommending for BP, cardiac related issues. "
5 stars,"Dr Rahul Birajdar sir and The complete staff in Anuja hospital are best. Best part which I specially like is the way they treat their patient is the best. Me and my wife spent 7 days at Anuja hospital for covid treatment but never felt that we are alone and no one is helping out. They took best care of me and my wife. Even after when my father and my brother was got affected by covid 2 months before so they both also got very good treatment from Dr.Rahul sir at Anuja hospital. All my family members are thanking you Dr. Rahul Sir and complete staff of Anuja hospital.

Thanks for all the support and care Anuja hospital has shown...! "
5 stars,"I have had a great experience with all my ailments and the best cure, treatment provided in time. Dr. Rahul, Dr. Namrata and Dr, Mote extend their hand as always with much knowledge and affection. I feel obliged. They are too good. "
5 stars,"Thank you Dr. Suryakant and Dr.Rahul. Dr. Suryakant is very senior and highly experienced doctor.
Both are very accurate about their diagnosis.
My father as well as myself & my wife both are treated by Dr. Rahul.
Anuja Hospital at Dhayari is the correct choice for every diagnosis. "
5 stars,Excellent hospital. Doctors are having in depth knowledge. Documentation system is well and self driven. Entire staff is caring and attentive. I personally feel to give five out of five star rating to this hospital 
5 stars,"Recently underwent covid treatment under Doctor Rahul's guidance. It was not only for me but also for my in-law. Doctor Rahul and Doctor Suryakant were exactly knew type of treatment they want to propose.  Their simple thumb rule is that DO NOT PRESCRIBE ANTIBIOTICS UNLESS IT IS MUST. Even for my in-law, due to age factor,  he ensured only required antibiotics to begiven for 1st seven days and based on condition,  he literally stopped all and prescribed only multivitamins. Important observation is, Doctor and nurse staff are very polite, calm, always approachable, and keep you motivating. I would strongly suggest to seek Doctor Rahul or Doctor Suryakant guidance for covid case. "
1 star,Treatment and medicine provided for kidney stone is not appropriate which will reduce paind. Also sonography was not clear. Rates are high for such sonography. 
5 stars,Namrata mam is absolutely good.. She gives genuine treatment.. Perfectly fine and Sastified with her consultation.. 
4 stars,Dr Rahul Birajdar treatment is always on track... Quick and correct diagnosis with right line of treatment. 
5 stars,"I am very much thankful to you for giving me on line consultation. It is because of your help that I have gone through this tough time, and recovered fast.
I will definitely recommend to my friends and relatives. "
5 stars,"Best hospital in Dhayari. Doctors put their heart and soul to treat the patient. They explain you everything. Staff is also very friendly, helpful and punctual. "
5 stars,Very much thankful to Dr Namrata Birajdar mam and entire team of Anuja hospital for providing excellent service in difficult times.. Thanks a lot 
1 star,I was admitted here..my situation became worst day by day..staff was not supportive.my health becomes worst so den i shifted to another hospital..and im fine there..anuja hospital unable to dignost my problem..they just continue gave me medicines n saline day n night...which was not good at all...worst experience..painful experience.. 
4 stars,I am opd petiont at this hospital since 4 to 5 years and good going on. 
1 star,My sister was admitted at this place and treatment was not effective that we had to shift her to the another hospital.The service and facility they provide are not worth the money..Staff is also not supportive. 
3 stars,"I didn't visit but was in auto so don't know details.
Thanks and apologize...but...One Pic talks many words...!! So please read details on pic. Thx. "
1 star,No service in case of emergency 
5 stars,Very careful doctor & staff also very helpful and poliet 
4 stars,"Nice & clean place, good service, helpful staff "
5 stars,Ok 
5 stars,Very good service 
5 stars,Best Hospital in Dhayri 
5 stars,Good Doctors and supporting staff 
5 stars,Nice hospital 👍 … 
5 stars,Good Hospital 
4 stars,"Anuja Hospital
Umberya Ganpati Chowk
Dhairi Pune 41.

I am Mr. Dr. Sunil Prabhakar Ambike, on behalf of my family. Suryakant Birajdar, Dr. I am deeply indebted to Rahul Birajdar and all the Anuja Hospital staff for their care during my admission in the hospital.

Actually we Punekars believe in only 2-3 reputed hospitals. None of them gave us any reference to the hospital. So I was a little scared. But as it was close to home and convenient and after talking to the doctors we had confidence in them so we decided to get admitted here.

Timely care by our staff, and the cleanliness of the hospital, earned our trust. Also, due to the positive environment here, the doctors and polite and prompt sisters gave proper guidance and support to my relatives from time to time. This helped a lot in improving my health quickly. Mainly we were not rushed as all lab tests, facilities are available there.

May this vow of patient service always continue from us, this goodwill 💐💐

your

Sunil Ambike "
5 stars,None
4 stars,None
5 stars,None
5 stars,None
4 stars,None
5 stars,None
1 star,None
4 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
1 star,None
5 stars,None
1 star,None
5 stars,None
2 stars,None
5 stars,None
