Rating,Review
5 stars,Such a great experience. Very friendly staff and compassionate doctors and nurses. They Take all the time to go over our questions.They offer best medical services and professional care. I highly recommend Aadhar hospital.. 
5 stars,"We visited the Dental dept. Managed by Dr. Apurva Mahajan.... She is a gem of a person ... Very professional... Knowledgeable... & having expertise in her area! & the staff is very cooperative.
Highly recommended for any dental issues... We have had a great experience and got satisfactory results as expected! "
5 stars,Deeply appreciate Doctor and all the staff`s who took care of  important role for our baby's birth. From the first consultation till the delivery of our baby we had a very comfortable and happy journey. Appreciate your depth knowledge about the treatment for handling pregnancy in an ideal way and friendly nature. Thank you very much !! 
5 stars,"We had a good experience of Aadhar Hospital. Dr. Suvarna Patil ma'am is very supportive and the best gyneocologist. Staff, Sisters are very supportive. "
5 stars,"I was trying to conceive baby from last 3 yrs but treatment of different drs not works finally i got best gynaecologist in last yr dr suvarna patil who treated me just for 1 month and i conceived though i am prediabetic.I never see such dr who is too understanding,polite and must imp loyal with her profession.I must say anyone can blindly beleive her 😊 "
1 star,"I used this hospital for my employee, we were going  for small accident  near by this hospital,  doctor suggest for stiches due to non stop blood from leg, he didn’t clean the area of stiches and he stitches with small rock in the leg and doctor stiches with it , after 10 days when stiches remove he didn’t looked and after 12 days my employee got high fever, then we go another doctor then we found rock in leg where Aadhar hospitals doctor stiches, “ न शिकलेले "
5 stars,"Dr suvarna patil Treatment is good, staff is supportive. Dr supports a lot. "
4 stars,Best doctors are here. Consulting fees are higher than others. Staff is also good. 
5 stars,Doctor Mahajan And Team is very professional. All Staff is good. I had positive experience for my kids hospitalization recently.  They also help on filing Mediclaim based on your policy requirements. 
5 stars,"Very good hospital,  Good treatment from  doctors (Dr.Sawant Dr.pukhe Dr.chopra) "
5 stars,"My brother was admitted for dengue fever, Doctors and helping staff was excellent and treated nicely to get well.
Mavsi and housekeeping staff was polite.Nobady wants to get sick and hospitalised but still it was good to have such hospital in hadapsar area.
Thank you Aadhar hospital. "
5 stars,"We have Great Experience with Aadhar Hospital.Staff is very cooperative and polite. Thank you Dr.Suvarna Patil mam for wonderful work. We are happy that chosen and would recommend definitely to others.
Thanks Again !! "
1 star,"Worst hospital, no value of patients only they want consultation fees, Dr are calling revisits to patient only for fees. Even Dr are not responding calls, receiptionist are very rude and pathetic staff, terrible experience. Dr suvarna patil.. only money is important. All they are hungry for money. "
5 stars,"Service is very good in Aadhar Hospital.
Doctors, sisters, brothers, housekeeping staff... everyone is very good, supportive and caring.
Thank you all for great service. "
5 stars,"Best hospital in Hadapsar area.
Dr.sawant and Dr.pukhe both are very caring and supportive. "
1 star,One of the fraud hospital in Hadapsar area.. hospital is operational only for money..no care of patients 
5 stars,Perfect team of doctors. Perfect diagnosis and treatment.. Good job 
5 stars,"Aadhar Hospital  is one of the best hospital in Hadapsar providing various facilities to all type of patients.Very well equipped,clean,well maintained hospital. Doctors are very experienced with excellent way of handling patients. Thanku Aadhar hospital. "
1 star,Worst hospital..my brother met an accident at 12 in night.. Since it was raining his wounds was not clearly visible..but Dr without check told to take him to another hospital we will not take him.... They don't even bother to check...luckly we got another hospital and after taking treatment we came back to that hospital for asking why they have not checked him.... They could not recognize him and said that patient was very serious and required ventilator.... There license should be cancelled as they really are not for emergency situation. 
1 star,"Very poor experience post care after delivery. In case of emergency also no special attention is received by doctor. The patient had cold and fever with sever pain in abdomen and got admit into hospital but no attention is given by doctor more than an hour. So finally we decide to shift to some other hospital.
Very painful experience. 😣 "
