Rating,Review
1 star,"Unprofessional ..
Doesn't understand the meaning of emergency.
Doesn't care about the patient's pain. "
5 stars,Satisfied with care taken. Experienced team of doctors and all in one place. Best clinic in Dhayari. 
5 stars,"Hospital is very clean and neat. Affordable for common people, handle patients very delicately.staff had good experience to handle the patients in critical condition, very hygienic and clean cafeteria,  staff is very active to help the people,  very good security system all the area covered with CCTV cameras. experience doctors available for any emergency situations, Overall it's very good experience. "
5 stars,They have an homeopathic clinic too. Safe for children care. Reasonable fees. Steamer is also available at nominal fee for cold symptoms. Special reward points for patients. Caring and supporting staff. One thing I found interesting is they call you for follow-up (To see if the patient is feeling better. Even if miss to show up on follow up date). 
2 stars,"Extremely dusty as it is located beside the main road carrying hundreds of trucks and buses every hour.
Most of the doctors are MDs but not experienced. Service is very good interms of registration, follow ups, availability of doctors etc. It may have bright future but should maintain cleanliness and focus on few things instead of all under same roof approach. "
5 stars,"Excellent hospital and services,staff also  well behaved. very neat and clean ,the doctor and supervisors were extremely prompt and polite. "
5 stars,I use to go all the way to my doctor in city but i tried once and  have forgotten my doctor in city ..overall HAPPY with the kind they treat the patients and they also don't prescribe unnecessary medicines like other doctors do ..keep up the good work team Amc. 
5 stars,Extremely very good services provides by this Hospital. Also Doctors & other team are Good & well Experienced. 
5 stars,"Most reliable,no need to take second opinion,give you trustful suggestions,treat you as patient not as customer (now a days missing),right suggestions,
Highly recommended if you want right treatment with appropriate fees,go for it. "
5 stars,Excellent service. Very good team of doctors and support staff 
1 star,"Very bad experience, don't provide discount, excuses are given that receptionist not available, so to avail discount we have revisit and everything is as per there conveniences. "
5 stars,"doctors and other  staffs are experienced  and hospital is very clean ,overall service is very good. "
4 stars,This is multispeciality hospital. Dr Anmol is very talented and listen to you patiently and diagnosis very well. 
5 stars,Very nicely maintained clinic. professional team of doctors. 
5 stars,"Amazing experience with Anmol Multispeciality, all time. Good services "
5 stars,Excellent service 👏 … 
5 stars,Best family physician at Dhayari 
5 stars,Good Facility And Very Nice Hospital. 
5 stars,"Happy with Doctor friendliness, Explanation of the health issue, treatment satisfaction "
5 stars,Excellent services with highly qualified faculty. 
5 stars,Very good hospitality & good services 
5 stars,all doctors are experienced and good.. 
5 stars,"Caring, well trained staff and excellent doctors "
5 stars,Best service with on time appointment reminders.. 
5 stars,Very good services 
5 stars,excellent doctors team 
5 stars,Excellence doctors team... 
5 stars,Good Facility. 
5 stars,nice 
3 stars,Best 
5 stars,Anmol 
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
3 stars,None
1 star,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
3 stars,None
3 stars,None
5 stars,None
