Rating,Review
4 stars,"Hospital staff is very supportive and well manared. Cleanliness is upto the mark.

One suggestion:- Please update hospital's contact number. It is currently out of service.

Keep up the Good work. "
5 stars,"Nice hospital with all advance facility like operation theater.
Staff is cooperative, kind and attentive.
Best class of support. "
5 stars,Had a wonderful experience very gud surgeons And the staff was very kind. Nice infra a good team of drs. And Operation Theater is osm as well. 
5 stars,"Excellent and knowledgeable Surgeons
Good staff and very clean "
1 star,"He is a third class doctor.He is a typical businessman who operates patients for earning money even if they are not required a surgery.And once you go through the operation procedure,he will not even pick up your phone and his whole staff will make excuses.They do not care about the condition of patient once surgery is done .Dr Anil Gandhi is a biggest liar.These kind of doctors must be punished by the law.He has no social and moral responsibilities towards his patients.And REST IN PEACE his operation skills. "
5 stars,Dr anil Gandhi sir is very experienced n good dr 
5 stars,"Great  service  , thoroughly  professional  , "
5 stars,Good hospital and best service 
5 stars,Excellent experienced surgeon 
5 stars,"Positive review, I and my 5 family members were admitted, received very good treatment, efficient doctors, nurses and staff, understood the problem and solved it, Thank you very much, team Anup Hospital🙏 "
5 stars,None
5 stars,None
