Rating,Review
5 stars,"Patient Result is very good,  All facilities available, 24 Hr services available...ICU, IPD, OPD, OT, Medical, Pathology...All Doctors & all staff caring, helping, co-operative. Essential services available, all Multispeciality treatments with discount...Medicine, Ortho, Gynecologist, Dermatologist, panchkarma, Cancer, Paediatric, all specialist doctors available . "
5 stars,"Apollo Manjari Hospital Is Very Very Good
All facilities Available 24 hvrs staff available.
All Blood Test Available By 20% Discount
Available Doctor's 24 Hvrs "
5 stars,"Only one multi speciality hospital in manjari and on Hadapsar- wagholi link road (18km) , which is well equipped and all facilities available including multiple opd, Casulity, operation theaters, ICU, General ward, special and Deluxe room, pathological lab, medical stores, all services available for 24x7 , all doctors and hospital staff are caring and cooperative, treatment geniune and ethical with affordable charges, ALL MEDICLAIM POLICY facilities available....... Thank you Apollo-manjari multi-specialty hospital manjari 🙏🙏👍 "
5 stars,Staff are good service and hospility are also very impressive 
5 stars,Very nice 
5 stars,None
5 stars,None
1 star,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
4 stars,None
