Rating,Review
5 stars,It is a very nice hospital. All the staff are very smart and good. Dr. Abhish sir and Pawan sir gave very good treatment and advice to me and my patient. I am very thankful to them. 
5 stars,Dr. Abhish Bhujbal Sir very good doctor. And all staff very nice. My patient is very happy for treatment and services. 
5 stars,"The hospital provides a very well treatment to its patient . it also has a clean ambiance and the nurse  are cooperative. The doctor are really helpful, soft spoken, supportive .they treat the patient with care . they have different for the treatment also have one of the best team of doctors. Bhujbal  to all the health problems is bhujbal hospital. "
5 stars,I have been visiting Bhujbal Hospital for my mother's treatment for several years . Dr Bhujbal has been providing a very good treatment to her . The staff is very co operative .due to personal attention my mother gets a  very comfortable feeling. Over all a very good hospital 
1 star,"Dr. Abhilash sharing lie information to patients family. Not the experience doctor. And not co-operating at all. He is scaring to patients family and showing wrong direction of the process. He's accountant pavan, doesn't know the things about the patients and following his doctor to telling lie information. Not recommended to anyone to go in this hospital. "
5 stars,Bhujbal Hospital is very nice Hospital and All staff. Specially thank Dr abhish Bhujbal sir. He is best diabetologist. 
5 stars,It is very good hospital and staff . Especially Dr.abhish bhujbal treatment helped alot for recovery. Management is very good 
5 stars,"Hospital and staff very nice , support my patient . Thanku Bhujbal hospital and team. "
5 stars,Very superb Dr and all staff . Good care my patient and treat . Thanks dr abhish sir and team. 
5 stars,Superb hospital and all staff support to my patient. Specially thanks Dr. abhish sir and admin Pavan sir. 
4 stars,Very effective treatment of Dr. Abhish bhujbal sir is very polite while counseling pt. Staff is very attentive. 
5 stars,Thanks Dr abhish sir and team. My patient are happy for treatment and management. Good care my patient. 
5 stars,"Very superb Hospital and staff , Doctor . Support my patient and good treatment. "
5 stars,Nice staff and hospital. Especially Dr Abhish's treatment helped alot for recovery. 
5 stars,Had a great experience with the doctor. Thank you dr bhujbal! 
5 stars,Nice treatment by Dr Abhish sir for diabetology thanks Sir 🙂 … 
5 stars,Very nice and clean hospital. Good care my patient and treatment. Thanku Dr. Abhish sir and Bhujbal team. 
5 stars,Staff and nurses are very co operative...clean environment and prompt service. 
1 star,None
5 stars,None
5 stars,None
