<<<<<<< HEAD
Rating,Review
5 stars,Dr Borikar treats like a pro....his techniques n methods are really curing 
5 stars,I have been invited for 2 years thank you doctor Borikar. 
5 stars,None
5 stars,None
5 stars,None
1 star,None
4 stars,None
4 stars,None
5 stars,None
1 star,None
5 stars,None
=======
Rating,Review
5 stars,Dr Borikar treats like a pro....his techniques n methods are really curing 
5 stars,I have been invited for 2 years thank you doctor Borikar. 
5 stars,None
5 stars,None
5 stars,None
1 star,None
4 stars,None
4 stars,None
5 stars,None
1 star,None
5 stars,None
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
