<<<<<<< HEAD
Rating,Review
1 star,"Very bad service staff is very rude. Nurses
Doctors give adults medicine to babies my baby was in pain full night bcoz of this. Very bad experience. "
4 stars,"Staff is very rude like we are nothing for them.
Special thanks to Nighot mam and Rohini mam for there attention towards the patient.
Hospital is known for Normal delivery. "
1 star,"Pathetic experience, 😓staff is so rude in behavior like we r nothing for them,only we r needful. No proper alignment for weight check height check nd personal details fill up of baby. Main doctors are so good mr. N Mrs. Nighot, deolekar mam all are the best. But new cm staff is horrible. … "
4 stars,"Very good experience during the hospitalization.  Caring staff, dedicated doctors to the duty, bill amount is also less as compare to the big hospitals. "
5 stars,So good hospital staff is also good known for noramal delivery 
5 stars,"Very good hospital
Excellent staff
Affordable price
Good serice "
5 stars,Excellent hospital ever there is online payment all facilities nurses are good nighot madam is best.app is also there very good 
5 stars,"Very good hospital for Normal delivery. Worth for money.
Thank you Dr Sangita Deolekar & Dr Nighot madam for all support. "
1 star,Doctors Do not have punctuality. They will not meet you on time. You need wait for 1-2 hrs. 
1 star,worst hospital ever visited hospital now but there was no doctor to check my niece and the hospital says it is open for 24 hrs what is use if there is no doctor to check? 
5 stars,Thank you very much for ur dedicated work towords humal health... 
5 stars,"Very good hospital for normal delivery. Dr.Sangita Devlekar ,Dr. Nighot "
5 stars,"Good hospital
Hospital staff is good
Price is affordable "
4 stars,Nice hospital. I really good experience with this hospital. 
5 stars,"Very good hospital
Hospital staff is good
Affordable price "
1 star,"Customer service is worst. Even if its your turn, they call people who came after you. "
5 stars,"Very good hospital
Excellent hospital
Good staff "
1 star,Very pathetic conditions......only cash accepted........don't know in which era is this and which location hospital is existing.....now a time even cashless facility is available in a tea stall and pan shop .......this is the second visit experience is same. 
1 star,"I came across very bad experience here, will never go again to this hospital. "
5 stars,"Very good experience with Dr. Sangita Devale.
Good for Normal delivery. "
5 stars,A hospital where u trust and complete solutions of ur health problems.... In this area popular hospital 
1 star,Cctv doesn't work.....no security for patient or new born and mother 
3 stars,Good experience with Dr. Sangita Deva lekar. 
5 stars,Nice 🙂 … 
5 stars,Good hospital excellent staff 
5 stars,"Excellent staff
Good service "
5 stars,Good hospital 
1 star,Poor punctuality of admin 
4 stars,Good 
5 stars,Very nice excellent 
5 stars,Nice hospital 
4 stars,Good for Children 
1 star,Unhygienic 
5 stars,Good service 
3 stars,Average service 
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
4 stars,None
3 stars,None
5 stars,None
4 stars,None
5 stars,None
5 stars,None
4 stars,None
5 stars,None
5 stars,None
5 stars,None
3 stars,None
1 star,None
5 stars,None
=======
Rating,Review
1 star,"Very bad service staff is very rude. Nurses
Doctors give adults medicine to babies my baby was in pain full night bcoz of this. Very bad experience. "
4 stars,"Staff is very rude like we are nothing for them.
Special thanks to Nighot mam and Rohini mam for there attention towards the patient.
Hospital is known for Normal delivery. "
1 star,"Pathetic experience, 😓staff is so rude in behavior like we r nothing for them,only we r needful. No proper alignment for weight check height check nd personal details fill up of baby. Main doctors are so good mr. N Mrs. Nighot, deolekar mam all are the best. But new cm staff is horrible. … "
4 stars,"Very good experience during the hospitalization.  Caring staff, dedicated doctors to the duty, bill amount is also less as compare to the big hospitals. "
5 stars,So good hospital staff is also good known for noramal delivery 
5 stars,"Very good hospital
Excellent staff
Affordable price
Good serice "
5 stars,Excellent hospital ever there is online payment all facilities nurses are good nighot madam is best.app is also there very good 
5 stars,"Very good hospital for Normal delivery. Worth for money.
Thank you Dr Sangita Deolekar & Dr Nighot madam for all support. "
1 star,Doctors Do not have punctuality. They will not meet you on time. You need wait for 1-2 hrs. 
1 star,worst hospital ever visited hospital now but there was no doctor to check my niece and the hospital says it is open for 24 hrs what is use if there is no doctor to check? 
5 stars,Thank you very much for ur dedicated work towords humal health... 
5 stars,"Very good hospital for normal delivery. Dr.Sangita Devlekar ,Dr. Nighot "
5 stars,"Good hospital
Hospital staff is good
Price is affordable "
4 stars,Nice hospital. I really good experience with this hospital. 
5 stars,"Very good hospital
Hospital staff is good
Affordable price "
1 star,"Customer service is worst. Even if its your turn, they call people who came after you. "
5 stars,"Very good hospital
Excellent hospital
Good staff "
1 star,Very pathetic conditions......only cash accepted........don't know in which era is this and which location hospital is existing.....now a time even cashless facility is available in a tea stall and pan shop .......this is the second visit experience is same. 
1 star,"I came across very bad experience here, will never go again to this hospital. "
5 stars,"Very good experience with Dr. Sangita Devale.
Good for Normal delivery. "
5 stars,A hospital where u trust and complete solutions of ur health problems.... In this area popular hospital 
1 star,Cctv doesn't work.....no security for patient or new born and mother 
3 stars,Good experience with Dr. Sangita Deva lekar. 
5 stars,Nice 🙂 … 
5 stars,Good hospital excellent staff 
5 stars,"Excellent staff
Good service "
5 stars,Good hospital 
1 star,Poor punctuality of admin 
4 stars,Good 
5 stars,Very nice excellent 
5 stars,Nice hospital 
4 stars,Good for Children 
1 star,Unhygienic 
5 stars,Good service 
3 stars,Average service 
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
4 stars,None
3 stars,None
5 stars,None
4 stars,None
5 stars,None
5 stars,None
4 stars,None
5 stars,None
5 stars,None
5 stars,None
3 stars,None
1 star,None
5 stars,None
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
