Rating,Review
1 star,They just want money. 3 salines cost me 8k. So please think before you go. The staff & doctor are also not cooperative. Please choose better option than City hospital 
5 stars,"Very nice experience , proactive and well attended staff , not behind money at all . Treated me very well for Covid . Much better than high funda showoff hospital . "
1 star,"Very worst experience I had...plz don't go in this Hospital specially those who had bone injury or fracture, coz theirs orthopedic Dr.is not Punctual any more. And he is very careless, I lost my money...plz do not enter in this Hospital..... "
5 stars,"Nice treatment, all staff behaviour like family members.& Dr. Suryavanshi is very nice person & very talented Doctor.
City hospital thank you so much for good service.🙏 … "
1 star,"Worst, pathetic very poor experience, very third class only and only focus on money. Not at all management no facilities we have suffered a lot due to this hospital. I request everyone please don't visit this hospital. If you want your loved would be cured and treated well then never go to this hospital. Lootlenge saale. "
1 star,"Worst experience, I pray, the hospital administration get the same critical treatment they are offering to others when they need it. Do not trust the word of any person working here if you are looking for critical care/treatment. "
5 stars,"One of the best hospital by service & quality.
Staff is also good & friendly. "
5 stars,It's a very good hospital with very good and experienced doctor. 
5 stars,"Its very nice Hospital by service and professional staff

Regionable charges with excellent treatment "
1 star,Not good hospital only focus on money 
1 star,Unethical. They just want to make money. 
5 stars,Like 
1 star,Doctor left before i came there i thing that was lie 
4 stars,NA 
3 stars,Located near kachara depo …  More
4 stars,None
3 stars,None
3 stars,None
5 stars,None
5 stars,None
5 stars,None
1 star,None
4 stars,None
1 star,None
4 stars,None
5 stars,None
5 stars,None
5 stars,None
4 stars,None
