<<<<<<< HEAD
Rating,Review
5 stars,I visited to this clinic today to cunsult with Dr. Gawande gynachologist for my checkup my experiance was very good i really liked the way doctor communicates with the patient and he answered my every minute querries also.and he thorrowly checked me and gave me a very good guidance. I really appreciate it and anyone who have problem and thinks like mens doctor cant understand our feelings so dont hesitate Dr gawande is the best person for you 
1 star,"This hospital is a door to death, they won't give the patients food to eat and will treat patients like beggar and not provide proper facilities. Will not recommend this hospital. "
1 star,This is one of the worst hospital in sinhagad road and as well as in Pune. My father is the patient of diabetes. The doctor Patil suggested various tests. Which were totally useless. They also prescribed several medicines which were not even available in there medical. My father was called for the test at 3:30 p.m. but the man who was supposed to come for conducting the test arrived at almost at 6:00 P.M. they  will let you setting for long hours. They will collect all the fees in advance. And will provide worst services. 
5 stars,Doctor consultations is very good. I'm happy with that. 
=======
Rating,Review
5 stars,I visited to this clinic today to cunsult with Dr. Gawande gynachologist for my checkup my experiance was very good i really liked the way doctor communicates with the patient and he answered my every minute querries also.and he thorrowly checked me and gave me a very good guidance. I really appreciate it and anyone who have problem and thinks like mens doctor cant understand our feelings so dont hesitate Dr gawande is the best person for you 
1 star,"This hospital is a door to death, they won't give the patients food to eat and will treat patients like beggar and not provide proper facilities. Will not recommend this hospital. "
1 star,This is one of the worst hospital in sinhagad road and as well as in Pune. My father is the patient of diabetes. The doctor Patil suggested various tests. Which were totally useless. They also prescribed several medicines which were not even available in there medical. My father was called for the test at 3:30 p.m. but the man who was supposed to come for conducting the test arrived at almost at 6:00 P.M. they  will let you setting for long hours. They will collect all the fees in advance. And will provide worst services. 
5 stars,Doctor consultations is very good. I'm happy with that. 
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
1 star,"Dr is very rude, he prescribe medicines which you will not able to buy from any other pharmacies.

Pharmacist will not give single penny of discount on even surgical items. Only money making business nothing else.

Dr prescribed many tests for minor disease, which got cured by few antibiotics. Due to lockdown, we preferred this hospital which was near to our house, but our decision was wrong.

<<<<<<< HEAD
Our family doctor suggested to ask for discharge earliest & he prescribed few antibiotics only. "
1 star,Service is not good. Staff response is so slow. ...... Careless staff 
=======
Our family doctor suggested to ask for discharge earliest & he prescribed few antibiotics only. "
1 star,Service is not good. Staff response is so slow. ...... Careless staff 
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
