Rating,Review
5 stars,Very less charges polite staff thanks to Dr.saud and sisters like ms.sonali and Mrs.muskan 
5 stars,"Very good Dr team and nurse
All facalit
Ortho …  More"
1 star,Treatment is very bad and price is very Haye so bad hospital in kondhwa 
5 stars,Very good Dr saud Ahmad 
1 star,Irresponsive doctors. Attitude of nurses are like Surgeons. I removed stitches and they charge me 200 Rs per stich to remove. Please do not consult such hospitals. 
5 stars,A renowned hospital with a great pannel of doctors and helpful & friendly staff. Offers various facilities. The premises is very clean and tidy. 
5 stars,Very good hospital 
4 stars,Good hospitality services 
1 star,Very bad experience 
5 stars,"Very good experience
Expert and qualified doctors available
One of very few places in kondhwa with MBBS doctors available. "
5 stars,"Actually I am from usmanabad & had injuries in hand and hospitalised in global health care, kondhwa very much happy with caring staff not even feel that I am 300 Km far from usmanabad Thanks Global health care team(Dr.saud) "
5 stars,"Had admitted my dad suffering due to enzyme, lower BP and fever.
Dr Saud took a great care along with Dr Imran with his best expertise. Hospital and hospitality are on top notch.
Finally met with the doctor who listens to the patient and patients family with patience and also gives a transparency with the treatment and on going medication.
Though the hospital is of 7 beds but the treatment is worth appreciable. "
5 stars,None
1 star,None
5 stars,None
4 stars,None
