Rating,Review
5 stars,"Hospital is very nice and clean. Doctor Sanap and the whole staff is very kind and courteous. Nursing staff is also very skilled, kind and courteous. My daughter's platelet count had dipped to 34 thousand due to dengue. Doctor helped my daughter to recover faster within 4 days. "
5 stars,Dr. Sanap is the best. He personally takes interest in treating all his patients. My father is alive all thanks to him. The hospital staff is wonderful and very helpful. It's a completely equipped hospital. Highly recommend!! 
5 stars,"My wife is admitted for dengue fever.she was admitted in ICU due to sever decrease in plt.but she recovered very nicely due to genuine hospital efforts.good services.friendly staff and dr. Specially dr sanap is so much cooperative to all pt.happy personality.highly recommended.all companies are cashless in this hospital. Once again thank you dr sanap,dr kulkarni and all staff "
4 stars,"Hospital is very clean and calm, nursing staff is also very cooperative "
5 stars,Very good hospital and staffing Dr Vivekananda sir very serious treatment  and kajal sister'and pranali sister good appreciate 😊 … 
5 stars,Got best treatment and really good n doctors are the best even nurses here are really good thank you for the treatment we cashless treatment n the credit goes to doctor . 
5 stars,"Got my mother admitted for right side paralysis due to reduced blood sugar levels. The Hospital management and staff were very helpful right from shifting her to the hospital to giving her personalized treatment..was admitted for 7 days, returning home fully fine. Thanks to Dr. SANAP ,Dr. Kulkarni and the entire team for taking care of her well. "
5 stars,"I am very thankful to H3 hospital and Dr Sanapsir n Dr. Kulkarni sir for curing my husband from Dengue  with his skillful treatment... Good environment n it's vry clean hospital..
Nursing Staff is excellent and dedicated. Housekeeping is very good. Doctors are professional and gave confidence to the patients...Please keep up the good work👍.. I highly recommend this Hospital🏥⭐⭐⭐⭐⭐ "
5 stars,Horizon health hospital H3 is the best hospital in phursungi area. all Dr staff very informative and cooperative.. I am taking my and my family treatment in this hospital since 2 yrs.knowing the owner Dr sanap since 4 yrs..he is very senciour in his job...and geniune result..thank you 
1 star,"Very worst experience, too much expensive for useless service. Can't even give 1 star also.

Dr. Sanap was not supportive, he has opened his hospital only for earn money, poor sanitation. No water facility in washroom, faulty air conditioning.
They don't allow to bring medicine from outside, and not provide discount on in house medicines.
No In house doctor available at any time. They called doctors from outside for visit purpose only.
They don't have nursing staff.

Not recommended at all!! "
5 stars,My Son Naushad 5 yrs old was suffering with high feaver since 4 days. My friend David recommend the hospital Dr Sanap and team helped treat my Son he got a speedy recovery by grace of Allah thanks Dr Sanap for all your help and support! 
4 stars,"I take dengue treatment here.
Treated well, nice staff. Good experienced doctor team. "
5 stars,"I was admitted here for my kidney stone surgery.
Very good facility, very supportive and professional staff, doctors are very good and encourage every patient with positivity.
Highly recommended.
Thank you for your best service Dr Vivekananda Sanap. "
5 stars,"I m very grateful to dr. Sanap for speedy recovery of my father from covid 19, My father was not ready mentally for treatment, he was not giving any kind of response to treatment but dr. Sanap made it possible. The staff was very kind and helpful, hygiene was also up to the mark, overall experience was good, if anyone looking to take treatment here its highly recommended "
