Rating,Review
5 stars,"All the doctors of Jeevan Uday hospital especially Mr Ghiya and Mr Kumar are very experienced, polite and helpful. The hospital is well equipped with the latest equipment's required for treatment of the patients. Their staff is also very welcoming and helpful and you will notice cleanliness in the hospital. Their charges are affordable as compared to other expensive hospitals in the Sinhgad area. Importantly they attend the patients even on holidays and in emergency as they live nearby. Overall it is a  great hospital that offer high-quality healthcare services at affordable prices hence highly recommended to everyone. "
5 stars,"Very good hospital, dr dnyaneshwar and Dr Ganesh are very helpful and cooperative, staff is also good and caring  ,best in treatment "
5 stars,"This hospital has a panel of great doctors who provide great treatment. The hospital is neat and clean and has all modern equipments, in-house lab and other facilities for the ease of patients. The hospital staff is well behaved and attentive all the time to look after the patients. "
5 stars,"Working at Jeevan Uday  hospital was a real pleasure. Hospital staff was extremely welcoming & made the patients feel like home during their hospital stay. Cleanliness is so good. All the equipments are so advanced. Supportive doctors, supportive staff, comfortable & caring hospital. "
5 stars,Good health facility in the area around. Recommended. 
5 stars,Hospital is equipped with all the latest and modern technology facilities. Doctors give enough time to counsel and solve all your worries. Nursing staff is well trained and cordial to patients. 
5 stars,"Very good hospital ,manging well,all doctors are very cooperative,Dr Giya ,Dr ganesh ,Dr Kumar are very polite "
5 stars,"Hospital is neat and clean.
All Hospital staff and all the doctors are very supportive. Treatment given in this hospital is very good. "
5 stars,I have personally taken treatment from Dr.Ghiya will highly recommend him as he is really good knowledge and effective treatment methods 
5 stars,Best Doctors and very good facility  at affordable expenses in Sinhagad Road area. 
5 stars,"Very Supportive staff as well as very friendly doctors
Best treatment provided "
5 stars,All facilities at one place n conveniently located.  Expierenced doctors n staff. 
5 stars,Good facilities and experienced doctors 
5 stars,"Patient benefactor, commendable, Dr. Ghia Sahebana
Best wishes and best wishes.

~Dr Ghia Saheb is a very good person,
Along with that, they are human constraints and understandings
and social responsibility
A learned, skillful doctor"" is~

Vijay Mohite Mumbai. "
5 stars,None
5 stars,None
5 stars,None
4 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
