Rating,Review
5 stars,"I'm Dr.Prasanna phutane working as consultant psychiatrist
I was searching for the best obstetrician for my wife in my locality ( Kondhwa) where der are only handful one...After just 1 session only I decided to go for whole 9 month of consultation with Dr.Shrikant sir and Dr.Neha madam..
On sonography we came to know that we are having twins..It was challenging task to take the pregnancy beyond 28 weeks but due to doctors confidence it went till 36 weeks..Just now my wife delivered 2 beautiful twin baby boys..It's all due to positive moral support by the doctors & staff
Both doctors are having excellent surgical skills, soft spoken, good communication skills, well versed of medical knowledge.
One will get most genuine advise on all maternity issues..
Staff are the most cooperative in every sense...It's very hygienic place
If I have to rate it out of 10 I would give 10/10
I will recommend this hospital for all of your maternity, infertility issues
Just go for it!! "
5 stars,"I am writing when I experienced during my mother's treatment.
This hospital is specialized for women's illness, maternity, infertility..
This hospital have all the required facilities for operating.

I met doctor, I experienced his support, kindness as well as his talent. He is excellent in his specialized field.

Finally, all nurses and staff are supportive and kind too. They keep try to make patient happy whenever they communicate. Felt good about that.

I would like to prefer this hospital if any women ask me for her treatment.

🙏 "
5 stars,"This is one of the best hospitals for baby delivery. The environment is too good and all areas are clean and neat which is too important for delivery patients and relatives. You can contact the hospital anytime doctors will be available immediately and these things are too valuable to us. I have recommended this hospital is best for baby delivery. Thanks to the team (Doctors, Nurses) for your support and guidance during treatment. "
5 stars,"Its a best hospital for baby delivery. Dr. Shrikant and his team took good care of us. He genuinely tried for Normal delivery (unlike other corporate hospitals). My wife delivered baby boy with Normal delivery procedure.
All sisters in clinic are very friendly and co-operative.

I highly recommend this hospital for maternity treatments and baby delivery. "
5 stars,"Dear Dr
There are no words to express our deep felt thanks.Your dedication, kindness, knowledge and spirit have been a blessing to our family.
Earlier before visiting to this hospital i was carrying lot of myths in my mind and scary thought that seizur will happen what most of the hospital perform unconditional, but after visiting this hospital post couple of session I was pretty much clear n relax   and all went hassle free and gifted me 3.7 kg health boy

Thank you for all you have done from the beginning till the time of our baby’s arrival.

Also, a big thanks 🙏 to all the staff of hospital & Khetmalas family as they deserve it.
Keep up the good work. God bless you all. "
5 stars,This is one of the best hospitals for baby delivery. The environment is too good and all areas are clean and neat which is too important for delivery patients and relatives. You can contact the hospital anytime doctors will be available any time.Thanks for the nurse and doctors 
5 stars,"I m from nashik, done my previous treatment till 7th month in nashik and had come to pune at my mother's home for delivery. Was looking for a hospital close to my home in kondhwa and found out about Khetmalas hospital and about the doctors great guidance.
I went in for my 9th month sonography and found out about the dropped water level and might affect baby's health. It was decided that I had to prepare almost a month before the EDD...and was admitted the next day...they tried for normal delivery for almost 14 hrs with various treatments they could provide but had to opt for C-section to avoid any complications...they are great doctors with vast knowledge and greater human beings. Provided support throughout the experience. Great staff who are willing to help you out any given time. I m really thankful to Dr. Shrikant Khetmalas and Dr. Neha Khetmalas for my beautiful baby Girl. "
5 stars,"Consulted the doctors here regarding hysterectomy for my mother, and our experience here was great. Excellent treatment by doctors and service by the staff. Ever in need to see a gynecologist, this hospital is highly recommended. "
5 stars,"We had a wonderful experience in Khetmalas Hospital, the doctors (Dr. Neha and Dr Shrikant), nurses and sisters were very co-operative and helpful. Dr. Neha is so kind hearted, treat patient nicely, She explain everything very precisely, I would recommend this hospital if you are looking for a hygienic and effordable treatment.
We started wife treatment from her 6th month of pregnancy.The sisters and nurses gave us a great support.

Thank you all and we wish you very best of luck in future. "
5 stars,"The Service we have received from Khetmalas Hospital was Excellent...,! I am giving them 5 stars.
We are blessed with a baby Boy, One month back. The way Dr. Shrikant Khetmalas handled my entire pregnancy and delivery was commendable. He never asked for unnecessary tests/scans.
The best thing about him is how he focuses on natural birth. During the entire tenure of pregnancy he motivated me to stay active and eat healthy.! Finally, big thanks for normal delivery and the encouragement they have shown. This is all needed to be moms from a doctor
They maintain Hygiene at Hospital really very well. All of the staff was great – they were helpful, patient and helped with my insurance. I am really greatful for Dr. Shrikant and Dr. Neha Khetmalas for being such a positive and answering all my queries.
I highly recommend this hospital for maternity treatments and baby delivery. "
5 stars,"My experience in this hospital is excellent and special thanks for Dr.neha mam and Dr. Shrikant sir both are very caring,friendly. treatment and advice  are good Overall good experience We are fully satisfied with the services and all the Nursing staff they all were very caring cooperative and helpful.
Best doctor. Best staff and Best hospital 👍🤗 "
5 stars,Wonderful experience with khetmalas hospital. Dr.neha mam and Dr.shrikant sir are very excellent. I gave treatment in this hospital and I delivered C- section with successfully. All nurses staff very helpful.  Loving and most caring all nurse... thank u so much love Neha mam she was like mother to me and thank you Dr. Shrikant sir. 
5 stars,Me and my wife went to Khetmalas hospital 2 days prior to the EDD and met Dr. Neha ma'am there.From the first day ma'am explained everything to us and assured us of normal delivery. I admmited my wife there and same day God blessed us with a baby boy through normal delivery. The support I received from Dr. Neha ma'am and staff members were overwhelming. I recommend everyone to once consult with Dr Neha ma'am here for pregnancy related issues. 
5 stars,"Both the doctors Dr. Neha Khetmalas and Dr. Shrikant Khetmalas are very friendly, understands your problem patiently, diagnoses efficiently.
Hospital staff is also very cooperative.
My wife was admitted for Umbilical Harnea. Overall great experience. "
5 stars,"One of the best hospitals I have even seen in Pune I have checked with more than four hospitals for my wife's pregnancy. 2 of them, like Bharti and Parasnis Hospital, scared us by saying that it was a high-risk pregnancy, so we showed up in Khetmal Hospital, and believe me, both Dr. Shrikant and Dr. Neha are the best in Pune. They told us all things correctly and properly. Where other hospitals were forcing and scaring us for Cesarean deliveries, Dr. Shrikant and Dr. Neha told us the truth, and they did a normal delivery. Thank God that we have chosen Khetmal Hospital. The environment is too good, and all areas are clean and neat, which is the best thing about this hospital, and also, I have no word regarding all the sisters and other doctors working there. All of those are very sweet and polite with patients and also with relatives. Believe me, you are never going to find hospitals with the best doctors and sisters like this. We lose hope for normal delivery, but Dr. Shrikanr was the person who gave us hope and did his work perfectly. He was like God to us in that situation. Talking about charges, I have made inquiries with more than 4 hospitals, and believe me, I got the lowest price list from this hospital. Thank you, Dr. Shrikant and Dr. Neha, for bringing happiness to our family. Highly recommended hospitals for pregnant women who don't want to get stuck between fake hospitals I have noticed one thing: other hospitals will work only for money, but Khetmal Hospital will see what is best for the mother and child. Thanks a lot.❤️❤️❤️ "
5 stars,"We had a good experience at khetmalas Hospital
( Dr. Neha khetmalas and Dr. Shrikant Khetmalas)
They are not only Doctor, they are good human beings, Kindly communicate and listen patiently and transparent process. All staff is very soft spoken and very hard working. First I approached to Hospital for having some stomach pain, they have properly diagnosed and suggested to do MRI and found that there is fibroid and operated it. Operation was laparoscopy that takes 3 hr as it was big fibroid, it was succefully done and recovered in short period of time.
After 6 months approached to conceive 2nd baby. Initially  we tried naturally for few months then we started treatment under Dr Neha and Dr Shrikant sir. Dr suggested to do HSG test to ensure fellopion tubes are open. Report was normal but I was facing some infection problem. initially Dr provided medicines but that doesn't resolve problem completely.  Dr suggested to do hystroscopy, that is done by Dr. Shrikant sir, found that there is polyp. Dr operated at that time in half an hour of time. It was totally done without pain.
Dr actually shows the findings of test during operation on screen, that's the difference in this hospital and other hospitals. After that infection problem resolved then tried naturally to conceive a baby but it was not successful so Dr suggested to do IUI. In first IUI is successful.. So rellay happy to suggest to peoples to take advantage of their services and facility.
Why to take service from them:
> Communication with Dr's on your problems will give you confidence,
> Dr gives you sufficient time to answer your questions
> Don't force you for any procedure only suggests good options
> Transferent process
> Services are value to money
> Offerdable charges
Thank You So Much Dr. Shrikant Sir and Dr. Neha Mam. "
5 stars,"I am highly delighted with my experience for my wife's delivery at Khetmalas Hospital, Kondwa, Pune

Hospital environment is very pleasant and very clean. Doctors treatment is number one. We are highly satisfied with Dr.Shrikant and Dr.Neha Khetmalas. They are very attentive and responsible at their work. They guide patients about treatment and everything very clearly. Both doctors are highly dedicated and hardworking.

Staff is very prompt and attentive. Also the meal service provided is third party but the Lonkar mavshi provides a homely and healthy food. you can ask her to provide food of your choice (Veg only) and its provided prompt on time and at very reasonable price. This meal service is with in 50 meters of hospital area.

I highly recommend others who are looking for obstetrician and gynecological or Laparoscopy treatments to do consult doctor Khetmalas for their treatment. "
5 stars,"There are no words to express our deep felt thanks. Very good consultation and exact treatment for the pregnancy. We got proper guidance from them and got results within a month. Thanks again Dr. Shrinakt, Dr. Neha and Khetmalas hospital team. "
5 stars,Dr Shrikant Sir & Dr . Neha ma'am. Both persons have very unique personality... I love the way they both talk and consult.... I have never seen such polite Doctors. One of My Husband's Friend (named as Komal Tatkare) suggested us to these beautiful souls (Doctors).... I'm glad to met with these people...every maternity hospital provide Service.... But doctors make it delivery easy and happy..... Thank you so much Shrikant sir and Neha ma'm for being so much kind to  us😊😊😊😊😊 
5 stars,"I am writing to recommend Neha ma’am & Shrikant sir as a compassionate and skilled healthcare provider. During my wife's pregnancy, Neha ma'am & Shrikant sir provided excellent care and support, answering all of our questions and concerns with kindness and professionalism.

Neha  ma’am has a wealth of knowledge and experience in obstetrics, and I always felt confident in their ability to provide the best care possible. In addition to their clinical expertise, Shrikant sir has a warm and caring bedside manner that made me feel at ease throughout my wife’s pregnancy.

I am extremely grateful for their help and guidance during this important time in my life. I highly recommend Khetmalas Hospital to anyone seeking exceptional care and support during pregnancy."" "
5 stars,"Dr Shrikant did my normal delivery last month, i was about to give up but Dr tried his best and kept me motivated throughout my labour. Big thanks to Dr. Shrikant Dr. Neha and nursing staff they all were genuine and the service is top class. 🙂🙂🙂🙂 … "
5 stars,I got to know about this hospital from one of my family friends. Me and our family members are delighted with the experience here. It was a for a delivery of our second child. Dr. Shrikant and Dr. Neha are compassionate and have build a good team that truly cares. 
5 stars,"Dr Shrikant Sir is best doctor in pune, If you are planning for kid abd you have any isue related with Fibroide he is the best doctor. The best think he is not money oriented doctor. Always trying to avoid operation and delivered baby naturally. Staff is so friendly and taking care of each patient. Dr shrikant did operation of my wife for fibroide and she is fine now. STRONGLY RECOMMENTED PUNE PEOPLES TO VISIT KHETMALAS ATLEAST ONE TIME IF YOU ARE PLANNING FOR BABY...

THANKS KHETMALS TEAM "
5 stars,Thanku soo much for all the support and love. Dr neha ma'am and Dr Shrikant sir are one of the best doctor's they explain things so well that there are worries or doubts left in mind of the patient and family. Spreading joy to families ❤️ 
5 stars,"I am writing when I experienced during my mother's treatment.
This hospital is specialized for women's illness, maternity, infertility..
This hospital have all the required facilities for operating.

I met doctor, I experienced his support, kindness as well as his talent. He is excellent in his specialized field.

Finally, all nurses and staff are supportive and kind too. They keep try to make patient happy whenever they communicate. Felt good about that.

I would like to prefer this hospital if any women ask me for her treatment. "
5 stars,"Dr Shrikant and Neha Khetmalas are great doctors, ours was a high risk pregnancy and the doctors took care of it very patiently and also explained us in detail on the progress.

The good thing is that both the doctors are available in case of emergency which is very important in pregnancy. The hospital staff is also very cooperative and helpful.

Thanks doctor for making this journey peaceful. "
5 stars,"Both Dr Shrikant and Dr Neha are highly qualified and experienced doctors.
Neat and clean Hospital with patient friendly staff. "
5 stars,"We had a wonderful experience in Khetmalas Hospital, the doctors (Dr. Neha and Dr Shrikant), nurses and sisters were very co-operative and helpful. Dr. Neha is so kind hearted, treat patient nicely, She explain everything very precisely, I would recommend this hospital if you are looking for a hygienic and effordable treatment.
We started wife treatment from her 6th month of pregnancy and since onward never failed that decision to take treatment & surgery was wrong or regretted. The sisters and nurses gave us a great support.

Thank you all and we wish you very best of luck in future. "
5 stars,"Both the doctors (Shrikant sir and Neha mam) are excellent, very knowledgeable, very professional. Staff is also very helpful. You both are great, I am thankful to you 🙏 … "
5 stars,"Khetmalas hospital is the best gynecologist hospital in Kondhwa area in Pune to get infertility treatment done. We are blessed to have such a hospital in our nearby area with all advanced facilities and treatment available here.
Doctors (Neha Ma'am and Shrikant Sir) are highly skilled and professional to give treatment to patients. They are the most kind, humble and helpful doctors I have ever seen.
They do explain each and every problem patients have and treatment that needs to be done.
The hospital as a whole has a good environment and it's very clean and really one of a kind. I want to express my sincere gratitude. I am highly impressed at the treatment I have received starting from the entrance at reception.
The staff here is also very cooperative, supportive and caring.

Thank you Khetmalas Hospital 😊❤️ "
5 stars,"Dr Shrikant Khetmalas sir is so experienced dr for any bad situation
In the trouble situation dr and staff gives me great support .
Special Thanx to Dr Shrikant sir "
5 stars,"It's just an amazing experience with khetmalas hospital dr. Neha mam and dr. Shrikant sir, are really an excellent gynaecologists the staff was so helpful and kind. Dr. Neha explains each and everything about your disease with a smile.. she never skip to answer any single question of the patient.. really so talented. They ensured patinet about a smooth prepration and  procedure we are so glad to choose khetmalas hospitals we would highly recommend to anyone. Thank you Mam and Sir. "
5 stars,It was very good experience with Khetmalas hospital. Dr neha mam & shrikant sir is very helpful &co- operative . The staff is also good & helpful. I would recommend this hospital if you are looking for a hygienic & effordable treatment. 
5 stars,We are so glad that we have choosen the Khetmalas hospital for my delivery. Got the  best treatment and hospitality from them. Very thanks to Dr.Shrikant and Dr.Neha for their continuous support and help also special thanks to all the staff members. 
5 stars,"Wonderful experience with Khetmalas Hospital. Was referred over by my general doctor and can see why.
I especially appreciate how Dr. Shrikant Khetmala really took his time to explain my conditions with me as well as my treatment options. Doctor ensured I had a smooth prep, surgery, and follow-up.
The staff and too were all very friendly and helpful.
I am so glad I chose Khetmalas Hospital and would highly recommend to anyone. "
