Rating,Review
5 stars,Very good hospital. Dr. Haseeb is very great doctor. Had a treatment for my backpain and got the result quickly. And Physiotherapist Dr Asma is also great. Had physiotherapy here for my backpain which helped me a lot for speedy recovery. Staff is very good. 
1 star,"Doctors have helping hand and listen problems calmly, but staff is too worst.. they are busy in their own gossip but not concerned about patient.. If you are waiting then you can wait for whole day right Infront of them but they will say just 2 minute ,sir just 2 minute .. "
1 star,Bad Experience! I think the maagment is only money minded and by just simply any cause they try to take hndsome amount for the people who ever visit there. Doubt whether they really have good team of Doctors?? 
1 star,Dr. Haseeb shaikh he is worst doctor i have ever met. He doesn't have any knowledge and cannot diagnose properly. I had an ligament injury which i have consulted with him but he doesn't responded actively and diagnosed very carelessly he even didn't see my reports properly and diagnosed very carelessly. He doesn't even listen to his patient carefully. He is very careless and a worst doctor i would never recommend anybody to go in lifeline hospital because there is no  proper doctor or staff to deal with patient. I wish i could give 0 but i don't have the option.He even doesn't provide any direction at all and upon asking he doesn't respond in a good way. He is very unprofessional. 
4 stars,"It has been an excellent experience at Lifeline Hospital.
Dr. Haseeb is a well experienced (ortho) doctor and has treated me very well.
In fact, my daughter, who met with a severe accident few years back was also very well handled by him.
Dr. Asma, the Physio, has been very cooperative and did her best.
I have no hesitation in recommending Lifeline Hospital for any medical needs. "
4 stars,"Dr. Haseeb(ortho) is a great doctor! He’s very understanding and listens to your concerns. He takes time with the patient to help them with their health issues!
My daughter, who met with a severe accident few days back was also very well handled by him.
It was a good experience at Lifeline Hospital. "
5 stars,I had met with an accident I couldn't lift my right Dr Haseeb saw the x ray told me relax nothing to worry prescribed tablets told me to go to the physio therapist Dr Asma she is wonderful made me do some exercises on third day I could lift my hand very good therapis. Perfect diagnosis by Dr Haseeb even today my wife cannot stand having terrible pain in her right leg he's giving her treatment & physio therapy I sure she will recover. Dr Haseeb is well experienced orthopedic. 
4 stars,"Hospital is so nice
Dr.Haseeb sir diagnos my problems very accurate.
And got nice results.
Lifeline hospital has well trained physiotherapist Dr.Afreen.
nicely cooperation provide by hospital staff.
So happy. "
5 stars,Physiotherapy treatment is good and hospital has all required equipments. Was suffering from knee pain and Dr. Afreen diagnosed it via physiotherapy in very few days  sessions. 
5 stars,I don't know about other negative reviews posted so far. however I have just been discharged ( Sept 2021 ) and my experience was much positive. Dr Inamdar was very professional.  Staff was friendly and caring.  Cleanness was taken seriously. My overall bill was unexpectedly low.  I am here writting this review after getting cured. 
5 stars,"It's a good hospital there are new changes being added to the hospital,I am undergoing treatment for my back pain with Dr hasib shaikh and taking physiotherapy with  Dr Afrin ,I would like to say she is good with her work knows whats good for the patient and takes an extra effort to treat them very well and takes her work very seriously , make  the person understand the root causes of problems and give solutions to it which every patient wants to hear, rarely you find doctor's who actually try to help you in best way possible. "
