Rating,Review
5 stars,"Excellent service at Pashan sus road
All Facilities like Genral surgery , Gynaecologist and IVF
Good Labour room and Pathology Lab services
Thanks Lopmudra  team to save my family members ..
God bless you all !! "
1 star,"I visited with my wife who was not keeping well. I had taken an appointment of Dr. Avdhut G Bodamwad from Practo. What a pathetic experience it was. Apart from being unprofessional, the staff was clueless about the doctor’s whereabouts. We waited for the doctor for 35 mins.
Moreover, the replacement general physician that they were talking about with us was not present in the hospital. When he appeared (the replacement general physician) he was reluctant to see us. And arguing with the staff. I strongly not recommend this hospital and doctor. Don’t waste your time going there. "
5 stars,She was came in very bad condition.Emergency first aid was given at the earliest proper counselling was done to make the patient feel better. The hospital staff was good. Hospitality was excellent.Must visit the hospital for all the service’s. 
5 stars,"Dr Avdhut sir is Very knowledgeable Doctor. Doesn't rush u for unnecessary treatment, procedures or tests. Puts in effort and time to hear and understand your current medical situation, carefully reviews your medical history, carefully examines you physically and then suggests treatment without giving additional unnecessary medicines.
He explains the situation, course of action and logic behind the same in detail, very calmly, without giving u tension about ur health. That itself makes you feel confident and starts healing you.
I would definitely recommend visiting him for consultation @ Lopmudra Hospital, Pashan Sus road. "
4 stars,"Good Hospital Facility opened up in Pashan . Daughter was admitted here for two days.Since it's a new property , needs some improvements in room facilities , diagnostics . Doctors & Staff are friendly , polite. They are still working on health Insurance & medical policies. Overall experience was good. "
5 stars,Had a very good experience at Lopmudra Hospital  .Dr Avadhut is a very nice doctor and has taken good care  .The entire staff was very co-operative and have given personal attention making my recovery faster and better. 
5 stars,"The hospital emergency care is pretty amazing , they hardly took a minute to arrange first aide and care for the accidental patient l. Customer care exec. Aishwarya Mahale did a fabulous job for arranging the the things in no time and Dr. Archana Salve was treating the unconscious patient in no time. The nurse named shraddha was all ready and equipped with the needfuls gadgets and equipments. Thr Ambulance service is well managed and was present at the  venue within stipulated time if in case the patient shifting is needed. Over all i had very good experience. "
5 stars,"Good doctors,patient treated well.Dr. Avdhut handled the emergency case smartly.clean environment.hospitality and customer care services was best. "
5 stars,"I have visited twice in case of urgency, today was the second time. Around 5:45 am today, I reached, within 2 mins I had been on table, and within 15 mins treatment started under the supervision of a doctor. Excellent.... …  More"
5 stars,"Always on time, compassionate, empathetic, easy to talk to and relates exceptionally well. Hands-down the most effective and efficient doctor Friendly, helpful staff as well. Dr.avdhut sir and team as well nursing team "
1 star,Worst hospital ever they take advantage of emergency patients and loot the people they don't have any government facilities or schemes. They charge huge amount for small treatment so DO NOT GO TO THIS HOSPITAL  . 
5 stars,"It’s located right on the main road which allows immediate medical services possible for trauma patients.
They have made sure personalised care is given to opd patients to facilitate a smooth experience.
Joint Multispecialty  care is possible too for someone who has multiple problems. "
5 stars,"Everything was perfect, Loved the service &  hospitality. Doctors and nursing staff were friendly. And most important if u want quality u have to consider this hospital only. "
5 stars,"Sharing wonderful experience with Lopmudra Hospital, the staff is always helpful and kind. They will always ensure for a patient to have a smooth prep, surgery, and follow-ups. I would highly recommend to anyone. YES HIGHLY....! "
5 stars,"Quality oriented, patient  friendly corporate chain of mid segment boutique hospitals is now in Pashan Sus Area to fulfill the requirements of needy.
It is located on main road, just close to Balaji Chouk, very convenient to approach. Thanks. "
5 stars,"Doctors treatment, cleanliness are good. The treatment is good and very helpful staff. Hospital staff are very courteous and cooperative & helpful. "
5 stars,It was amazing service by all the staff . The hospital is very good and friendly for the patient . ❤️ especially customer care. 
5 stars,"Really thankful for the team on New year's Eve we came with a mishap with local guys which resulted in some extreme emergency and only with the help of employees of lopmudra hospital we were able to avert a major trajedy.
Thank you lopmudra hospital team "
5 stars,"One of the amazing upcoming hospital at Pashan.
Excellent infrastructure with good facilities and services. Patients are treated with care and comfort. "
5 stars,"I am very thankful for Dr. swapnil sir and Aishwarya mam, and all the staff of Lopmudra for best service and support and taking care for patient . "
5 stars,"EXPERIENCE AT LOPMUDRA
Lopmudra  Hospital, Pashan, Pune
Excellent

First time at lopmudra  it was a good experience for me thanks to the nursing and supporting staff and Dr avdhut Bodamwad for the physician "
5 stars,"Great experience and special thanks to dr.avdhut sir he is a great person and staff too, as I saw he help for needed people many thanks to lopmudra hospital "
5 stars,Excellent co-opration from all of you. Lopmudra Hospital is very clean and higinic.God bless you all.... 
1 star,"Wrost service by hospital, i strongly recommend that please don't waste your time here .. "
5 stars,The hospital is affordable and the staff is supportive. 
5 stars,Its true  .. Family hospital all services under one umbrella only Good Affordable hospital in pashan sus area 
5 stars,"Excellent set up
Very good quality staff too

most important- good treatment to patients "
5 stars,"Really nice experience at Lopmudra Hospital
Dr Avdhut is very kind towards patients … "
5 stars,It's good culture and treated the patients is good  management and sisters and docters are good to treat to patients .It's good hospital 
5 stars,"Well managed hospital with quality of team,
Thanks to whole team  for providing care at that time of emergency "
5 stars,Genuine place to be . Doctors and the staff were very approachable and did the right treatment. 
5 stars,"Good Hospital Facility at Pashan Sus Road, multi-speciality hospital with good infrastructure and service ... "
4 stars,Nice service and good medical attendant would love to visit again 
5 stars,Prompt response from Dr. Audhut and team around 9.30 pm. So allso during morning visit for pathological investigation. 
1 star,Basic Time table NOT available for OPD. Not found on Google & not on hospital website & not available at Pashan hospital. 
5 stars,A team on mission towards quality patient care. Best luck for long journey. 
5 stars,very thankful for saving my friends life.They gives new life to my friend.They are god for us.... 
5 stars,"Very amazing hospital, staff is pretty 👍🏻😊 … "
5 stars,The only Hospital on Sus Road and Fantastic Services and humble staff 
5 stars,It is a very nice hospital with all the facilities available in Pashan 
5 stars,"Good Hospital at Pashan Sus Road
Family Hospital & All Facilities under one umbrella "
3 stars,Hospital is good and clean everything is fine. 
5 stars,Best multispeciality hospital in pashan pune 
5 stars,Good Clinical Services and Nice staff 
5 stars,"Good Hospital at Pashan
Dr avdhut sir "
5 stars,Excellent Lab services and OPD SERVICES 
5 stars,"Excellent consultation, excellent support from the staff and excellent guidance ..... "
5 stars,Very nice 
5 stars,Excellent Staff - excellent services 
5 stars,Nice service 
5 stars,Fantastic facility.... 
5 stars,Essentially sarvise 
5 stars,Good hospital 
5 stars,Good facilities 
5 stars,Patient friendly Hospital 
5 stars,Friendly staff 
5 stars,Best Doctor....... 
5 stars,"Good hospital...in pashan area...all staff is good and copreative , "
5 stars,Great experience!! 
5 stars,"Experienced the Dr.Sneha Tripude very good detailed consultancy,  good response from staff concerned  Aishwarya "
5 stars,Good Hospital 
5 stars,I had admitted my friend mother for some of critical reasons. The staff and all Doctors were all very friendly and helpful. I especially loved how Doctor really took his time to explain my friend mother conditions with me as well as my …  More
5 stars,"Excellent services. ...just like the family.
Overall best . Treated well and friendly atmosphere. Must visit. "
5 stars,Really good service and friendly staff 
