Rating,Review
5 stars,"Best hospital in this area,They have cashless insurance facility available .My brother was admitted here for dengue with very less platelets 19000k last week. Doctor had explained us everything very neatly at the time of admission,all the …  More"
5 stars,"Hospital is very good...They have got setup of O.T and have renowned surgeons visiting here for procedures here.
I was admitted for abdominal surgery here last month,they had promised me to do …  More"
5 stars,"Wonderful experience with Minerva Hospital. Dr. Sushant Hande sir and Dr. Rohini Mam was a wonderful surgeon, and the staff was always helpful and kind. They ensured my wife had a smooth prep, surgery, and follow-up. I am so glad I chose Minerva hospital and would highly recommend to anyone. "
5 stars,"This is really very good hospital,my uncle was admit here for kidney stone surgery....He had 11 stones in his right kidney... Doctors from dinanath hospital had told us to remove his kidney and will need expenses till 1lkh 50 thousand. …  More"
5 stars,"This is really nice hospital,We are very thankful to Dr.Hande sir and his staff.
My sister was admitted here in  for delivery we had called hande sir from home …  More"
2 stars,"Admitted my close relative in December 2020 for the issues like BP, Loose motions, Stomach pain, prostate, etc. The patient was directly taken to ICU for 3 days. Then next four days they shifted the patient to semi private room. Total 7 …  More"
1 star,"Highly unprofessional and lax staff, unreasonable waiting times, just one phone number which is switched off most of the time. I implore the owner to take action - you are creating a negative impression for the entire health care fraternity. "
1 star,I went to the hospital twice for my Ear problem. In second visit I got to know that Both Doctors who treated me were not ENT specialists whereas it is clearly mentioned in their display board in front of hospital entrace that there is ENT Specialist. They hier ENT specialist on visit basis and he comes to hospital every sunday. 
1 star,I am really very disapponted with the service of this hospital. This hospital is located near by my house and so looking forward to my convinience i visit ed this hospital for pathalogy check up but as date and time they never give reports …  More
1 star,Worst service !! Patient  has to wait for long ! Lack of staff !! They don’t care really !! Only business for them !! They don’t have staff for initial first aid !! 
2 stars,Hospital staff and dr is polite but they never exactly told us about  diseases  like what happened to patient . And billing process  was like when we are  going home after 4 days wifi there  is not working I mean where are you man... come on...so it took time to go to atm and then process the billing.. otherwise good  hospital 
5 stars,"Very nice hospital.
Recently was admit here for Dengue . Cashless health insurance facility available .Good service.Polite staff,Good doctor "
5 stars,"its Really osm Hospital, and more take cares of patients with friendly atmosphere, All Staff really appreciate there Roles and responsibility.All update Techniques And methods. "
3 stars,"This is new hospital in our area... To be very frank, doctors are very good and I believe have good experience. "
5 stars,"Good Medical Facility Available in this area.
Good infrastructure.
Consultant Available here for various faculties.
ICU facility available. "
4 stars,"Nice doctors and staffs, reasonable fees "
4 stars,Facility is good 
5 stars,Doctors are very good 👍 … 
4 stars,👍👌 … 
5 stars,Best service 
5 stars,doctor are good. 
5 stars,I really trust Minerva Hospital. All kinds of facilities are available in the Hospital. I always refer Minerva Hospital to me and my family. Minerva Hospital's facility and functioning are very simple and convenient so that the needy peop …  More
5 stars,Hospitalchya pratek staff ne far uttam seva dili.dr hande and Dr bhegade yanihi purn prshnanchi Chan samadhani uttar dile.thanks for all staff and doctor. 
5 stars,None
4 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
4 stars,None
