<<<<<<< HEAD
Rating,Review
5 stars,"Underrated hospital on Sinhgad Road, Dhayari area. I had been treated for food poisoning recently there and it was a good experience. They gave me a special Room which was really good with a bathroom attached and an electric geyser for hot water. AC too (it didn't give cool air though ;)

Most importantly, they were in my cashless network of hospitals covering insurance. I didn't have to pay any money. And discharge too was quick and hassle free. Thank you. "
5 stars,"My son admitted last 3 days in Morya hospital. My experience is very good. All the staff is very cooperative and polite including nursing staff, cleaning staff, administration.
Dr Kulkarni is well experienced and of very helpful nature.
Even on duty doctors are also attending every small issue without any hesitation.
Overall experience is good "
=======
Rating,Review
5 stars,"Underrated hospital on Sinhgad Road, Dhayari area. I had been treated for food poisoning recently there and it was a good experience. They gave me a special Room which was really good with a bathroom attached and an electric geyser for hot water. AC too (it didn't give cool air though ;)

Most importantly, they were in my cashless network of hospitals covering insurance. I didn't have to pay any money. And discharge too was quick and hassle free. Thank you. "
5 stars,"My son admitted last 3 days in Morya hospital. My experience is very good. All the staff is very cooperative and polite including nursing staff, cleaning staff, administration.
Dr Kulkarni is well experienced and of very helpful nature.
Even on duty doctors are also attending every small issue without any hesitation.
Overall experience is good "
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
1 star,"This is not a hospital but just a vaccination center. No one in the hospital cares about the patient care. I never saw any opd doctor in the hospital, only nursing staff sees the patients and provide wrong diagnosis.
I went there for fungal infection bit the so called doctor said, it's just a corn and sked to ignore or apply a corn cap. Now the infection has spread all over my toes.
These people are hungry for money. It's not a hospital, it's just a business.

<<<<<<< HEAD
Highly recommend to not visit this hospital at all instead you can treat yourself much better than these fraudsters. "
=======
Highly recommend to not visit this hospital at all instead you can treat yourself much better than these fraudsters. "
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
1 star,"one of the worst hospital in near by areas, don't  visit and waste your valuable  money.
we were admitted  here for five days due to high fever. doctors failed to find the actual reason  behind high fever. just they were trying to admit  patient  for more days without  proper treatment.
also at the time of discharge they charged extra price over mrp of medicines.

finally after 5 days of worst treatment , we were go to deenanath hospitals and they diagnose properly within a one day in the half price of morya hospital.

<<<<<<< HEAD
we are also WMO member. "
5 stars,The hospital is just wow. Staff is very helpful and friendly. The pathology lab is also fabulous. Best multispeaciality hospital with all facilities. 👌🏻👌🏻 … 
5 stars,I am working here since 6 months great team work coordination I have ever seen seniors are supportive kind as well 
5 stars,We took the COVID shield vaccine dose. It was a seamless experience. The faculty is very supportive n helpful. 
5 stars,"Great experience, special thanks to doctors and nursing staff. Staff is well trained, co-operative, disciplined , very quick and responsive. Hygiene is maintained. Accurate diagnostic with the advance facilities in the laboratory. "
5 stars,The services that I receive from morya multi-speciality hospital is excellent. Dr. Ajitsinh Patil  and the staff are friendly and ensure that I am properly informed about my health and care. I would have no qualms in recommending them to friendly and friends. 
=======
we are also WMO member. "
5 stars,The hospital is just wow. Staff is very helpful and friendly. The pathology lab is also fabulous. Best multispeaciality hospital with all facilities. 👌🏻👌🏻 … 
5 stars,I am working here since 6 months great team work coordination I have ever seen seniors are supportive kind as well 
5 stars,We took the COVID shield vaccine dose. It was a seamless experience. The faculty is very supportive n helpful. 
5 stars,"Great experience, special thanks to doctors and nursing staff. Staff is well trained, co-operative, disciplined , very quick and responsive. Hygiene is maintained. Accurate diagnostic with the advance facilities in the laboratory. "
5 stars,The services that I receive from morya multi-speciality hospital is excellent. Dr. Ajitsinh Patil  and the staff are friendly and ensure that I am properly informed about my health and care. I would have no qualms in recommending them to friendly and friends. 
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
4 stars,"The place shows up on the Cowin portal for vaccination and it's a centrally located place right opposite Abhiruchi Mall. The place is not the ground floor but on the first floor. You can get a 2 wheeler parking easily but not for 4 wheeler.

The process for tokens is not followed properly with people taking 4 family members on a single token. So don't feel great in case you see a less number on your token. Look at the crowd and calculate time for your turn. Sometimes people will appear saying they have taken a token 2 hrs before you and you will have to make way or argue and negotiate with the person. The person giving the token will not help.

The overall experience is okay. The team responsible for giving vaccine is decent and they know the job. I hope they also tell the people that after vaccination you need to wait some time. People were leaving immediately.

If you ask for a receipt they will issue a handwritten one. They accept UPI payments and cash.

Charges are as per the Govt mandated rates for Covid vaccination.
<<<<<<< HEAD
I went for Covishield, they have both options do check before you make an appointment on the Cowin portal. "
4 stars,Process was good. Took only 5 minute to get vaccinated. Few thing observed. No social distancing observed. People were throwing cotton swabs on floor and staircase. But that is not hospital problem. But actually cleanliness should be our problem. 
5 stars,Took both of my vaccination doses at this hospital. It was a smooth experience and vaccines were almost painless. The hospital is quiet and clean. 
5 stars,"Our Vaccination process was quick and easy.
Great Staff "
5 stars,"Had very nice experience, took hardly 10 mins to complete the process, very neat and clean, very cordial staff "
=======
I went for Covishield, they have both options do check before you make an appointment on the Cowin portal. "
4 stars,Process was good. Took only 5 minute to get vaccinated. Few thing observed. No social distancing observed. People were throwing cotton swabs on floor and staircase. But that is not hospital problem. But actually cleanliness should be our problem. 
5 stars,Took both of my vaccination doses at this hospital. It was a smooth experience and vaccines were almost painless. The hospital is quiet and clean. 
5 stars,"Our Vaccination process was quick and easy.
Great Staff "
5 stars,"Had very nice experience, took hardly 10 mins to complete the process, very neat and clean, very cordial staff "
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
1 star,"I am giving one star just because medical store is worst in this hospital no one is available on time ,every time I visit I need to wait for 1 hr for medicine after that also they told me that we don't have that medicine

I visited  the hospital today night no one is available in the medical and injection is not available which is required for me

* - This is my 7th visit to this hospital and same condition w.r.t medical store

<<<<<<< HEAD
Doctors ,Nurse and other staff is very good 👍 "
5 stars,Best Plqce to get ypur covid shots. No waiting. Literally took 2 mins. 
5 stars,"Doctors are too good and they are very humble, including other staff members. And most importantly, They will listen your issue very patiently and try to help quickly. Very neat and clean hospital. Well managed and disciplined. Even during COVID period, everything was well managed and properly guided. Also my family members and many of my society members took COVID Vaccination.
The hospital location is very very easily accessible and is on main road so can get help immediately. "
3 stars,"Second vaccination taken here, very good process followed. Injection was giv n in very nice way as if nothing is injected into my skin, no pain no sensation...very good "
1 star,hopeless service......online booking available.but when you reached there..booster dose is not available....you can see board available in front of gate but when you enter there will be no booster dose...hopeless service....dont schedule your dose in morya hospital 
4 stars,Got vaccinated for Dose 2. Very clean hospital and all arrangements are nicely done. It's not time consuming if you choose morning slot. 
5 stars,"Vaccine for Covid19.
Smooth no rush process. All staff cooperative and guiding for easy going.
If need to get vaccinated early do visit. "
5 stars,"The staff was always helpful and kind. They ensured I had a smooth prep, surgery, and follow-up. I am so glad I chose Morya hospital and would highly recommend to anyone.... "
1 star,Strongly not recommended for Covid vaccine. No Covid protocol followed here. They will make you sit at 10 different chairs in 20/25 minutes as if we are playing musical chair. Worst waiting management can be seen here. No one wears masks. Not eve head Dr Patil. When I asked him about this. He said as he was talking hence he removed the mask. This is epic. They charge 2 percent on card payment. Seen three patients fighting for the payment. It's unhygienic and risk here. Please find better place than this for paid vaccine. 
=======
Doctors ,Nurse and other staff is very good 👍 "
5 stars,Best Plqce to get ypur covid shots. No waiting. Literally took 2 mins. 
5 stars,"Doctors are too good and they are very humble, including other staff members. And most importantly, They will listen your issue very patiently and try to help quickly. Very neat and clean hospital. Well managed and disciplined. Even during COVID period, everything was well managed and properly guided. Also my family members and many of my society members took COVID Vaccination.
The hospital location is very very easily accessible and is on main road so can get help immediately. "
3 stars,"Second vaccination taken here, very good process followed. Injection was giv n in very nice way as if nothing is injected into my skin, no pain no sensation...very good "
1 star,hopeless service......online booking available.but when you reached there..booster dose is not available....you can see board available in front of gate but when you enter there will be no booster dose...hopeless service....dont schedule your dose in morya hospital 
4 stars,Got vaccinated for Dose 2. Very clean hospital and all arrangements are nicely done. It's not time consuming if you choose morning slot. 
5 stars,"Vaccine for Covid19.
Smooth no rush process. All staff cooperative and guiding for easy going.
If need to get vaccinated early do visit. "
5 stars,"The staff was always helpful and kind. They ensured I had a smooth prep, surgery, and follow-up. I am so glad I chose Morya hospital and would highly recommend to anyone.... "
1 star,Strongly not recommended for Covid vaccine. No Covid protocol followed here. They will make you sit at 10 different chairs in 20/25 minutes as if we are playing musical chair. Worst waiting management can be seen here. No one wears masks. Not eve head Dr Patil. When I asked him about this. He said as he was talking hence he removed the mask. This is epic. They charge 2 percent on card payment. Seen three patients fighting for the payment. It's unhygienic and risk here. Please find better place than this for paid vaccine. 
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
1 star,"Worst hospital

medicine charges also expensive than MRP. we asked about this then mr aatish talking rudely.

<<<<<<< HEAD
better way gentle men don't visit this hospital. "
5 stars,"Very Nice service for Covid  Vaccination.
My 1st dose experience is very horrible with Big hospital near Pune station but
Today I done my 2nd dose of vaccination here. Very hassle free experience. Nice service. Clean hospital. I will recommended this hospital for vaccination "
4 stars,I went to morya hospital for my second dose of covid vaccination. My slot was 9-11am. The hospital was clean. Vaccination process was swift. My vaccination was completed within 5 minutes. No issues at all. Thank you for the service morya hospital. 
5 stars,Took second dose of covishiled vaccine. The process was so smooth and staff is also co operative. Overall process was vertical good. 
3 stars,"The communication can be better.
Like which vaccine you're taking covaxxin or covishield what to in case of any issues after the shot. Cards should not be applied 2% extra charges. "
5 stars,Super fast vaccination process for walk-in. Got my vaccine in like less than 5 mins. Hassle free and very good hospital. 
5 stars,All our family members took Covid vaccine from this Hospital. A very fast and transparent process. 
3 stars,Doctor available on pre booking.  Clinic is ok. Charges are reasonable. 2 wheeler parking available. 4 wheeler on road side 
5 stars,Vaccination drive was smooth and the staff is polite and we'll mannered. And the plus point is the hospital is very clean and properly maintained. 
5 stars,Vaccination process is well managed. The whole procedure took max 15 minutes. Smoothly done. Recommended. 
5 stars,Just got vaccinated here the process was very smooth and the staff is very helpful. Even walkins are allowed for the vaccination here. Only in 2 minutes got vaccinated. …  More
5 stars,The vaccination process is very fast. I took my 2nd dose from here...was done under 5 mins. 
5 stars,Morya Hospital is good place and cleaned. We got 2nd vaccine very fast. Staff is well trained...keep it up. ... Thank you. 
5 stars,Morya hospital vaccination process is very smooth  and all process completed within 10min only. staff is also very supportive .Thanks . 
5 stars,"Very clean facility, prompt n quick service , well behaved n helping staff.
Thank you. "
5 stars,"A very Contemporary and Friendly environment. Vaccination was so easy , smooth and staff were friendly (from the person for parking to the doctor). "
5 stars,"Very good and smooth service for Covid-19 vaccination for my aunt.
Overall clean nice hospital, courteous staff and good service. "
5 stars,"It was very hassle free..supportive staff. Neat and clean premises.
I finished all process of vaccination in less than 5 min "
5 stars,The process of vaccination was very fast and well managed. There was no rush. Staffs were really polite. 
5 stars,"Vaccinations process is nice, staff behavior is good and supportive.
Thank you moraya hospital for 2nd covishild dosage. "
