Rating,Review
5 stars,I visited Mai Mangeshkar Hospital today to collect the reimbursement form stamp and I am pleased to say that I had an amazing experience there. The staff was very courteous and helpful in completing the process quickly. All the details were …  More
1 star,Some doctors like Hrishikesh Joshi are going to create sense of urgency and will ask to do many tests. …  More
4 stars,"They quickly responded to emergency with agile and rapid tests, making it clear immediate treatment options, if they don't have any facility, they quickly refer to another hospital, so at least patient survival time enhances. Their RM doctor is very good "
5 stars,"Thanks for providing best medical facilities here,..little bit costly.but this hospital provides best canteen facility with tempting n mouthwatering food. "
5 stars,Excellent Service Improved Very Much.Excellent Work By Sister And Companion Doctors And Staff.Hatts Off!!! 
5 stars,"Best service and Supar tritment and clinig room all staff best cearfule
Peshent cearfule "
2 stars,No proper assistance from the staff as today I sent my parents here to get the booster dose for COVID and around 200 people are in the queue where half of the people are outside and half of them are inside and the staff even don't care at …  More
5 stars,"My parents were hospitalized due to Covid-19. We received really good care from the doctors, nurses and entire hospital staff. The rooms were clean and airy. At times when my mom felt lonely, nurses came down to chat with her and made her …  More"
1 star,Poor experience. Overpriced as per the services the hospital management is providing. No co-ordination in the staff and blame game in times of crisis. …  More
5 stars,Special care is taken of cleanliness in this hospital because diseases spread due to filth. 
2 stars,"Admitted to hospital due to dengue, Very unprofessional staff... Had to chase for most of the things, right from checking temperature, monitor IV... So many times saw nurses sitting and gossiping but don't come even if the patient has to go …  More"
5 stars,Me and my husband tested COVID positive and were given best treatment.  Waiting time is long but its not their fault. Due to rise in number of cases they are also helpless. …  More
5 stars,"My mother was admitted to the General Ward for five days in Mai Mangeshkar, she had a femur fracture, and Under the guidance of Dr.Aniruddha Page and he successfully operated on her fracture,The OT staff was very nice, especially anesthetic …  More"
4 stars,"Visited for COVID vaccination here, was organised, clean and isolated from usual hospital crowd. Quick token issuance, payment and above all very professional person administrating vaccine, didn’t feel any pain at all. It was smooth experience overall, thanks to staff and security. Naman to Mai ! "
1 star,"Most unprofessional hospital.
They don't even know how to give injection and put saline. My mother was admitted because of pnemonia, and on third day at hospital nurse put saline on her left …  More"
5 stars,"Best COVID -19 vaccination centre . The doctors and the stuff were very cooperative , polite and professional. Level of hygiene maintained  in the hospital is extremely remarkable . I would highly recommend to get your dose in this centre. 👍😊 … "
5 stars,"Best service provided for COVID-19 Covishield vaccine. No pain while vaccination. Very professional and polite staff. Extremely hygienic vaccination centre. I’ve been to other centres also, therefore I could definitely say that this is the best vaccination centre.👍 … "
5 stars,"Multiple members from my family were tested covid positive few week back. Hospital staff was very helpful, Dr. Geetanjali lahane, Dr. Pallavi thekedar madam went extra mile to guide us and arrange bed. Dr. Hrishikesh Joshi is extremely …  More"
2 stars,"Dr. Never Comes On time..
And Too much fail service.
Receptionist not attend the call …  More"
4 stars,Very well coordinated and properly arranged vaccination drive. The vaccination process was hassle free and atmost care was taken. Good level of hygeine and cleanliness observed. Social distancing was followed. Great work done by MaiMangeshkar Admin team and staff. 
5 stars,"I was admitted here on emergency and later hepatitis A was detected. My Dr. treated me well, all the sisters were compassionate to their service. I was here for 1full week. Good things i observed- …  More"
1 star,"Absolutely worthless co-ordination among the staff . Department people are unaware about the staff heads and are unable to provide correct information .
I strongly suggest future patients not to prefer this facility for medical …  More"
1 star,"The nursing staff is not cooperative.
Billing takes almost half day for clearance. Unhygienic atmosphere at semi private and general ward. …  More"
5 stars,"Vaccination at Mai Mangeshkar Hospital was deciplined, faster with all precautions.
Staff is polite, helpful, well trained and efficiently did all activities.
High standard is maintained for every step, especially
inoculation . "
1 star,"Absolutely worthless co-ordination among the staff . Department people are unware about the staff heads and are unable to provide correct information .
I strongly suggest future patients not to prefer this facility for medical …  More"
5 stars,"Nice Experience to share with you.
I Shreepad Athalye residence of Bibwewadi Pune approached Mai mangeshkar Hospital thru ref.of Dr.Pallavi thekedar when myself and my wife declared positive on …  More"
5 stars,"Really great service during the difficult time of Covid-19. Doctor, nurses, hospital staff is very co-operative. …  More"
