Rating,Review
5 stars,Nice Dr. Charges are good and atttends the patient properly. Cleanliness Maintained. Evening Timings are 6:30 PM to 09:30 PM. Parking Available for 2 wheeler alongside Road. 
4 stars,"head Dr.Bhor with some others specialist doctors.
Very good facilities..
Effective results...
Clean rooms n clean labs.. Healthy atmosphere "
1 star,Doctor doesn't have proper knowledge and just like to experiment 
5 stars,Price range is too higher 
5 stars,None
5 stars,None
1 star,None
5 stars,None
5 stars,None
1 star,None
5 stars,None
5 stars,None
5 stars,None
