Rating,Review
5 stars,"Dr Nagare Sir Best Doctor in This Area,
Excellent hospital with very senior orthopedic and other speciality consultants. This hospital is well known for its quality care and excellence in orthopedics. "
5 stars,All the Doctors are experienced and other staff is also good.. Amazing Hospital in Uttamnagar Pune. 
5 stars,Best Multispeciality Hospital in NDA Road Uttam Nagar Pune. 
5 stars,"Best Hospital in This Area,
Best Multi-speciality Hospital in Uttam Nagar, Pune. "
5 stars,Dr. Nagare is a good listener and takes through care of every patient. 
5 stars,Best Hospital in Uttam Nagar Pune. 
5 stars,Best Multispeciality Hospital in NDA Road Uttam Nagar Pune. 
3 stars,"The reception has a problem. No matter how early you come, you still wait in the queue an patients coming after you can directly walk in to the doctor's cabin. …  More"
1 star,Pathetic service... 
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
4 stars,None
5 stars,None
