Rating,Review
5 stars,Excellent. I will pray 🙏no one should visit hospital. My experience for this hospital is extremely good. Reasonable and good treatment with experience 👌doctors. Staff are very polite … 
1 star,They dont even keep records on patients whi had visited them 2-3 months prior! Needed some documents for surgery for prior history check up and the excuse they give for not giving is they didny have online system to maintain! Never visit this hospital! Pathetic attitude and services! 
1 star,Dr jadhav the pediatric is the most arrogant docter I have ever met In Pune.He looks elderly and experienced which I think has made him irritating and feels like he hates his profession. Doesn't know the way to talk to children and also to their parents.He must understand that the parents along with their children are having a hard time see their children suffer.He doesn't even know the meaning of being sensitive and talking lovingly to children.Waste of my time and money with this guy.His treatment has given me zero benefit . 
2 stars,"Your Time and Money waste, Bad experience, Doctors are not knowledgeable specialy who's duty is continuously staying in hospital day and night, they are not properly guide you if you any think asking to him, I think they are trainy Dr., unnecessary tablet and treatment giving by them and If you not have any fever they saying you, You have a fever and they giving your time waste, also all Doctors are not properly presenting, we are waiting for next day, if they are not coming In a day first.

Nurse staff is good "
1 star,One of the worst hospitals ever. Never go to this hospital especially if there is an emergency. Duty doctors are highly inexperienced and ortho care is absolutely not worth it. Drink water and stay home instead of going to this hospital. 
5 stars,"All the staff in ward are very caring and made my patient's stay like home. All the helping staff was very kind to help us in the most difficult times of our lives. Thank you for all the good work you are doing.
Dr anand zingade sir  experience is Just made patient live. "
5 stars,"Had a Wonderful experience..
Staff and assistant doctores really take care and treated me very well during my checkup.
Extremely satisfyied with her guidance and their services.Amenities, architecture, services, checks and treatment were so so fantastic.
Best place for all ur clinical needs.
Quick responses and quality service.
Highly recommended.
Thanks again dr. Anand sir "
5 stars,"I am grateful to Dr.anand sir and his full medical team who processed my surgery successfully with constant caring and support. He explained everything to me in a very clear manner. He was also kind and friendly. All of the staff was great – they were helpful, patient and helped .all reception staff helped alot all through this.I am very thankful to all of you. "
5 stars,Entire staff start from housekeeping to sr doctors are professional and caring. Lots of advance equipment's are available and are using appropriately to recover patients. Overall great place to do treatment. 
5 stars,"Hospital is well maintained. Staff and doctors are very polite. Good process. I visited hospital for my knee pain. I had appointment with anand sir. He is very experienced, he given good amount of time to understand problem and explain very well. I have very good experience with  nanded multispeciality  hospital. "
5 stars,Wonderful experience with hospital. Dr. Anand zingade was a wonderful .and the staff was always helpful and kind. They ensured I had a smooth prep and follow-up. I am so glad I choose nanded multiple hospital. 
5 stars,Very good clinic with excellent doctors and specialists. All the sisters are really sensitive and helpful towards the patient. A highly satisfying patient management system. Thank you so much dr. Anand sir 
5 stars,"One of the best hospital in pune.Emergency department is the best team of nurses doctors including the pca staff,the immediate preparedness of emergency ward team with so quick response special thanks to dr. Anand best doctor in the town.❤️😇✌🏻 … "
5 stars,"Recently we visited nanded multispeciality hospital for  Medical Check up. Right from booking appointments to the final check up, it was highly organized in a Professional way. Guidelines given in WA by them really helped us to expedite the process. We were out within 70 minuts and the Sisters/ Staff/ Doctors were extremely courteous and helpful. "
5 stars,Staff is very kind. I've had the best experience here. I believe that the Doctors here are well experienced at do their. I've never had any issues during the time I was admitted here. Had the best service. 
5 stars,Nanded multispecialist hospital offers very good service to the patients. Special thanks to Dr. Anand zingade Sir for very keen personal attention to the patients. The patient gets relaxed after taking advise from Dr. Anand Sir. Thank you very much once again. 
5 stars,"Dr anand is a very experienced and very nice, soft spoken doctor. Nanded multiple hospital is very good. Hospital is neat and clean. They take care of patient very much. Thanks to doctor and staff. "
5 stars,Fully satisfied with nursing staff and all the cleaning staff in nanded multispeciality  hospital. They have handled the patient very carefully and behavior of all the staff including sister has been outstanding. 
5 stars,"They are very good and cooperative, after surgery we get good service and moral support also from them.
We thanks to all Doctor's and eveybody of nanded multispeciality hospital.🥰 … "
1 star,Skip this hospital if you really care for your health and money.  Don't really ever trust doctors over here. There is no inhouse facility of xray and sonography in this hospital. Emergency doctors are not equipped  to handle Emergency cases. 
5 stars,"The service of the Doctors, nurses, the administration staff and the guards is brilliant and exemplary. Thank you for this par excellence experience and for maintaining great standards. Highly recommend nanded multispeciality hospital. ✌ "
5 stars,Excellent staff & proper service..Especially thanks to Dr.anand zingade sir.He is not only a doctor but also a kind person.Gives sufficient time to every patient I Salute to him & his team. 
5 stars,The services that I receive from dr.anand sir or hospital was excellent. Dr.’s and the staff are friendly and ensure that I am properly informed about my health and care. 
1 star,"Very bad experience, suffered a lot due to poor diagnosis by incompetent Doctor (Emergency Services), and later they tried to cover up poorly.
This single star is only for the Nursing staff, as they were better than the doctor (whom I met).
It's better to avoid this hospital. "
1 star,"We have encountered one incident of burns, and went in here.
What we realised was the fact that the doctor was not very knowledgeable and she just cut the blisters straight away.
After talking to other doctors in Pune ,we came to know that the cutting of blisters was not required at all.
The doctor here made our condition from bad to worse.

Please take care of yourself and account all the risk of you are willing to visit here. "
5 stars,"100% recommended. 24 hours working,emergency also available. Everything is in low price. Dr Anand zingade sir is very expert surgeon. "
5 stars,Doctors and staff is very caring ...they look after the patient very well with  appropriate treatment..nice experience . 
5 stars,"Greatly satisfied with the service. Got appropriate treatment for Covid. Doctors, nurses and admin staff are too cooperative and polite. Staff also provided all necessary documents to settle my mediclaim. They were prompt in their service. Thanks a lot. "
5 stars,Nanded multispeciality hospital give's best facilities and all staff is very good specially dr.anand sir is very helpful and friendly he takes nice care of everyone.💯 … 
5 stars,"hospital all service good ,regular follow by dr.anand sir good maintane,all staff is very supportive. "
5 stars,"Dr. Anand sir is best . God in our life,hospital service is very good staff was very kind and polite "
5 stars,The hospital is great and overall Experience was great. The staff and the Doctors are very helpful and very polite 
1 star,They Charge IV Fuilds for 1000/- ..My Point not regarding they charge but they can't provide ther services that type No MBBS doctor Orr MD doctor visit to Check ..BMW Charges for 200 wasteg and many things .....1st improve ur service then collect the charges thank you 
5 stars,"VERY VERY SWEET SERVICE  FROM HOSPITAL STAFF SPECIAL THANKS TO DR.MEENAKSHI MAM .

In Nanded Multispeciality Hospital Dr.MEENAKSHI MAM,  And All staff Reception people  helping to patients Excelent way of speaking Guidense.. I felt very Happy with this people.. I strongly recommend to my Friends n Relatives to this Nanded Multispeciality Hospital. "
1 star,"Pathetic service.
They even didnt have wrist band to create pressure while taking out blood sample for test and used one of the glove from the table.

I asked them for the bill to which they said to pay the fees first which I did and later they gave me the bill post 15 minutes and kept me standing.

Looks like they care for the money rather than wellness of the patient.

Pathetic!!!! "
5 stars,Dr. Anand Zingade & his team at Nanded city Hospital is doing great work for there patients. Dr. Anand is skill wise super surgeon and humble person.👍 … 
5 stars,"Super speciality hospital in pune city.... With excellent medical management and faculty....
We are proud of  nanded multispecialityhospital, pune....😌 … "
1 star,"I went there for a high fever and weakness but MD medicine was not available even the appointment was scheduled with him.BAMS doctor attended me and took the same fee as MD medicine checking BP and temperature.Given few medicine for 3 days which didn't work at all.
The worst hospital in this area.Dont' go there just because it is near to you. "
5 stars,Very Good Hospital. Experienced Doctors and Advanced technology all under one roof.👍 … 
1 star,"This is worst hospital. Don't trust on these doctors. They Will give wrong suggestions. Quite expensive. I had one operation there with old technology. Doctor not told me that there are new technology available.

Beawar from thse doctors. "
5 stars,Hospital provides good treatment. Staff is very polite. Recommending this hospital for the reliability and high standard of service. 
5 stars,"Hygiene, supportive staff, Doctor correct diagnosis. "
1 star,Treatment is very expensive...staff has no manners to talk to the patients and relatives... doctors are also not available most of the time...and always long wait for report collection or doctor consultation... better to visit some known hospital... 
5 stars,Very good neat and clean Hospital especially I would like to thank Dr. Anand Zingade for immense support and care. 
5 stars,very nice treatment recevd from dr.anand zingade ✌ 
5 stars,Staff are very expensive... And all doctors are very good treatment to the patient... 
1 star,"Not at all good exprience . The doctors are all freshers . Charging 300/- rs but results are very poor . Myself and brother gone there suffering from high fever but  now also after 4 days we are not get well , they simply give medicines ... and dozes . "
1 star,"Worst experience, doctors are not present in time, charged more, have wrong timing and doctors comes very late, no time management, not seen hospital like this. "
5 stars,Nice hospital  in nanded city area supportive all staff.  Nice experience.. 
5 stars,Highly recommended Dr Anand for surgery 👍 … 
5 stars,"Clean and well maintained Hospital facility.
Staff is very cooperative . "
1 star,Worst experience! I went there for orthopaedic doctor. Wrong analysis was done by the doctor and wrong treatment was given. Very frustrating experience 😒😖 … 
5 stars,Hospital are very good 
5 stars,Very nice hospital.dr sachin excellent 
5 stars,Nice 
5 stars,Nurssing staff very competitive ... Saika sister and all staff very carefully 
5 stars,Very cooperative staff. Treated very well and carefully. 
1 star,Not at all good exprience . Very Expensive.. 
5 stars,"Very good service, all staff are very nice "
5 stars,24×7 service. 
3 stars,Good service 
5 stars,Best hospital in nanded city 
5 stars,Immediate response.. value for money 
5 stars,Good hospital for surgery 
5 stars,Best experience 
5 stars,Good service 
