<<<<<<< HEAD
Rating,Review
1 star,Horrifying experience.. Gave wrong tablet for BP due to which my creatinine level  shot up to 3.5 affecting my kidneys n the side effects were so much that still getting my treatments done. Please don't play with patients lives 
=======
Rating,Review
1 star,Horrifying experience.. Gave wrong tablet for BP due to which my creatinine level  shot up to 3.5 affecting my kidneys n the side effects were so much that still getting my treatments done. Please don't play with patients lives 
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
5 stars,"Experienced Professional Doctors
(Residence & visiting)
Excellent & correct Dygnosis
Fully Equipped OT, ICU & Labs.
Experienced Paramedics
Cooperative & Attentive Staff
Drugs & Chemist store with in
Very cleanliness maintened alltime
Economical & Budget friendly
Easily Approachable by all means
A Blssed place during Covid 19
Regards to all Doctors & Especially Dr.Salam for his Diagnosis.

<<<<<<< HEAD
Mohammed "
2 stars,"Worst part has too many stairs ,lift must be provided ,cleanliness ok,I was admitted for Dengue treatment but the semipvt room too had mosquitoes, bcoz of which we had to put our Good-night & fan continuously on, they change bedsheets only if we tell them🙄,no handwash in bathroom,inspite of knowing my bsl was 237 they did not monitored, nor gave me any medicine for that bcoz of which my bsl spiked ,no injection given for weakness,no cream given for swollen    hands& foot ,staff & Dr ok "
1 star,Had to give one star since there is no minus rating this hospital does not deserve even 1 star and it's the worst hospital in kondhwa were their staff lack basic knowledge and understanding and pretty good at messing things up! 
1 star,"Had very bad experience. My father had chest  pain and in emergency we rushed to this unprofessional hospital. They asked to admit and we agreed  on that after one day they told we need to do 2d eco, so i asked when they will do, they told after next 2 day and they have discharged my dad and asked me to pay 2d eco charges in same bill to confirm dr. Appointment and i paid but next 5 days they didnt give me appointment and when i panic due to thire unprofessional behaviour of staff, they are behaving  very bad (dr. Hafiz). Next one week my dad waiting  for full diagnose for proper treatment. Full waste money. Think before going to such bad hospital. They cant manage the things. "
1 star,We had very bad experience from the entrance only reception are very rude if some uneducated people came to check up they treat them like they are begger from the streets I'll suggest from my end don't go to this hospital. 
5 stars,hospital is nic but receptionist is very rude I give you 5 stars for doctor asma chaudhary Dr is talking with peshant very nic allah bless him 
5 stars,"Nice hospital. Doctors care is good. Hospital has Maternity, ICU, X-Ray, CT scan, path lab and medical. Hygiene is OK OK. But for the price what else do you expect..... "
1 star,Bad experience room charges very high treatment is not good 
1 star,Worst hospital waste of money I took my father to fix dialysis tube all materials we get for 750 to 800 Rs outside chemist and they were charging 5500 for some things it means they were charging 4500rs more only in material full loot 
1 star,Very bad condition this hospital and very bad service not good consulting specially Orthopedic 
5 stars,Nice hospital i ever seen  quick service and quick treatment. I admited 2 time here.. feeling well same day... 
5 stars,First of all very clean hospital and staff also very supportive and they help to poor people specifically .. 
5 stars,"Excellent hospital with good treatment , caring doctors and nurses,  nice environment!! "
5 stars,Excellent hospital with best treatment ane service. 
4 stars,Very supportive staff and clean hospital.. 
1 star,Receptionist is rude and have baseless attitude 
5 stars,Good service & well versed staff 
5 stars,Very Good Treatment and Service 
1 star,Rude and arrogant behaviour 
5 stars,The hospitality you need 😊 … 
4 stars,Good 
4 stars,Affordable budget 
5 stars,excellent hospital 
1 star,"Very very bad experience bilkul Dr. Available nhi rahete yaha emergency me bhi Dr. Available nhi thi mere delivery ka last labor pain k stage me bhi meri Dr available nhi thi. Bht dangerous experience raha, Allah phir kabhi kisi k sath aise na ho, emergency me c section k liye is hospital me anesthesia k liye bhi Dr. Available nhi tha, mai jo is stage se experience li hu is hospital se mera allh hi janta h, sath me c section k time jaldbaaji me Dr. Se my bladder rupter ka bhi operation hogaya. Bht hi bura experience raha Mera "
1 star,Dr abdul salam is very rude... 
1 star,"Allah's refuge.
Medicines worth 68,000/- in 6 to 7 days.
30,000/- hospital bill.
And a charity of Rs.1850/- in the name of Concession. "
5 stars,None
5 stars,None
5 stars,None
1 star,None
1 star,None
1 star,None
3 stars,None
4 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
1 star,None
1 star,None
5 stars,None
5 stars,None
1 star,None
5 stars,None
5 stars,None
5 stars,None
1 star,None
4 stars,None
=======
Mohammed "
2 stars,"Worst part has too many stairs ,lift must be provided ,cleanliness ok,I was admitted for Dengue treatment but the semipvt room too had mosquitoes, bcoz of which we had to put our Good-night & fan continuously on, they change bedsheets only if we tell them🙄,no handwash in bathroom,inspite of knowing my bsl was 237 they did not monitored, nor gave me any medicine for that bcoz of which my bsl spiked ,no injection given for weakness,no cream given for swollen    hands& foot ,staff & Dr ok "
1 star,Had to give one star since there is no minus rating this hospital does not deserve even 1 star and it's the worst hospital in kondhwa were their staff lack basic knowledge and understanding and pretty good at messing things up! 
1 star,"Had very bad experience. My father had chest  pain and in emergency we rushed to this unprofessional hospital. They asked to admit and we agreed  on that after one day they told we need to do 2d eco, so i asked when they will do, they told after next 2 day and they have discharged my dad and asked me to pay 2d eco charges in same bill to confirm dr. Appointment and i paid but next 5 days they didnt give me appointment and when i panic due to thire unprofessional behaviour of staff, they are behaving  very bad (dr. Hafiz). Next one week my dad waiting  for full diagnose for proper treatment. Full waste money. Think before going to such bad hospital. They cant manage the things. "
1 star,We had very bad experience from the entrance only reception are very rude if some uneducated people came to check up they treat them like they are begger from the streets I'll suggest from my end don't go to this hospital. 
5 stars,hospital is nic but receptionist is very rude I give you 5 stars for doctor asma chaudhary Dr is talking with peshant very nic allah bless him 
5 stars,"Nice hospital. Doctors care is good. Hospital has Maternity, ICU, X-Ray, CT scan, path lab and medical. Hygiene is OK OK. But for the price what else do you expect..... "
1 star,Bad experience room charges very high treatment is not good 
1 star,Worst hospital waste of money I took my father to fix dialysis tube all materials we get for 750 to 800 Rs outside chemist and they were charging 5500 for some things it means they were charging 4500rs more only in material full loot 
1 star,Very bad condition this hospital and very bad service not good consulting specially Orthopedic 
5 stars,Nice hospital i ever seen  quick service and quick treatment. I admited 2 time here.. feeling well same day... 
5 stars,First of all very clean hospital and staff also very supportive and they help to poor people specifically .. 
5 stars,"Excellent hospital with good treatment , caring doctors and nurses,  nice environment!! "
5 stars,Excellent hospital with best treatment ane service. 
4 stars,Very supportive staff and clean hospital.. 
1 star,Receptionist is rude and have baseless attitude 
5 stars,Good service & well versed staff 
5 stars,Very Good Treatment and Service 
1 star,Rude and arrogant behaviour 
5 stars,The hospitality you need 😊 … 
4 stars,Good 
4 stars,Affordable budget 
5 stars,excellent hospital 
1 star,"Very very bad experience bilkul Dr. Available nhi rahete yaha emergency me bhi Dr. Available nhi thi mere delivery ka last labor pain k stage me bhi meri Dr available nhi thi. Bht dangerous experience raha, Allah phir kabhi kisi k sath aise na ho, emergency me c section k liye is hospital me anesthesia k liye bhi Dr. Available nhi tha, mai jo is stage se experience li hu is hospital se mera allh hi janta h, sath me c section k time jaldbaaji me Dr. Se my bladder rupter ka bhi operation hogaya. Bht hi bura experience raha Mera "
1 star,Dr abdul salam is very rude... 
1 star,"Allah's refuge.
Medicines worth 68,000/- in 6 to 7 days.
30,000/- hospital bill.
And a charity of Rs.1850/- in the name of Concession. "
5 stars,None
5 stars,None
5 stars,None
1 star,None
1 star,None
1 star,None
3 stars,None
4 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
1 star,None
1 star,None
5 stars,None
5 stars,None
1 star,None
5 stars,None
5 stars,None
5 stars,None
1 star,None
4 stars,None
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
