Rating,Review
5 stars,"Very good medical service provided and also it's very much cost effective, accurate diagnosis,clean surrounding, all Mediclaim bills are surely cleared and also very good trained medical doctor available 24 hour's..... "
1 star,Very slow vaccination process even though less number of people are taking here. Poor nursing staff. If you want to save hours of your precious time don't take vaccination here. They are doing inauguration program along with vaccination process. 
1 star,I come here for my wife 2nd dose vaccination. But No proper management. No proper sitting arrangements. Situations very poorly handled. Certificate issuer dont know who is giving vaccination. Payment is taken first. They offer specific tablets forcefully. 100% worst management. 
5 stars,"All the gynec and pediac issues are handeld very carefully and professionally
Charges are less as compared to other hospitals ..
Ultrasound USG is done with a high resonance machine which gives an accurate result
All the mediclaim van be claimed here easily and are passed without rejections..
These were the services by hospital which I've experienced during my gynec treatment
Dr vishwas patil is very polite and conscious about all the patients
And the hospital is working 24/7 so anyone can approach it in emergency at night without a halt "
2 stars,"Very poor management.
I went for second dose. They have taken money first and then have to wait for some time. Even they have not provided final certificate but given tablet and charged for that separately also. Hand written receipt has provided when asked for it. However, Staff was polite and clean environment. "
5 stars,"A very good service provided by hospital...
Both the Doctors...Dr pooja patil and Dr vishwas patil are polite , well educated and cooperative...Hospital staff is supporting caring..I've been felt very comfortable here while taking my treatment for gynec issues ..one must surely approach Dr vishwas patil. "
4 stars,Today I went for second dose for my daughter. Within 5 minutes vaccination activity completed.Even Doctor Viswas is also Very good human being. 
1 star,"Very bad experience. I went there with my brother for vaccination. Vaccination process was very slow and whole staff was poorly trained. They don't even know how to behave with patient's. They talk very impolitely, if u complain about anything. "
1 star,"I went  to this hospital for my daughter , she had a fever since yesterday , they told that the blood report must to do , I asked to wait for atleast 2 days more because my daughter had fever from yesterday only , they took blood sample for hemogram , and CRP , and charged me rs 995 ( consultation 150 , medicine 145 , blood test 700 ( to much for this test .) , Total 995 , they were literally cutting the pockets of patients. I request all of you , don't go there . "
5 stars,"Very good doctor's and we'll trained staff
Charges are very less according to Pune's hospital rate
Best luck "
1 star,They have their own pathology lab which always gives wrong reports and they unnecessary admits the patient. Also Nursing Staff is  very much untrained & unskilled. They will not provide any  medical reports to patient after discharge. 
4 stars,"My name is Laxmi thakur.i m 3years experience.icu handling,general ward handling & covid patient handling "
5 stars,"Very Good Hospital
Trained Staff and mangement
Dr. Vishwas Patil is very Humble natured .... "
5 stars,"Very Good Hospital
Trained staff
Maintaining Proper sanitization
Best doctors team
Best vaccination center "
1 star,"Went there to have my COVID-19 vaccine but the hospital was closed
They had kept the slot booking open and the hospital was closed "
5 stars,Very nice experience.... doctor are very kind and helpful in nature 
5 stars,Best hospitality ever seen in pune 
1 star,"Very bad sarvice and third class staff I'm  not happy
no doctor round time to time visit all Handel's staff "
1 star,"Very bad and slow service,
No experience staff
Worst service of vaccination "
5 stars,Very nice experience well trained staff and doctors. 
5 stars,"Best hospital
Proper noursing care
Well trained staff
Best Doctors "
1 star,Very bad service. Giving expired medicine to patient meaning full. Loss my family because of them 
5 stars,"Best helpful and knowledgible doctors, highly recommended service. "
5 stars,Best hospital in Dattanagar .....good facilities nd good working staff ....and doctors 
5 stars,Well service💫and best hospital . … 
5 stars,"Best hospital in dattanagar
Well trained nursing staff "
5 stars,The best doctors for gynacology and pediatrics treatment .. 
5 stars,"Accurate diagnosis, clean hospital and supportive staff. "
5 stars,Excellent service ... Great Experience 👍 … 
5 stars,Good doctor and nice staff .... 
5 stars,Excellent service & caring staff 
1 star,Totally unprofessional..no proper management 
5 stars,Excellent hospital. 
1 star,Half rating for this.  Worst service. 
5 stars,Very good experience 
1 star,Very bad experiense ! 
1 star,Bad experience 
5 stars,family hospital.... 
5 stars,None
5 stars,None
4 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
1 star,None
4 stars,None
5 stars,None
