Rating,Review
5 stars,"Wonderful experience with Pawar Hospital. Dr. Sonia Pawar madam is a wonderful surgeon, and the staff is always helpful and kind. They ensured I had a smooth prep, surgery, and follow-up. I am so glad I chose this hospital and would highly recommend to anyone. "
5 stars,My wife Manisha was admitted for Fever and Cough . We r regularly visiting this hospital from last 10yrs. Only because of Dr.Pawar sir. He is best doctor and best human being also. Gives best  treatment and never give unnecessary medicines. Only because of him I always come this hospital. All nursing and housekeeping staff is very caring and supportive.rooms are clean and hygunie.afforadable hospital for middle class family.Thank you. 
5 stars,My father was admitted at Pawar hospital for hernia operation in Sept 2021.The operation was done well and smoothly. Even I am now taking treatment for Vericose veins. Dr. Pawar is very good and friendly and staff is also good and helpful. I would definitely suggest this hospital to all. My bialateral li vericose surgery was done well and smoothly. Staff is very co operative and helpfull 
5 stars,"I have coming to pawar hospital from past 7-8 years. All doctors are very good specially pawar sir. Recently Father was admitted due to copd. All the treatment was done and guided very well.
Given discharge with proper medication.
All the non-medical staff are very cooperative.

Super facility.... Fantastic treatment...

Patient name - Damodar Sakharam Ubhe
DOA - 28/10/22 DOD - 08/11/22 "
5 stars,My Father Tanaji Nimbalkar was admitted for viral fever . Dr.Pawar is my family doctor .He is best doctor and explained  about patients condition properly.never gives wrong advise. All hospital staff give proper attention and very good take care of patient .Thank you so much and keep it up. 
4 stars,"Tayabali Sayyad my Father was admitted in pawar hospital in ICU. The staff was very calm , good , helpful and caring. The management is very good . The cleanliness is also good . Overall everything was good nd best.This practice is terrific.  combines expertise and a willingness to listen and discuss.Dr.'s also an excellent. Also, the staff is very friendly and professional. I’ve never had to wait more than a few minutes when I arrive on time for an any consultation or admission. "
5 stars,My brother Mustakin shaikh was admitted for surgery.under Dr.Nitin Pawar sir.he is best doctor and best human being. We r very happy with his treatment and behaviour . Other staff is also well mannered and deciplined. Dr.Inamdar Is also very good physician.all good facilities given by Hospital.highly recommend.Thank you. 
5 stars,"My wife was taking treatment since last 1 year. Finally we are blessed with cute baby girl 🥳
All receiptinist & OPD staff and Dr Sonia are very cooperative also sisters provided awesome treatment and service. One of the best hospital in south pune. Thank you so much for special treatment and service 😊 "
5 stars,My father Popat Wagh was admitted in  pawar hospital  for viral fever.i am regular patient of Doctor Pawar .he is best Doctor and human being. Always give perfect  treatment and medicine. All staff is nice and caring. Thank you so much for taking  care of patient like family members. 
5 stars,"My Daughter pranali was admitted for severe abdominal pain,under care of Dr.Pawar Sir.he is best surgeon,very good approach towards patient. All facilities are available with good qualityis. Thank you all staff and team . "
