<<<<<<< HEAD
Rating,Review
5 stars,"Went here for my booster dose of Covid vaccination the other day and sister Charu administered the same most efficiently.  Have never taken an intramuscular injection that hurt so less. Really, our healthcare system would collapse in a day if it wasn't for such efficient and hardworking nursing staff!! Also the duty doctor n the people at the reception were most helpful and courteous making the experience of the visit much better 😀 👍- Dr. Meherzad Boomla "
1 star,"I went here to get the booster dose of the COVID-19 vaccine on December 11, 2022, and my experience was horrible. First, the nursing staff overcharged for the vaccine and provided no receipt. Second, they did not record that the vaccine had been administered, as a result of which, the certificate on CoWIN portal was not generated even two weeks later. Thirdly, when I went to enquire about the certificate, the nurse blatantly lied that she had not administered the vaccine and instead of taking action, Dr. Kunal Oswal defended her saying she was new.
Ultimately, the certificate was generated, but such poor service and lack of management does not translate into healthcare. "
5 stars,"Parasmani hospital is very good. My child has hand fracture i come here and admitted.Doctors,nurses and support staff is very good and they care a lot about patients. I recommend this for every one. "
5 stars,The services that I receive from paarasmani hospital is excellent. Dr. Kunal oswal and the staff are friendly and ensure that I am properly informed about my health and care. I would have no qualms in recommending them to friendly and friends. 
5 stars,"I was at this facility to take my second COVAXIN. From appointment to vaccination it was a very smooth process and the staff was knowledgeable, helpful and caring. Facility was very clean and organized. "
5 stars,"I have recently had a stay at PARASMANI Hospital, Hadapsar,Pune – a new experience for me. I am very thankful for the dedicated professional and hard-working staff at the hospital.
I watched the cleaners working hard to keep the wards clean and free from infections .
Dr Kunal Oswal and his team of doctors are highly experienced and professional.The hospital specializes in various kinds of surgeries.
Had a fantastic feel at home experience recently when I was admitted at his PARASMANI Hospital 😊🙏 .I thank Dr Oswal sir and his staff from all my heart for doing this exemplary service to the human race, God bless you all 😇 "
2 stars,"Good setup and clean. However not a great experience on vaccination. Bureaucracy at its core on not wanting to enter data on cowin. Said that they will only enter data at the end of the day. This leads to errors and issues for people but they were least bothered. After a lot of request they agreed and it literally took 30 seconds for the person who was otherwise sitting idle.

Sad to see that they will choose to sit idle and let data entry work pile up, but not do it as people get vaccinated. Didn't expect this from an otherwise good setup. "
5 stars,"Very good atmosphere, cleaned and staffs are also very nice.
Doctor is super and very helpful "
5 stars,"Great doctor very down to earth staff too very co operative....
Will surely recommend for others "
5 stars,My over all experience with this hopital was good. Best surgen Mr Kunal Oswal and his staffs and Nurses all were very co operative had a great experience 
5 stars,Very professional. Good. My dad 67 took his 1st dose and me and my wife took booster dose. Friendly environment. 
1 star,Worst Hospital. My friend admitted to this hospital after he met with an accident. They charged him 6k for first aid(Attended by Nurse/Brother). There should be minus star option. 
5 stars,"Appropriate treatment.. Dr oswal sir, dr oswal madam both are really helpful..Very nice hospital.. Clean setup..hospital staff is very cooperative 🌹 … "
5 stars,We visited the hospital for the first vaccination dose for our younger daughter. Booked the slot through Cowin app. This was out first visit to Paarasmani Hospital. Have to mention that the entire process was extremely smooth and well handled by the hospital staff. Would definitely give a thumbs up!  A big Thank you to everyone who assisted us. 
5 stars,Very nice hospital. The team is very good and cooperative. Thanks! 
5 stars,Pleasant and cooperative staff excellent cleaning and prompt services   Highly experienced Dr and strongly recommend 
5 stars,Very professional and caring service. I got my booster dose vaccine done here within minutes. I would really recommend this hospital for all services. 
5 stars,"Hospital staff was very cooperative, COVOVAX vaccine for my daughter was not available anywhere in India. They called us as soon as it was available with them. Staff behaved very politely and the service was smooth and quick. It was a hassle-free experience at the hospital "
5 stars,"Very good experience. Friendly staff, cleanliness, and proper care helps in speedy recovery. "
5 stars,One of my best experience in Parasmani hospital. Thanks for the co-operation with my patient. 
1 star,"Don't go for vaccination here. We booked vaccine through Arogya Setu in this Hospital. After driving 5 km to this hospital, they said vaccine is not available. Very rude staff and mismanagement of vaccination app.
If you want to waste your time book vaccination in this hospital. "
5 stars,"Very good doctor and staff.
Every time clear surface, and clever doctor and all of his staff "
5 stars,It was really smooth experience for second dose of covaxin for my son conducted by the sister(nurse)  by Ms.Charu working at parasmani hospital.I recommend everyone to go for vaccination at this center 
5 stars,We took the precaution dose of Covishield at the hospital. The arrangement was smooth and the staff were very helpful. The injection was administered was so smooth that we didn't even feel it. Great job. I would recommend all to avail the vaccination facility at this hospital. 
5 stars,He is very good doctor .. he treated my father and filled in confidence in our family.. 
=======
Rating,Review
