Rating,Review
5 stars,"Uttam Seva 24 taas Availability , Special for Woman's and Kids , All Types of lasikaran and dos Available , Leadis special weekly shibir , parking seva, Ambulance seva, very good treatment in low cost just take a 2rs Kes Paper, Usually crowded "
4 stars,"This hospital is also called as
PMC G Fursungi Dispensary, we can book Covishield doses online and get doses here. "
5 stars,Covid vacation is available. 
4 stars,Good treatment in low cost 
4 stars,Epass sathi medical certificate detat ka te? 
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
