<<<<<<< HEAD
Rating,Review
5 stars,Dedicated and very polite staff and Doctors . 
5 stars,Dedicated and very polite staff and doctors . 
4 stars,"Best Treatment
Thank you "
5 stars,Polite and best doctor 
5 stars,None
4 stars,None
1 star,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
4 stars,None
1 star,None
=======
Rating,Review
5 stars,Dedicated and very polite staff and Doctors . 
5 stars,Dedicated and very polite staff and doctors . 
4 stars,"Best Treatment
Thank you "
5 stars,Polite and best doctor 
5 stars,None
4 stars,None
1 star,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
4 stars,None
1 star,None
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
