Rating,Review
1 star,"Pathetic service . They don't care about the patient . They are only concerned about making money . Doctors have their fixed time of coming at the hospital . It's a Clinic and please don't come for any emergency as they do not have any doctor to atleast adress the emergency patient .
Please don't come here . It's a complete financial and mental peace loss . "
5 stars,Its very good hospital emargancy doctar available 24/7stap is very copretiv thank sp hospital 
5 stars,"It's very good hospital Doctors and staff is very Kindness,, Treat also very Nicely done. Thank you so much "
5 stars,"It's a very good Hospital, Staff is very Polite All Doctors Well Qualified. "
5 stars,Good patient care and services 
5 stars,Nice hospital and good facilities ...Thanks sp team 
5 stars,"I am admitted in sp multi-speciality hospital for UTI .it's very good hospital.staff is co-operative. In pharmacy given 10%discount.
Thnk u S.p hospital🙏. … "
5 stars,None
5 stars,None
5 stars,None
4 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
