Rating,Review
1 star,"Worst service provided.. Have been runing around for atleast a month for skin specialist appoinment.. Pathetic co-ordination within the staff.. On call they took appointment and after reaching hospital within 15 mins, it is informed that doctor has left.. Are you guys running a hospital or a psych ward.. Morons! "
1 star,"I was injured and instead of guiding me or explaining me the issue, the doctor was asking me do you have a insurance and you have to get admitted. Then i left that hospital and went to another one and they told me to take rest in home. Don't go to sai sneh, they are fooling people. "
5 stars,"It was very nice experience for us , the all staffing services is very good. Dr.Pallavi jagtap has good experienced as gynecologist. hospital well equipment.the insured coordinator are vere prompt and good faithfully . "
5 stars,"Excellent treatment...!
Nice Staff...!
Reasonable charges..! "
5 stars,"Dr Sumeet Jagtap owner of Sai Sneh Hospital MD Physician is very good at his work,great staff,very professional,helping and caring,ethical and kind..May God Bless Him and his staff..keep doing the good work. "
1 star,"Worst hospital never visit
Untrained staff
Very bad language of staff even of manager level staff
Prefer other hospital never visit this hospital "
5 stars,"Best treatment  provide  to the dr.sumeet
Best insurance  provided  to the
Priyanka  Bhosale "
5 stars,"All doctors are Very good, Nice service provider by hospital.. all staff is very helpful and polite.. especially thanks to insurance department of the hospital Ms. Dipti madam she helps us alot to process our cashless treatment. "
5 stars,"True motto of 'Service of mankind' with spirit & soul personified at this Hospital . All the staff is devoted & dedicated to bring smile on the faces of patients & relatives. Pious and homely atmosphere with personal involvement of Dr Sunil Jagtap, Dr Sumit, Dr Pallavi & other staff with frequent visits and easy accessibility whenever needed. "
5 stars,"Good Hospital, experienced Doctors and very importantly, clean and transparent treatment,cleanliness is maintained with a war footing every single day.
Doctors personally make a point to attend the patients 4 times a day. "
5 stars,"I had a great experience. It’s the best hospital I ever visited. All the staff and doctors of the hospital were very friendly, co operative and helping. My family loved the kindness of staff and doctor. My overall experience was great. I would recommend this hospital to others. "
5 stars,The services that I received from Sai sneh Hospital & Diagnostic Centre Pvt Ltd. Katraj Pune is Superb. Also staff is very supportive and friendly especially all nurses take very care of patient. I always recommend this Hospital also because their Hospital Price is very affordable for everyone and Specially thanks to thier Doctors Sunil Jagtap sir and Sumeet Jagtap sir who treated my sister last week and now she is very well and Happy Thanks.Thanks All Hospital Team. Appreciate 🤗 😊 
5 stars,"I had undergone dengue treatment in this hospital. I had treated very well. I am thankful to all doctors, sisters, brothers, office staff. All are very helpful. Cashless mediclaim treatme is available. On periodic time doing Cleaning. Post treatment service is also good. Medical also available. All team are very caring. Only canteen is not available. Well equipped hospital. ICU , special room, AC rooms are available. ECG, EYE CHECKING, PEDIATRICIAN, GYNAECOLOGIST are available. Other clinical services are also available on call. "
5 stars,"Good staff,doctors and prompt service "
1 star,"A WORST HOSPITAL IN PUNE
Very bad service, no proper coordinator
No proper guidance
facility are not available most of time they ask us to shift the patients because of no machine for operations.

At billing time the unnecessarily increase the bill.
Only they focus on money and not on patient. "
5 stars,"Outstanding care and service...well equipped with pharmacy, dialysis unit, laboratory,OT ,X RAY,and all other specialities... Outstanding care &services With the help of well educated staff..In the presence of Best ...DR. Sunil Jagtap "
5 stars,Good Hospital and Staff 
