Rating,Review
1 star,"The worst, most nasty admin / reception.

The doctors and testing facilities are really, really basic, but good and they charge really less... A couple of years back, I had gone there for a broken finger... and I really had a wonderful experience.

And now I thought I'd go there for some GI distress I've been having. The reception staff don't even understand basic medical conditions. They don't even know if they have specialists for this conditions. And if you ask to speak to the GP or a senior (when convenient, of course), they simply refuse. I've been trying for 2 weeks now. And if you ask for their name, so you can follow-up, they lie and give any random name. They don't do their job despite multiple requests. They're the kind of people who seem to take joy from others' distress, suffering and frustration.

This hospital could be such a huge blessing, but if the first point of contact of the hospital are so nasty, lazy and shameless.... how do we as people, get through to the doctors and care we need?

It's a real shame. "
5 stars,"The best hospital in this area
Value for money
Treatment is also good "
1 star,"I got my Acl surgery done from this hospital and they should have started my physiotherapy immediately in about two days. When I asked them, they told me the physiotherapist didn't come to work. And they discharged me without giving any physiotherapy protocal. They didn't even tell me that I was supposed to start immediately or I could've found a physiotherapist to help.  Because of this my recovery got delayed and I am behind my recovery schedule by 2 weeks. It made my leg weaker. I don't recommend this hospital at all. "
1 star,Worst hospital.. receptionist s behavior is very cheap.. battameez lady.. and reports never come proper dey don't hv facilities.. my worst experience 
1 star,Dr. Suhail  he is worst doctor i have ever met. He doesn't have any knowledge and cannot diagnose properly. He doesn't even listen to his patient carefully. He is very careless and a worst doctor i would never recommend anybody to go in sana hospital because there is no proper doctor or staff to deal with patient. I wish i could give 0 but i don't have the option.He even doesn't provide any direction at all and upon asking he doesn't respond in a good way. He is very unprofessional. 
1 star,"Doctor gives unnecessary test..Always in hurry to do operation. Did a 30min operation of my neice, discharged in 3 hrs and costed 26000. "
5 stars,Very good doctors especially Dr Zakir he is very professional and provide good treatment to the patients 
1 star,Very very bad service.. they don't care about patients they only care about money.. the doctors are good but the staffs is very careless.. they don't know what to do they don't know anything they just know how make reels and how to watch tik tokss..such a shame 
1 star,Worst hospitl.illeteratd receptionst no mannrs to tlk.nd drs out of knwledge.charges r high.irresponsble mangment. 
5 stars,"Hats off to doctors and experienced surgeon's working there.....their receptionist are more effective and friendly....ashpak sir, and salomi madam, helped us lot about the insurance claim..overall...they treated us like a family members "
5 stars,Dr. Is very humble and good person. Atmosphere is great here. 
1 star,One of the worst hospital in Pune horrible experience may Allah keep us away from such people 
1 star,"Worst experience
Very unhygenic
At bill counter while discharge the prescrition was exchanged with another patient and when i confirmed once again as my mothers name was not showing on that then they were awake and gave the correct priscription so this means the patient needs to be vigilent and not a single word of apology from their end
So sad "
1 star,"The Dr's  Treatment are Not good
Dr's are not trained well the Dr's are not well educated Dr's give trouble to patient while operation they damage patient body parts
Hospital is very dirty,untidy not clean and neat
Dr's are not have experience
Very well they do not corporate with patients hospital staff stolen patience medicine
The Hospital should be done closed and get banned "
5 stars,"Hospital is very good my wife was admitted for her delievery
All the process was goood
Will recommed this hospital
Good people "
5 stars,"Had met Dr. Suhel Khan in 2016 for my ankle fracture and ligament tear. I was cured with his treatment. Few days back my Mom had an wrist injury. We took her to Dr. Suhel Khan. He got her Operated for wrist dislocation. Found Dr. Suhel Khan very genuine and polite person who makes patient and their relatives understand the concern towards their treatment and health.
Would like thank Dr. Suhel Khan and the whole staff of Sana hospital for the care and support they gave my Mom.
May Swt Allah bless you abundantly Suhel Sir.
Thank you once again. 😊 "
5 stars,One of the best Orthopedic Surgeon in town Dr.Suhel sir. Had completed broken my ankle in an accident but all thanks to Dr. Suhel and team for immediately taking action and performing the operation  on the same night. Before entering the OT I had asked Dr. Suhel  can I play Football ever again ? With so much confidence he confirmed me and Alhamdullilah within 5 months I was back on field and kicking. Thank you sir 
5 stars,"Hospital delux Room is much good than all other hospitals
Claim patient can visit here
Nice faculty
Good doctors "
3 stars,"Hospital is ok, My cousin had a dangue and had to spend 3 days at Sana Hospital and recovered very well. He is gracefully okay now but the staff of nurses and cleanliness is that much appreciated. I had to request them multiple times to clean up the floor and they hardly bother about it. I saw 2 doctors visiting everyday in the morning amd evening. General Ward isn’t worth ₹1800 they charge for 24 hours. "
5 stars,Good doctors...good medical staff...24 hrs medical service available... Genuine Treatment with reasonable charges. Lots of happy faces seen here after getting treatment Via Dr.Sohail . 
