Rating,Review
5 stars,"One stop solution for all orthopedic problems.

It's a huge facility with all the lastest facilities. Every department is spacious with ample seating area and can accommodate lots of patients.

From the main gate, there is excellence maintained, if you come by car, you'll get a token to park, and they have basement parking with reasonable parking fee.

They have lifts to all the floors and the facilities is spacious and clean.

As you enter the patient and the one accompanying should register and then you will be directed to the concerned department.

Even if you walk in, you'll be treated well.

I would recommend you to visit the hospital early before 12, as it tends to get crowded post 11:30am. Though the crowd seems to be attended fast, it's better to come early or book appointment ahead of time to save your time.

The consultation fee is 400+.

You get good consultation and also all the options for recovery will be given to you so that you can make a choice based on what fits you best.

It's a great hospital if you have to treat any bone related issue as this hospital specializes in this area.

Over all it's a good hospital better than going to a general hospital and trying to find a orthopedic.

Also this is located close to the railway station of Pune, about 3km from station, so easy to access, also it's on the main road, you can come here by road easily. "
5 stars,"Located in the heart of Pune city this hospital is the best in class orthopaedic hospital in Pune.
Management staff, doctors & care takers all are co-operative & supportive.

Hospital is well maintained & all specialists are available here in hospital.all amnesties are there including lift, common bathrooms, canteen drugstore and visitors seating area. Valet parking available with nominal fees.

Special attention & care has been taken for patients. "
1 star,"One of the worst service provider, doctor wrote wrong injury report and submitted to Claim to XYZ company and that company denied my claim and informed concerned senior Dr. Parag Sancheti and health care manager Rekha But they asked me pay whole amount stating u can claim later. I have their justification letter and wrong injury report sent to claim office. Doctors are very casual approach towards patient. I was solo patient with ACL (Ligament tear) tear went to hospital 3 days continuously but no use.

Very casual approach by doctors at Sancheti Hospital, Pune

All can go through following images.

Handwritten is correct one and other one is wrong report.

Staffs are not supportive at all.

Dear patients kindly be careful. "
5 stars,"The overall experience with this hospital was very pleasing. The staff is very supportive and guiding. I really appreciate there good understanding. Cleaning staff made my experience good.
And finally most important that I experienced Impressive perfect diagnosis by doctors. "
5 stars,"Excellent experience of getting operated for ACL reconstruction at Sancheti hospital, Pune.
Highly skilled doctors available to take care of your health needs.
Cooperative and empathetic staff, who are always available to address all queries.
Wonderful postoperative rehabilitation services provided by Physiotherapists.
Will definitely recommend for all orthopaedic issues. "
1 star,"Worst management ever. Delays even though having scheduled an appointment and waited for 2 hours post scheduled slot.  Still haven’t got the slot to get the follow up. Being from a different state and not able to converse in native tongue puts you in disadvantage. They will hold it against you. Favours the one with who speaks native and who are actually paying for other services along side the check ups.
Not a single ounce of professionalism. Favouring the rich n natives end of story.
If you are normal middle class person better not come here to waste 3 hours just to get check up. No use of booking the appointment either.
Worst part is they no respect of your time either. "
5 stars,"Hospital is well cleaned
Staff is good
Doctor are good,
For ortho there is one solution in Pune "
4 stars,Very nice hospital.. Cleanlisness is maintained.. Excellent treatment.  Parking is a limited.. 
5 stars,"I had severe pain in right arm and cervical spine. Everywhere suggest surgery. But Dr Ajay kothari completely cure my cervical spine issue medication and exercise...
Thank you so much Dr Ajay kothari sir.... He is the best spine specialist "
1 star,"Worst experience at OPD of Dr. Shailesh Hadgaonkar. You will not get proper consultation. I visited here with my mother for her back pain. In first visit - with 2 minutes interaction with patient, Doctor asked asked to have two MRI's.
We thought in next visit Dr. Shailesh will give proper time but in 2nd visit within no time after overviewing the MRI's doctor suggested to take admission in hospital for taking some injections.

They will ask for your profession and health insurance for better understanding of your health.

Worst OPD queue management. We booked appointment at 4 pm and we had to wait till 6.30 pm.

Too much expensive. Two MRI'S costing is 16000/- (outside sancheti you can get it for 9000 also) + consultation fee 750/- + injection & admission charges 70000/-(general ward). "
5 stars,"My mother having severe low back pain in both lower limbs and lumbar spine.she is 77 years old.I was not sure she will work again then I met Dr Ajay kothari.He completely cure my mother spine issue medication treatment and she is better now.
Thank you Dr Ajay he is best spine specialist "
1 star,"I don't want to give any star but without giving it I can't write my review ,met Dr parag sancheti for my mother's knee revision surgery he didn't listen to us not even saw her reports and was suggesting very illogical treatment which non of any orthopaedic suggested us and just forcing to talk about treatment cost with there representative thn will decide treatment. I don't know patient ki condition dekh kr treatment decide Krna hota hai ya cost k hisab se . Very very bad experience, will never suggest anyone to go there . "
1 star,They are now looting people just to complete the other buildings besides the main one. Senior sancheti was good but he is now too old to handle. They were planning to charge me double the money but I managed to go somewhere else. 
2 stars,"This is one of the best hospitals in Pune when it comes to orthopedic problems but doctors here need to learn time management. They have to be punctual to the time they commit to the hospital. Also, the OPD team should be capable of managing appointments in case doctors are late.

I have been to this hospital multiple times in the last one year and have consulted with many doctors here but the punctuality problem is faced with all of them. Doctors need to understand just like their jobs we people also have jobs and we take a leave or manage our time to consult with you "
1 star,"First let me clear you all that , this review is not about hospital services which are very good in all manner. This is about security services at the entrance gate, in visiting hours also there are too many hurdles to visit patient. Also they don't even look after pass returned and cause trouble to next visitor by claiming previous pass yet not received 😡 . Very poor service. Management need to look into this matter. "
5 stars,"Hello friends,
I am here to share my own experience with sancheti hospital where my father was diagnosed with   severe block of spinal cord in l3 l4 l5 levels and he was 73 …  More"
