Rating,Review
5 stars,"We choose Sangam hospital for our Baby's delivery and very satisfied with all the Doctor's Assistants and staff.
It's a luxurious experience at comparably affordable price than reputed hospitals.

It's a Huge Infrastructure with latest facilities and experience of staying in a 5 star Hotel

Me and my newborn were treated really good and speacial every moment and Doctors visit every single day with full of positive vibes and helped me through my parenting journey
Dr. Ranjana ,Dr.Sayali, and Dr Unmesh made me so comfortable in my baby delivery and I was not at all scared in OT

Paediatric Dr. is a well experienced and ready to answer any query and helps you break all old myths related to baby care

Amazing team of Doctors and staff

It has a nice Cafeteria and Play area too

We highly recommend Sangam Hospital "
5 stars,"Top center for IVF in Pune. Highly recommended fertility clinic. They doctors and staff are very down to earth, with an excellent world class setup. Right from the OPD, OT and Rooms, the hospital is a centre par excellence. Highly recommended for treatment here. The best doctors with a very positive atmosphere here. Right from entering the hospital, it gives us strongly positive vibes. "
5 stars,"I chose Sangam hospital for my delivery and am happy, content and blessed to haveade a right choice. I found all the doctors, nursing staff and the helping staff extremely polite, helpful, well informed and professional. In my entire journey of pregnancy and delivery not once I had a second thought. I was taken well care of, given proper treatment both as a patient and a human being. Though this was my second pregnancy but I had unending questions and my doctors gave reply to each and every one of them putting me at ease. I am grateful to the entire team for making my journey ease and giving my husband and me a great experience of becoming parents and taking care of us all throughout. "
5 stars,"A big Thank you to the team of Sangam Hospital especially Dr. Saily who was very polite and gave us her expert opinion and suggestions throughout my wife's pregnancy. My wife had twin pregnancy  and she handled so nicely  along with other doctors and staff. They in fact were also very helpful with my insurance claims documentations and provided each and every bit what insurance company asked for. I am very much thankful to the dr. and staff who were a great support all the time. My wife had a great experience in Sangam hospital I would recommend everyone.
PS: The doctors are very genuine and I loved the way they did treatment for my wife's pregnancy they will also not do any unnecessary test and all. Overall, I give them 10 on 10.  Kudos ! to the Sangam Hospital and Team. Thanks a BUNCH guys. "
5 stars,We were trying to conceive since a year without success. But when we visited the hospital I got the good news within a month or so. Dr Saily really explained everything to me properly and guided us well. I am also now undergoing treatment for pregnancy with them . And we are having a wonderful experience 
5 stars,"Excellent staff service ,right from housekeeping to All doctors and nurses .who give an amazing treatment to patients and who are always happy n helpful.i appreciate their efforts and work process. And medical treatment is no doubt awesome and amazing. U will feel like u are at your second home . "
5 stars,"I underwent treatment at multiple places before and then I visited Sangam Hospital for a second opinion. After talking to Dr Unmesh sir, I was so relieved and I decided to start treatment here. And within two months I conceived naturally. Dr Sayali and Dr Unmesh, both answer all queries very well and kept us at ease. Thankyou to the team. I am continuing my pregnancy treatment here as well. "
5 stars,"I had a preterm delivery at sangam hospital. My baby was very small. But they took very good care of my baby. And Dr, Pradeep sir gave me confidence to take care of my baby. Just within 2months my baby is very healthy and happy. "
5 stars,"Doctors and all staff are very Good and  cares a lot.. very nice facility.
speacial every moment and Doctors visit every single day with full of positive vibes and helped us through our struggling journey..

Dr. Ranjana,Dr.Sayali, and Dr Unmesh made us so comfortable in my sisters operation..I really appreciate them..
Amazing team of Doctors and staff

It has a nice Cafeteria and Play area too

We highly recommend Sangam hospital "
5 stars,"I have started consulting Dr Saily.
She is one of the best experienced doctor as she supported me and is always ready to help or answer any questions we ask. She is very co-operative. Also all doctors and staffs are helpful. Best hospital and best medical facilities. "
5 stars,"I am glad to choose Sangam hospital for my delivery. From pregnancy detection till delivery Dr. Ranjana ma'am and team took extreme care of me and provided guidence accordingly.
Sangam hospital's Doctor's team arranged online sessions for explaining various phases of pregnancy and doubt clarification,  which were very helpful.
All the facilities available at hospital were really great.
Dr. Unmesh, Dr. Sayali, Dr. Pradeep and all the staff members were expert, caring, helpful.
I would definitely recommend Sangam hospital for their services. "
5 stars,I delivered my baby at my hometown but i conceived after a lot of struggle at sangam hospital. Both the doctors Dr Saily and Dr Unmesh are very helpful and guided us very well. 
1 star,"The staff is pathetic and don't care about the people. They are typical government officials who only want to make people wait and not work.
For a place that shuts at 2 PM for vaccination they are very lethargic inefficient staff.

Shining example of why our country's government run facilities will never excel in Health infrastructure "
5 stars,Both branches have very good doctors and staff. Very clean hospital. I was taking treatment at their bibwewadi branch and then for delivery i came to the undri branch. 
5 stars,"I want to share my experience with Sangam hospital. Facilities available at this hospital are all advanced and top class and staff members are caring and co-operative.
I have started consulting Dr Saily.
She one of the best experienced and knowledgeable doctor as she supported me and is always ready to help or answer any questions we ask. She is very co-operative .
Thank you all  Dr. and staf members. 😊 "
5 stars,Visited sangam hospital for family planning. Spacious OPD. Helpful staff. Good doctors. 
5 stars,"I want to share my experience with Sangam hospital. Facilities available at this hospital are all advanced and top class and staff members are caring and co-operative.
I have started consulting Dr Saily.
She one of the best experienced and knowledgeable doctor as she supported me and is always ready to help or answer any questions we ask. She is very co-operative and well verse with her treatment.
Thank you Dr Saily for supporting me 😊 "
5 stars,Dr sayli mam and dr unmesh sir are always available to help. I delivered normally after 2 doctors told me against it at other places. I am extremely thankful to all the staff as well. They guided me and helped me. Clean hospital. Trained staff. Thanks for the wonderful experience. 
5 stars,"Very good hospital...all facilities are available...Dr. sayali madam very friendly, she guides very well. We blessed baby boy in sangam hospital. All assistant Dr  & others staff very supportive & politely nature. Overall very good experience. Thanks to all... "
