Rating,Review
5 stars,Dr Amita Raina is such a great doctor. She would explain each and everything to you. Also the hospital staff is very polite and very helpful. Our day care experience was at ease here. 
5 stars,"In emergency I admit my wife in satyanand hospital, right from front office staff to sister and duty on doctor has taken utmost care and tried to save my wife and success in their job . Dr. Suhas physician is the best doctor and thanks to all suporting staff.  Special thanks to kausar madam for all care and the way she explained the billing process very convenient and understandable. Once again thanks and all blessings to all staff. "
5 stars,"We have visited satyanand hospital in emergency for my father, as the staff from front desk till doctor and nursing,. All r very excellent, special thanks to Tapan Sir and kausar madam the way they work hard for the insurance process, is commendable.  Would like to refer any patients who in need can visi.  All r professional staff. "
5 stars,Excellent service given by sister Jija. Very kind and gentle handling by her. Dr. Viswajeet is a very kind and good person who makes the patient feel very comfortable. Thank you for the wonderful treatment. 
5 stars,In emergency we have visited to treat my grandmother.  The doctor of the hospital Dr. Amita Raina gave us very good treatment explain very brief about my grandmother treatment.  The staff of hospital sister and billing staff very well attended.  Felt like family as well professional manners. Satyanand hospital is one of the best hospital in Kondhwa 
5 stars,Dr. Pethe is on of the best psychiatrists that I have come across. Very humane and knowledgeable. Was instrumental in treating a family member and improving him. 
5 stars,I had brought my bhabhi who had been fully dehydrated due to consumption of thandai.We immediately brought her to Satyanand hospital and the Dr's treatment and the ipd operations were very quick and due to this quickness of the admission and treatment she has recovery very fast thank you 
5 stars,In emergency we visit rom chandan glass factory ..  it's a glass factory n for every emergency our company patient comes satyanand hospital only.  Dr. Yash shah orthopedic doctor and staff of hospital gave quick response and immediate care.  For my tender repair.  For all emergency a very good hospital in kondhwa.  First done treatment afterwards taken payment.  A very big thanks to all staff of hospital. 
5 stars,"When we will come in emergency whole staff imidiately co operate us and we got good service that time I want to spacially thanks to Kausar mam and other staff.
We are very happy with this hospital
Service is very good
Thanks to all of you Doctors are very good.
Shrikant Gore. "
5 stars,Felt quite comfortable visiting Dr. Bajaj. His guidance was quite smooth. I appreciate the kind help of the doctor and the staffs provided. 
5 stars,We have taken treatment of corn from this Hospital for my daughter. Services are excellent. All staffs are very kind. Thank you doctor. 
5 stars,This hospital gives one off the best service and never disappoints. It gives you a homely feeling and the staff is the most polite and friendly. Kudos to them 
5 stars,"Really I was got greatest treatment in satyanand Hospital.
All creadit goes to Dr. Vishwajeet.
Thank you so much Dr. Vishwajeet and all other supporting nurses. "
5 stars,"Experience to stay of my post operative treatment, my surgery hip joint replacement, very excellent post operative care has been taken by all staff of satyanand Hospital, right from house keeping staff to doctor all has taken very excellent care, would like to recommend any elderly care or post operative treatment, special thanks to Mrs. Kausar Shaikh, for coming and taking my care of all care, and thanks to Dr. Amita mam for manging all staff and taking very good personal care of ours. "
4 stars,Good and caring staff. Excellent service. I will recommend this hospital to everyone. 
5 stars,I just loved the service which i got from this hospital. Mostly the politeness of the staff and Dr is awesome !! 
5 stars,Doctor Najma and sister Mukta are very caring. All staff are good and taking care of patients. Thank you. 
5 stars,Dr Amita Raina explained all details about my wife's health condition. I appreciate her 
5 stars,Very good and gigantic hospital the service of staff are really nice. And dr. Are very kind and friendly 
5 stars,"had pain on  left shoulder. got ecg done also had my BP and sugar tested.sisters and doctors were Good. place was ciean
. "
5 stars,Best hospital in the city . Dr Naveen Raina and Mr Dulal were really helpful in providing the O2 concentrator immediately for help 
4 stars,Dr.Rajput and Dr. Akshay attended for vomiting and dehydration. Good service from both Drs. And nurse and attendants. 
5 stars,It’s always reliable to visit Satyanand hospital. This time was specially great assistance by Dr. vishwajeet shelkar. Thankyou very much! 
5 stars,"As much as possible medical services Hospital is providing and all nursing staff is very very good and carefully
Doctors are very experienced "
1 star,"This hospital not good for anything.,i don't know how they run hospital as ,their licence should be cancelled.
They don't have any paramedical service.
They have doctor on visit.
Elderly care is poor and pathetic.
Please if you want to save your PPL don't admit in this hospital. "
5 stars,"Dr Suhas is good doctor
And staff also very good
Service is very fast and polite ,humble staff ,corporative staff members reena and aqsa helpfully and understanding staff "
5 stars,Thank you so much Kausar Mam and Dr. Shabbir sir for quick response in our medical emergency.Very good management and staff. 
5 stars,सेवा एकदम चांगली वाटली.  All doctors sisters and other supporting staff gave the best care.  Would like to refer any patients for all treatment here.  Thanks u all 
5 stars,The best part is that hospital is open 24hours. People here are very helpful and the doctors are very good. 
5 stars,Nice hospital. The doctors are positive and would really help you whenever you need them. The staff is also friendly. Good care and healthy environment. 
5 stars,Dr suhas is very  excellent and professional dr thanks satyanand hospital and staff also nice and honest. 
5 stars,"Well, the staff is preety much cooperative and humble, hospital was clean and well taken care of. "
5 stars,"Doctors are very good and polite. Specially Dr Suhas Rajput, effective and extremely amazing..

Even during COVID-19 days this doctor was unbaised and attentive. "
5 stars,"Good services
nice hospital
quickly responding
polite staff
clean hospital "
5 stars,"Good service
Good staff
Neat n clean hospital "
5 stars,"Overall service by your hospital doctors, nurses n others was really good. We had no problem come what may. "
5 stars,Nice service  and very thankful Dr sashay and sister  Reena very copretive and halpfull  very fast service 
5 stars,Hospital was very good Amita Raina mam very co-oprative also Stff is very nice 
5 stars,"Styanand hospital
Best Doctors
Staff members very good job 👍 … "
5 stars,I feel so much restless now feel so much better after medical treatment thank you so much satyanand hospital.. 
5 stars,"My son got recovered fully.
We family do come to Satyanand for treatment. "
5 stars,The best hospital ever i never expected to feel this better thank you so much management.. special thanks to Dr vishwjeet..sis Reena and sis lily God bless you all you're are the best 
