<<<<<<< HEAD
Rating,Review
1 star,"Complete bad experience, No result, doctor suggested medicine is not result oriented whereas reaction on body. Suggested medicine is charge highly cost in normal illness. "
5 stars,Very promising Hospital. Doctors treat very carefully and genuinlyy. 
1 star,sayli nursing home location is change 
5 stars,It's really Nice hospital !!! 
1 star,Not good 
5 stars,🤩🤩🤩🤩🤩🤩🤩 Amazing 🤩 … 
5 stars,Staff bhut acha he or docter bhi bhut ache he fess bhi normal.he good hospital 
4 stars,None
5 stars,None
=======
Rating,Review
1 star,"Complete bad experience, No result, doctor suggested medicine is not result oriented whereas reaction on body. Suggested medicine is charge highly cost in normal illness. "
5 stars,Very promising Hospital. Doctors treat very carefully and genuinlyy. 
1 star,sayli nursing home location is change 
5 stars,It's really Nice hospital !!! 
1 star,Not good 
5 stars,🤩🤩🤩🤩🤩🤩🤩 Amazing 🤩 … 
5 stars,Staff bhut acha he or docter bhi bhut ache he fess bhi normal.he good hospital 
4 stars,None
5 stars,None
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
