<<<<<<< HEAD
Rating,Review
5 stars,"The best hospital that I have ever experienced. Shashwat Hospital, Kothrud strongly believes that quality is never an accident, it is always the result of high intention, sincere efforts, intelligent direction and skillful execution. We have experienced the greatness of this hospital. My father had undergone bilateral total knee replacement surgery with the great, magical and skilled hands of the best orthopaedic surgeon Dr. Hrushikesh Saraf. He is the God for all of us. He gave courage to my father and boosted his confidence to undergo surgery. My father was not able to walk a single step and climbing a staircase was next to impossible for him. Now he climbs staircases of three floors, walks 2/3 kilometers, and goes to the vegetable market by walk to buy vegetables (age 70). This is really a miracle for all of us. Before surgery, walking a single step was very painful for my father. Every day, after getting up from bed, he praises Dr. Hrushikesh Saraf Sir.  About Shashwat, Hospital, Kothrud, we were there for four days. All staff members from group D to Group A are highly cooperative and caring, and with emotional attachment towards the patients and their relatives. We were outsiders, came from Solapur for Surgery. My mother, me and my brother were accompanying my father in the Hospital. The staff cooperated to the best possible extent. We never felt that we were at a Hospital. Great doctors, great team of supporting staff and the great Hospital! "
1 star,"Security guards do not work at all. They just stand in corner and laugh at your problems. Today while purchasing surgical material, another patient cane near me.. He had smoked.. He could have gone to another window for clearing his bill but no. I requested him twice in polite manner, yet he started shouting in abusive manner. I had to shout twice. Yet security and no one else came to my rescue. In fact, I was cornered by the two security people and that smoker. I had to run away.
Veru cheap facility from all aspects. The medical shop, the working ladies and the casjier.. All are unthinkable. No help. "
=======
Rating,Review
5 stars,"The best hospital that I have ever experienced. Shashwat Hospital, Kothrud strongly believes that quality is never an accident, it is always the result of high intention, sincere efforts, intelligent direction and skillful execution. We have experienced the greatness of this hospital. My father had undergone bilateral total knee replacement surgery with the great, magical and skilled hands of the best orthopaedic surgeon Dr. Hrushikesh Saraf. He is the God for all of us. He gave courage to my father and boosted his confidence to undergo surgery. My father was not able to walk a single step and climbing a staircase was next to impossible for him. Now he climbs staircases of three floors, walks 2/3 kilometers, and goes to the vegetable market by walk to buy vegetables (age 70). This is really a miracle for all of us. Before surgery, walking a single step was very painful for my father. Every day, after getting up from bed, he praises Dr. Hrushikesh Saraf Sir.  About Shashwat, Hospital, Kothrud, we were there for four days. All staff members from group D to Group A are highly cooperative and caring, and with emotional attachment towards the patients and their relatives. We were outsiders, came from Solapur for Surgery. My mother, me and my brother were accompanying my father in the Hospital. The staff cooperated to the best possible extent. We never felt that we were at a Hospital. Great doctors, great team of supporting staff and the great Hospital! "
1 star,"Security guards do not work at all. They just stand in corner and laugh at your problems. Today while purchasing surgical material, another patient cane near me.. He had smoked.. He could have gone to another window for clearing his bill but no. I requested him twice in polite manner, yet he started shouting in abusive manner. I had to shout twice. Yet security and no one else came to my rescue. In fact, I was cornered by the two security people and that smoker. I had to run away.
Veru cheap facility from all aspects. The medical shop, the working ladies and the casjier.. All are unthinkable. No help. "
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
1 star,"Amruta Vaidya, OPD manager of Shashwat Hospital Kothrud branch today presented the rudest, ugliest and most unprofessional face of a front desk manager in a hospital. One would expect the person sitting in this position to be honest to his/her job and diligent in sequencing the patients on a first come first serve basis (which is this hospital’s stated policy despite seeking prior appointments). However on highlighting the error she made in granting the token number, she blatantly said that she saw the other person (who cut the queue) first, and didn’t see me even though I was diligently standing in the queue! Even after narrating the true position she denied accepting her folly!
Her tone and facial expressions indicated that she was indispensable for the hospital management, and no one could harm her position even if complaints are made at whatever level in the hospital management.
The decline of a healthy organisation starts with its customer facing personnel treating its clientele in an indignified way!. Hospital management should remember that, it’s the visiting doctor’s who make the hospital successful, and such ill treatment to patients at the OPD opens up for them to seek advise from other establishments!
If the management still supports its arrogant staff behaviour, then God save the establishment!!🙏🏼😡
<<<<<<< HEAD
Single star for not being able to rate lower for the pathetic administrative experience offered by this place. "
5 stars,Shashwat hospital(maternity department) is very good...we have very good experience with all staff and my doctor Dr.shilpa bhat...the whole staff is very caring and loving...they just treat patients calmly...best hospital in Kothrud... 
