Rating,Review
1 star,Dont visit this dr ever. Both are greedy in nature for money. When I visited they give me wrong medicines which side effects me. I went just to ask where to do sonography and they charged me for it as well. Without doing any consulatation …  More
5 stars,"Both my kids came into this world at this hospital , one of the finest gynaec and a compatible superb paediatrician under the same roof . Being a doctor myself , i highly recommend Dr.Shirish Sir and Dr.Manjusha Maam . "
5 stars,I loved how she treats my daughter..... everytime less medicine ....best treatment 
4 stars,"Dr.Shirish Shende ,very happy to read comments on your hospital & your dedication to your profession .proud of you our schoolmate !! "
4 stars,Very good doctor ☺️ 
4 stars,One of the good maternity hospitals nearby. 
3 stars,Plot no 391 sector 25  pcntda nigdi pune 
4 stars,Great doctors and nursing staff 
5 stars,Good 
4 stars,Good hospital 
5 stars,Dr shende hospital 
5 stars,None
4 stars,None
5 stars,None
5 stars,None
3 stars,None
2 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
1 star,None
