<<<<<<< HEAD
Rating,Review
5 stars,Very good dr Consultanting & Opinion .nice co-operative all staff. 
5 stars,Highly recommended and hospital specially for the maternity and infertility. Dr . Anuradha Mam is very polite explai all the things then and their . All facility inside only like sonography. Well maintained hopsital and Dr having outstading skill 
5 stars,I highly recommend Dr.Anuradha Jadhav. She is very well experienced and expert in maternity case. She always encourage patient for normal delivery. She is very supportive towards her patient. Her consultation and expert advice was so helpful in my pregnancy journey. I was in hospital almost for 36 hours with labour pain and in this period hospital staff was also supported me a lot. Staff is also very supportive. I will definitely recommend Dr.Jadhav to my friends and relatives. Thanks to Dr.Jadhav and hospital staff 😊. 
1 star,Worst hospital ! You will lose your loved ones . No cleanliness no facilities no good treatment and most importantly no good doctors.  It seems like the doctors aren't qualified.  They don't know to treat ppl . 
5 stars,"Excellent service,best facility and very genius doctors and workoholic staff "
5 stars,"My wife's name was Amina Khatun in Assam, my wife was treated by Anuradha mam is a very good doctor. "
5 stars,Dr. Mahesh shinde. Excellent pediatrics.. Quality results for little champs 
5 stars,It is very appreciated and good work . 
5 stars,Good hospital 
4 stars,Very good service. 
5 stars,Very good hospital. 
1 star,Unprofessional lady 
5 stars,Great for Hadapsar 
5 stars,Nice hospital 
5 stars,Charb ka gatte ki liya ealija aur homemiopatik medince bataya 
5 stars,None
2 stars,None
5 stars,None
3 stars,None
3 stars,None
3 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
=======
Rating,Review
5 stars,Very good dr Consultanting & Opinion .nice co-operative all staff. 
5 stars,Highly recommended and hospital specially for the maternity and infertility. Dr . Anuradha Mam is very polite explai all the things then and their . All facility inside only like sonography. Well maintained hopsital and Dr having outstading skill 
5 stars,I highly recommend Dr.Anuradha Jadhav. She is very well experienced and expert in maternity case. She always encourage patient for normal delivery. She is very supportive towards her patient. Her consultation and expert advice was so helpful in my pregnancy journey. I was in hospital almost for 36 hours with labour pain and in this period hospital staff was also supported me a lot. Staff is also very supportive. I will definitely recommend Dr.Jadhav to my friends and relatives. Thanks to Dr.Jadhav and hospital staff 😊. 
1 star,Worst hospital ! You will lose your loved ones . No cleanliness no facilities no good treatment and most importantly no good doctors.  It seems like the doctors aren't qualified.  They don't know to treat ppl . 
5 stars,"Excellent service,best facility and very genius doctors and workoholic staff "
5 stars,"My wife's name was Amina Khatun in Assam, my wife was treated by Anuradha mam is a very good doctor. "
5 stars,Dr. Mahesh shinde. Excellent pediatrics.. Quality results for little champs 
5 stars,It is very appreciated and good work . 
5 stars,Good hospital 
4 stars,Very good service. 
5 stars,Very good hospital. 
1 star,Unprofessional lady 
5 stars,Great for Hadapsar 
5 stars,Nice hospital 
5 stars,Charb ka gatte ki liya ealija aur homemiopatik medince bataya 
5 stars,None
2 stars,None
5 stars,None
3 stars,None
3 stars,None
3 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
