Rating,Review
5 stars,"Very few genuine doctors nowadays and Dr Asha Hol is one of them. Doctor is soft spoken, no non-sense and knowledgeable. Would recommend to all "
5 stars,Shreeyash multi-speciality hospital one of the best hospital in kirkatwadi...❤️ 
5 stars,Shreeyash Multi-specialty Hospital provides most of the medical facilities under one roof. All Doctors and medical staff in hospital is cooperative and provides personal attention to all patients . 
5 stars,"I delivered a baby angel in this hospital. Hospital was so good and all staff also so caring and kind. My experience with Dr. Hol sir was very nice. He is so kind, caring and also clears your all doubts. Thanks to Hol sir. "
5 stars,"My mom was cancer patient, then i had visited to the other hospital but i didn't get proper treatment then i met to dr. Ashish Patil, I got good suggestions, advices, treatment from Shreyash Multispecility Hospital Staff and Dr Ashish …  More"
5 stars,"A very friendly doctor, listens your queries carefully with a huge patience and helps you understand the issue and treats your well.
I would like to recommend this doctor on this Doctors day! …  More"
1 star,Communication of doctor of diabetic specialist with patient is very unsatisfactory & decrease the moral of patient. 
5 stars,"Excellent Results, Well Professional and Experienced Doctor Staff Good Facilities Available for All type of patients "
5 stars,Care taking and very friendly Doctors and staff. Air conditioned private rooms available here. 
5 stars,All Good 
5 stars,"BEST DOCTORS, BEST CARE OF MY WIFE AND CHILD, VERY SUPPORTIVE STAFF. "
5 stars,Nice Place having good Facilities in Hospital near Kirkatwadi 
5 stars,This hospital is good 
5 stars,Quick diagnosis 
1 star,"This hospital is for poor people...
Yaha jaane par apko ek din ka 10000+ tak bill hoga, ye log marij ko Direct ICU me hi dalte hai.. "
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
3 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
4 stars,None
5 stars,None
