Rating,Review
5 stars,Best Hospital and professional scholar Doctors and staff. 
5 stars,"I am happy with care, service of Shwas Multispeciality Hospital. Special thanks to my Dr. Vaibhav Tad Sir is very good and listened to all my problems. Nurses are good. Hospitals is spacious all the staff are friendly and quick to help "
5 stars,Excellent care n service. Especially Dr Vaibhav Tad. Very talented Doctor very supportive and caring. Staff is really caring and helpful. The provide full care. Very good treatment for COVID. Me n my in-laws underwent treatment here. Highly recommended. 
1 star,"This hospital is shown in the list of hospitals on cowin website and arogya setu app for registration and you will also be able to select the appointment date, but the hospital doesn't provide any covid vaccination so don't waste your time especially for people in dhayari, vadgaon, ambegaon. "
5 stars,"Awesome service and very respectable staff. The doctor's are really very nice, the treatment they provide is really appreciated. Recommended to everyone who needs. "
5 stars,A great multi speciality hospital.....they have all upgraded services.... the service provided here and care taken by staff and the treatment provided by the Doctors is very good!!! And excellent hygiene is maintained 
1 star,"Faltu facilities....& special staff Attitude topp.

My personal hospital facilitie rating:00 "
5 stars,"Excellent staff & service, the treatment they provide is really best. "
5 stars,Best doctor who gave us best treatment.Great hygiene maintained.Helpful doctor 
5 stars,Best service with really humble staff...vry supportive n caring had a good experience with them 
5 stars,Best Doctor n also best staff with good services and also cleanliness is maintained. 
5 stars,Best Doctor who helped us in covid19 like family 
5 stars,Best Doctor Ever.best hospital. 
1 star,Contact no not active. How can we reach this hospital for vaccine? 
5 stars,Good treatment...nice hospital 
5 stars,Best Doctor I have ever seen 
5 stars,"kind doctor , kind staff "
5 stars,Great Doctor 
5 stars,Good treatment 
5 stars,Best hospital. 
1 star,Many people breathed their last here during the Kovid period 
5 stars,"Very nice, excellent service "
5 stars,None
1 star,None
4 stars,None
5 stars,None
5 stars,None
1 star,None
5 stars,None
5 stars,None
1 star,None
1 star,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
