Rating,Review
1 star,"Doctors are good and cleanliness also somewhat good.

But quality of staff management is worst to worts I have ever seen. Behavior is rude. Seems like all are newly hired. Way of coordinating with patients is horrible. They don't even know how to operate the advance medicals devices. Really need to improve. "
1 star,Extremely poor management. Slow staff. Looks like the hospital or its facilities haven't been upgraded for many years. The basement floor is ridden with mosquitos. Was there for the vaccine and it was very poorly managed. Made us wait for …  More
5 stars,"Overall excellent experience for vaccination. Place is clean, waiting area is spacious. Service is good. They cater to small numbers daily. The downside is they do vaccination in batches of 10 (to avoid wastage of vaccine). So if a batch of ten persons is not present, they have to go back and come again next day. As everywhere appointment has no advantage. Token system on first come basis is used. "
1 star,"I really want to give  minus 5 stars but google doesn't allow it so can't.

Staff is  very rude. Don't have cleanliness we expect in hospital . There are mosquitoes everywhere. We were there for  the vaccine but staff couldn't give us any proper answer.  They said to wait for 1. 5 hrs  then doctor will cone and then they will decide if they can give vaccine or not.

Rescheduling my vaccine appointment to different center is the best decision I have taken today,  we couldn't bear to stand it there for even 15 minutes.

I really hope they treat admitted patients better  and upper level of hospital are much cleaner  and in good condition than ground floor, because if not then really  they need to change management or close the  hospital. "
5 stars,"I had an awesome experience for Covid vaccination of my parents here. Very nice staff and well maintained clean hospital.
Well managed (only registered users allowed for vaccination) vaccination process. Ample space for waiting outside of hospital to avoid crowd inside.
Thank you and keep it up 👍 "
5 stars,"We have done knee replace surgery here. Overall experience is really good. Staff and doctors are very polite.
Treatment is very nice and remarkable. "
5 stars,"I was visited here for my mother knee treatment , was very good experience ,Dr Sujay Lodha provide a very best treatment for her , she is benefited from the treatment , root cause analysis is really good , not provided to much medications mainly provide diet instructions and exercise to her for speedy recovery "
3 stars,Okay-okay hospital. Good for emergencies and for people seeking orthopaedic treatment. Highly cost effective. 
1 star,Worst experience No clean toilets No light  in toilets no buddy there  to slove your problem they don't have simple complete box or any mantanse staff pls chek befor Admit 
1 star,I booked online appointment for vaccination...but didn't get vaccine..staff is arrogant...worst experience. 
4 stars,"Good & affordable, hospital in kothrud, Dr.is  very friendly, Polite and well trained "
1 star,"Very slow...
For one injection take whole day. "
4 stars,Charitable trust hospital. Doctors fees were very reasonable. 
4 stars,"Very efficient , most human and at very reasonably priced. "
5 stars,Excellent. Correctly placed. Good application. 
5 stars,very polite and good staff 
5 stars,good hospital 
1 star,"Faltu management aahe staff pn arrogant, rude aahe ekch doctor aahe to pn busy asto
receptionist udva udviche uttar detat fukat waiting kry lavta
jo spot boy aahe to pn upkar kely sarkh bolto
Prt ya hospital la janychi ichcha nahi
Last 2 times gelo both time same treatment milali
Owner ni lksh dyave staff hospital vr "
5 stars,Khup Chan treatment bhetli mla.tumcha hospital mde . 
1 star,"There is no need for a phone, instead mobile phones should be given "
5 stars,None
5 stars,None
5 stars,None
5 stars,None
3 stars,None
4 stars,None
4 stars,None
3 stars,None
5 stars,None
5 stars,None
5 stars,None
4 stars,None
4 stars,None
5 stars,None
5 stars,None
5 stars,None
1 star,None
5 stars,None
3 stars,None
4 stars,None
