Rating,Review
4 stars,"SYMBIOSIS UNIVERSITY HOSPITAL & RESEARCH CENTRE - University Campus is Huge and Beautiful.. Well Maintained.. Nice Scenery Around the Campus.. They have Medical College, Engineering College along with Hospital and Research Center in one place. Well Organised and Supportive Staff.. Sitting Arrangement is Provided Inside and  Outside as well.. Ample Space for Parking.. Guards Direct You for  Parking Space.. "
5 stars,"Went for covid vaccine. No words for campus. It's huge, well maintained and peaceful. Process was smooth and staff helpful. "
4 stars,"Campus OP💥 Medical college, Engg college along with Hospital and research center everything under one place well managed 💯. They have hosted Biggest vaccination drive for Punekars very smoothly. … "
5 stars,"Center is located in the outskirts of Pune, in Lavale. University campus is huge and beautiful. The cluster has various colleges too which include culinary, engineering college, medical sciences and so on.

Excellent service, very well organised set up right from entrance of the campus. Very clean place and Hygiene maintained in the center. Every facility is available, you just need to ask for it.

Very supportive staff for managing senior citizens and handicapped people. ♿️

There is also a ganesh temple located in the campus. Very beautiful, calm and peaceful ✌️ "
5 stars,"❤*Symbiosis Hospitals services and Hospitality*❤

Symbiosis Hospital provides excellent medical facility at almost no cost. In case you have a college or a local ID, the checkups and tests are free with a really good and well maintained supporting staff. Went for covid vaccine. No words for campus. It's huge, well maintained and peaceful. Process was smooth and staff helpful. "
5 stars,"Nice experience at the Symbiosis Hospital Lavale for my 1st dose vaccination . Walk - Ins okay ( please call ahead before going and check exact hours ) . Saw the Symbiosis Hospital campus & medical college for the first time . Quite impressive setup.

Last Monday, I got the vaccination done in this hospital.The hospital staff is very cooperative at the vaccination center.

If we need Aadhar card or PAN card at the vaccination center then we have to carry it along with us.

The cost of the vaccine is ₹780.Take ₹59 for pill medicine.

After taking the vaccine, they also give you a certificate and tell you all the details when you have to come next time?

UPI,Cash, google pay. Phone pay Can you deposit money on any of these?

After taking the vaccine, there is a rest for 20:25 minutes.

Vaccines are given in the shoulder, so it is better if you wear clothes that are loose fitting.

The vaccination time is from morning to evening. "
5 stars,"Yesterday, I got vaccinated at the Symbiosis University Hospital. I reached there 15 min before my vaccination slot. The process was really really smooth right from the where to park the vehicle to the entire vaccination process.

Kudos to the entire Staff working  for this amazing deeds.

Here are few Highlights

1) The hospital was maintained very clean,

2) social distancing was maintained

3) The staff was very cooperative

4) They also have all pharmacy where you can take medicines after vaccination

5) All types of payment options are available

6) They keep you for 30 Min Observation

I find No Cons at all.

Great Staff, Great Work

Hope This Helps....

Follow Me For Such Updates In and Around Pune 😀😁 "
5 stars,"Went here for Vaccination. Overall experience was really good though there was some delay.
Well organised and supportive staff. Points to keep in mind.
- Car parking ground is bit far away from vaccination centre, however they provide a shuttle van from parking to hospital.
- Do carry umbrella in case you are walking from parking spot.
- There is a form outside hospital which need to be filled as per your slot. You will be called inside based on token number on the form.
- On the form give only co-win registered mobile number & appointment ref number as reg. Number.
- While doing payment inside, can avoid delays if you carry cash. (Sometimes delay in card payment)
- Sitting arrangement is provided outside as well as inside.
- Make sure to have sufficient water before taking vaccine.
- After vaccination, as guided, sit there for atleast 30 mins before you leave. "
5 stars,Got my first dose of covid vaccine today from symbiosis university hospital. The whole procedure was very well coordinated and the staff was also very helpful.  kudos to the staff for  managing everything smoothly.  i just had a doubt that on arogya setu app the charges are showing 780rs but here i paid 850rs excluding the medicinal charges.  Other than that everything was very well conducted. The campus area is awesome. 
4 stars,"Vaccine Experience : Symbiosis University Hospital [Age bracket: 18-44] [Covishield]

Had asked a friend who was tracking the availability of the slots regularly, to book a slot for me since I was unable to book one through Cowin since the start of May.

He was able to book it on 22nd May, 12-4.30pm slot. Got to know about the booking around 1PM on the same day itself.

Called the hospital and asked about the availability and if I'll be able to get one and I was told that there is huge crowd but you'll get the vaccine, just reach the center around 4.30PM (Reason to call beforehand- I had to follow through a different center for 4 days for my Dads vaccine (Senior citizen); for 3 days they couldn't administer it because the stock used to get over irrespective of the booking.)

Reached the center around 4.30PM, had to wait for the token till 5.30PM. Till that time they were calling mourning slot people, afternoon slot queue started after they finished all the morning appointments. My token number was 1500+, had around 500 ppl before me.

Finally got my token number called out to stand in the queue around 9PM. Then you enter the big AC lobby. Separate queues are formed for each counter & staff makes sure social distancing is maintained. There are around 8 counters to enter, verify the applicant's data and process the fee(850 bucks). Cash/Card/UPI payment is accepted. There are 2 Axis ATM machines inside the lobby. This step takes much longer than needed, abit much less time compared to waiting but still 5-10 minutes to process the data and payments for each applicant. Completed the payment & got the jab around 9.30PM. After this you'll be asked to wait for 30 minutes in the observation area, they'll give you hard copy of the certificate in the meantime. Purchased Hospital recommended Crocin and Pan D from the OPD store for 43 bucks and left the center around 10.30PM.

Observation and recommendations -

Center is located in the outskirts of Pune, in Lavale. University campus is huge and beautiful and I'd recommend once you get the token, leave the crowded area and chill around the campus or in your car. Educated illiterates can't follow simple social distancing despite of repeated announcements by the hospital staff. Outside area have decent seating capacity but obviously not enough for 1000+ people who had the appointment that day.

I used N95 mask and tried to stay as far from the crowd as possible. Had put on the face shield once I was called to stand in the queue. Token announcement on the speaker is quite loud and you don't need to be around main area to hear it. You can explore the campus in the meantime which I did!

Overall the center is clean, well managed (for couple of hundred appointments, if you're gonna call thousands of ppl there'll be bad experience for sure) and have a lot of parking space. They can improve upon the payment system to lower the processing time though.

Happy Vaccination peeps! "
5 stars,"I had visited for Vaccination on 26th May. The process was extremely smooth. Enough guards to direct you to parking space, VAN available to pick people from parking and drop to hospital, slip cum token allocation was smooth where you had to fill the details and wait for your token sequence to be called.

Overall, it took me 2 Hrs for the complete process. I had booked an appointment for 9 AM.

Admins also arranged for campus tour following social distancing norms for people, who had slots after a gap. It was optional. I went on the tour and found the campus to be huge and beautiful. Overall, well managed center. "
5 stars,"Was worried when I read bad reviews for the first two days but I can say that this center's management has learnt pretty fast.

Excellent management for vaccination. Booked 9-10 slot for 24th and reached here by 8.45am. They allowed vehicles only for the first slot when we came in. So no unnecessary crowd. Excellent seating arrangements with frequent announcements of procedure. Crowd is managed with a token system and they have 8 counters for vaccination. Procedure was smooth and safe and vaccination was done by 10am.

Would recommend to book this institute for vaccination as this is very well managed and pretty safe. On top of this the drive and scenary is awesome. "
5 stars,"Semi Private Room.
The Best Hospital treatment i have ever come across.
Good quality of food. Best assistance by staff. 4 to 5 times daily visit by nurses for medicines and health checkup( BP, Temperature and Oxygen level ).
Daily 2 time visit by Doctor.
Daily visit by Dietitian.
A complete Health Package.
Other Hospitals can also follow.
Pays very close Personal attention.
Best Hospital for Senior citizens and critically ill patients.

Daily Routine and food :

Morning 6 7 Tea
8.30 am Breakfast
9 am Tea Biscuit
10 am Fruit Salad
1 pm Lunch
4 pm Tea Biscuit
6 pm Soup
8 pm Dinner
10 Pm Milk "
5 stars,"I got admitted to a hospital after roughly about 24 years, thanks to Covid 19 that chased me. I had know that this hospital is new and also has good facilities, this time I happened to experience it first hand.
They have a separate Covid 19 section. First 3 days I was admitted to the economy bed section, which was surprisingly clean, spacious and top notch with all required equipment for each bed.
I was wondering how would the twin sharing or private rooms would be.
After 3 days when the twin sharing room was empty, I was shifted there and I was impressed with the infrastructure. After spending 7 days in the twin sharing room I was super impressed with the service of the nurses, housekeeping, canteen and even visiting doctors. Very courteous in nature and genuinely helpful. "
5 stars,"One of the best hospitals.
Doctors gave us proper treatment and saved us from critical medical conditions during COVID.
Staff is very cooperative. They took care of us very well. Thank you! "
2 stars,"It seems that the doctors are never available. Receptionist would call and confirm the timing for appointment yet if you reach on time you will not find the doctor. Keep waiting and waiting and then if you request them to refund they will do the process but would put a remark that patient is not willing to wait.

If the hospital has confirmed appointment time yet the doctor is unavailable somehow it is patient’s fault. Before the admin actually asks or writes anything. Kindly search by the same name i am posting review and figure out the matter. To rest patient expect this kind of incident. Since this is the second time this is happening with me. "
1 star,"I visited this hospital regarding back pain. I arrived at 8:40 AM ant it took around 11:30 am . Around 4 hrs wasted. I need to do MRI and then they told me outside dr prescription will not consider for further treatment so i had appointment with one ortho dr Vilas sir (Dr Bharati sharma OPD) And he least interested to saw my earlier reports and also medicine. I already did X-ray and blood test also some medicines regarding muscle relaxation. And dr written same medicines again I told him already I had this medicine in past. But he ignored and also he is very arrogant. I think if time is important for you then please don't visit this hospital otherwise you will get very bad experience here.

I request this hospital to suggest drs and ask them to review previous reports and prescriptions and do further treatment. Not again start same treatment.

I am struggling with back pain from last one year badly. "
1 star,"This review only for doctors behavior especially Dr. Aditi Pandey ( Nephrology OPD). She is very rude, ungenerous, and manner less doctor. Her behavior is very bad. She is very arrogant person. Need to improve behavioural manners..... Symboisis hospitals atmosphere is very good. Cleaning staff. Nurses are very very good. Management is very nice.But doctor is very egoistic. My experience is very bad. "
4 stars,OPD of Symbiosis University Hospital and Research Center. Well equipped. 
1 star,Took my husband with head injury to symbiosis emergency as it was the closest option. He had to wait for 4hours before getting a CT scan done. And another 2 hours to get the report. The precious initial time of 6hrs was waisted. And then..after 6hrs I was told the ct brain and ct spine have come out to be normal. And surprisingly.. 2 days later again I got my husband tested for extreme pain. And now.. He was diagnosed with a fracture in cervical spine. Which symbiosis doctors failed to notice even on a CTscan. Very shameful 
5 stars,"Nice and clean good environment nature place, good for patients recovery 👍 … "
4 stars,"Symbiosis Hospital provides excellent medical facility at almost no cost. In case you have a college or a local ID, the checkups and tests are free with a really good and well maintained supporting staff. "
4 stars,"This hospital exists inside a black hole. Once inside, time dies, while in the outside world the time moves at it's pace.

Rest is all good. Every city in India should have a Hospital facility like Symbiosis. "
5 stars,"University is located in mountain.
Nice scenery around the campus.

Facilities provided by the hospital is quite good.

We visited here to COVID treatment.

All the staff members are very good.

Doctor are really nice & take care of patients.

Medicine facilities & treatment cost is less but good.

Parking facility & security is also good "
3 stars,"This is a nice center to get your first COVID jab. They give you only COVID Shield jab and maybe in future they may start with other vaccine brands. The whole process was very smooth from start to finish and it took me around 10 minutes starting from registration to getting the jab on your left arm. Then you are directed to a comfortable observation seating area. The center is very big and very hygienic. But, I was disappointed by the rude young security guy at the main entrance door of the hospital (needs proper training on how to be more friendly with people coming from a 45 minutes drive home from Pune city to get their jab). They do have a ATM at the ground floor. The cafeteria is hard to locate and I did not see any food over there. There was a sandwich stall outside the building but I don’t know if it was fresh or not! If you want to enjoy a long distance drive and go around the hills to get your first vaccine jab, then it’s worth coming here. Rest all good! "
5 stars,Visited for 1 dose of Covishield. Had a great experience. Staff is very supportive. They managed vaccine drive very well. 
