Rating,Review
5 stars,"Very good 👍, polite staff and low charges compared to all nearby areas. … "
5 stars,Me along with my mother and grandmother were having slight fever so we immediately visited Trimal Hospital. RT-PCR for each was done which later indicated that all three of us were Covid positive. Further blood tests were done and Dr Ekta prescribed correct line of treatment and all three of us were absolutely fine in a just a few days. Only as a precautionary measure my mom was kept under observation for 3 days as she had slight cough and also because her CT score was 8/25. The facility at the Hospital was well enough and my mother had a comfortable stay for those 3 days. The doctors kept a constant check and she was completely fine and normal at the end of those 3 days at Trimal Hospital. Dr Ekta also recalled my mother for another check few days after her discharge which came out completely normal and fine. Overall we personally had a smooth experience. Great job by Dr Ekta and team! 
5 stars,"This a really good place to get recovered yourself. Doctors are very good and caring as well. Taking proper care of their patients individually and personally.
My mother got recovered from Covid19 while getting treatment from Trimal hospital.
Many thanks to Ekta, Swapnil and Yash Doctors for taking her care.
I can recommend this hospital for sure if anyone needs it. "
5 stars,"I personally experience a good medical and hospital facilities in Covid 19, I specifically want to thanks @pawarbrother a medical staff who care and he make us sure as friendly. Also he care and gave time to time medicine and injectable, with smile face. I really recommend to visit hospital and there staff in you lose hope.
Stay safe and healthy "
1 star,"Very poor service... Guys if you do value for your and your love ones life, please don't ever go and don't suffer from poor facility, service and behavior... I've very bad experience with Trimal Hospital's service and even about staff and doctors. "
1 star,Very bad experience. My friend had dengue and they diagnosed him for fever. He had to be admitted in Sahyadri hospital due to there carelessness. 
5 stars,A very nice hospital with all neccessary facilities and good doctors. 
5 stars,Doctors are very kind and caring to speak with. Hospital is very clean. 
5 stars,"One of the great hospital , service facilities to good . "
5 stars,"A dedicated healthcare center offering a variety of healthcare services.
Strongly suggested. "
5 stars,Hospital staff is very kindly 
5 stars,Nice 
1 star,Bad experience 
5 stars,None
5 stars,None
5 stars,None
5 stars,None
