<<<<<<< HEAD
Rating,Review
5 stars,That oldest doctor is very experienced and so humble. This hospital suits our pocket.... 
1 star,"Such a worst Dr. Ever she is very arrogant nd not helpfull. If the patient's health is not good, that's why he goes to the doctor but she is not giving positive vibes to the patient actually she is break down the patient "
1 star,"Worst Dr ever.
Because of her, me and my wife had to go through worst pain in the lifetime (I can't write details in public domain), that too twice. For that we'll never forgive her. When that pain went beyond our limits she didn't shown any empathy, she actually didn't show up.
We waited at closed gate and tried to call her, she didn't respond. Then someone suggested to visit another hospital.
NOTE: whatever positive reviews you'll see here are for her OPD only and not for admitted patients. "
5 stars,"We had a great experience with Dr Rekha Kulkarni Mam,she is extremely Good and understanding, rather than prescribing loads of medicines, she is more focused on making the patient understand the underlying issue, ready to answer all your questions and happy to answer all your doubts . I would definitely recommend everyone to consult her, without thinking twice. "
5 stars,Very near to a city and it so useful 
5 stars,Appreciate Dr Kulkarni Sir approach towards patient.Daughter was hospitalised received the treatment got cured.As long as the patient is cured if charged in excess don't mind.This is everywhere but one should be happy if the patient is discharged.i as fit. 
5 stars,Very knowledgeable and good doctors. 
5 stars,"such a nice hospital to revisit when u r in medical condition. Hospitality, care, cooperative, clean and prominently wise person Dr Kulkarni Sir. "
3 stars,No parking facilities. Doctors do not visit the hospital on time. You ll be overcharged. 
4 stars,"Very clean hospital
Service is also good "
4 stars,Such a nice hospital to revisit 
5 stars,Dr. And staff Is very cooperative and helpful... 
1 star,Worst doctor very arrogant 
1 star,Service problem 
4 stars,Nice 
4 stars,Sinhgad road 
2 stars,None
5 stars,None
5 stars,None
3 stars,None
5 stars,None
4 stars,None
1 star,None
1 star,None
5 stars,None
4 stars,None
1 star,None
5 stars,None
2 stars,None
4 stars,None
4 stars,None
5 stars,None
4 stars,None
1 star,None
5 stars,None
=======
Rating,Review
5 stars,That oldest doctor is very experienced and so humble. This hospital suits our pocket.... 
1 star,"Such a worst Dr. Ever she is very arrogant nd not helpfull. If the patient's health is not good, that's why he goes to the doctor but she is not giving positive vibes to the patient actually she is break down the patient "
1 star,"Worst Dr ever.
Because of her, me and my wife had to go through worst pain in the lifetime (I can't write details in public domain), that too twice. For that we'll never forgive her. When that pain went beyond our limits she didn't shown any empathy, she actually didn't show up.
We waited at closed gate and tried to call her, she didn't respond. Then someone suggested to visit another hospital.
NOTE: whatever positive reviews you'll see here are for her OPD only and not for admitted patients. "
5 stars,"We had a great experience with Dr Rekha Kulkarni Mam,she is extremely Good and understanding, rather than prescribing loads of medicines, she is more focused on making the patient understand the underlying issue, ready to answer all your questions and happy to answer all your doubts . I would definitely recommend everyone to consult her, without thinking twice. "
5 stars,Very near to a city and it so useful 
5 stars,Appreciate Dr Kulkarni Sir approach towards patient.Daughter was hospitalised received the treatment got cured.As long as the patient is cured if charged in excess don't mind.This is everywhere but one should be happy if the patient is discharged.i as fit. 
5 stars,Very knowledgeable and good doctors. 
5 stars,"such a nice hospital to revisit when u r in medical condition. Hospitality, care, cooperative, clean and prominently wise person Dr Kulkarni Sir. "
3 stars,No parking facilities. Doctors do not visit the hospital on time. You ll be overcharged. 
4 stars,"Very clean hospital
Service is also good "
4 stars,Such a nice hospital to revisit 
5 stars,Dr. And staff Is very cooperative and helpful... 
1 star,Worst doctor very arrogant 
1 star,Service problem 
4 stars,Nice 
4 stars,Sinhgad road 
2 stars,None
5 stars,None
5 stars,None
3 stars,None
5 stars,None
4 stars,None
1 star,None
1 star,None
5 stars,None
4 stars,None
1 star,None
5 stars,None
2 stars,None
4 stars,None
4 stars,None
5 stars,None
4 stars,None
1 star,None
5 stars,None
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
