Rating,Review
5 stars,"This is one of the best hospitals you could get care from at an affordable cost. Just a suggestion, don’t come with dreams of a fancy hospital - they’re literally doing their best for everyone.
And no, this is not a paid comment - as of today, I’m admitted here for Typhoid and been taken good care of "
5 stars,"I recommend everyone here for easy access to emergency services.
Dr. Sadique Sir’s availability at every needy hour makes patients comfortable n relieved,
Thanks for treating patients well and caring. "
1 star,Worst hospitality every time you go with your patient admitted here there is a 100% chances that there will be a negligence in taking care of the patient never admit any of your loved once here being doctors and some staff are good but still you will get some trouble to your patients because of the Staff negligence this has been personally faced by me 
5 stars,"It is a good and well maintained hospital. All the staffs here have an excellent hospitality. I would like to thank Dr Sadique Khan, other Doctors and staff for their wonderful service to my uncle who was a patient in Welfare Multispeciality Hospital. Keep going guys. Thanks alot. "
5 stars,"THE BEst Hospital with excellent staff members right from Dr.Saadique (May Allah swt gv him a very long and peaceful life))till didis..i mean those who do other work...all r really v joyful and helpful...a very reliable place for ones precious life....I really appreciate the entire staff starting from the reception till the sisters and brothers employed there...everybody is such a sweet soul.
Even counsellors r excellent in their work.
i would mention Ms.Nagma the admin of the hosp too a very sweet and caring person.
Even Bro Ayaan and Rampal were very helpful throughout our journey there.
Not forget to mention Dr.saadiques Dad whose also a very sweet caring person.
I would definitely recommend these drs and hosp to every person who considers their lives to b precious.
We had a very good experience here last week so would request everybody those who r in need of drs or medication or hosp plz dont waste ur time anywhere else ..rather visit this hosp once...
This is tge first hosp and first dr.whos not at all greedy.They dont run after money but run after patients treatment.
These words r coming from my heart.Really thankful to Dr.Saadique and his entire staff for all the cooperation and treatment given to my daughter.
God Bless ..... "
5 stars,"Well equipped hospital with excellent services. Doctor and staffs are very cooperative, always taking care of paitient. I highly recommend if any one looking for multi speciality hospital. "
5 stars,"Xcellnt hospital ... Allah swt gave shifa in dr sadiqs hand also vry caring staff....may Allah grant dr sadiq a grand success in both world....its one of vry reasonable hospital in pune kondwa...dr sadiq gudluck to u n ur staff,, "
5 stars,"Excellent out patient & in patient service.
We’ll trained staff .And last but not the least managed professionally by Dr Sadiqe. "
5 stars,My sis was dealing with kidney stone.......now she is cured completely special thanks to Dr Sadique my sister is completely fine...😊 … 
5 stars,Dr Sadique khan is the best doctor and he is the best emergency provider...... good staffs all kinds of facilities are available....i recommend you to visit this hospital........ 
1 star,Worst experience..waste of money charges are high but compared to that facilities are very poor 
5 stars,Thanks for providing best day care services ....hospital is very clean and best treatment provided by Dr Sadique..... 
5 stars,Thankyou so much Dr Sadique khan for providing best treatment I was recovered from dengue my platelets were very low .......and also the staffs are good 
