Rating,Review
1 star,"😡Worst Hospital ever visited, greedy people💸💵💰, They only need a person with insurance.
cockroaches are scrolling everywhere in the hospital😞.
The staff was creating too much noise at night speaking on the phone📱😞.
They stole my phone charger as well.
Don't visit this hospital ever 😡. "
5 stars,Nice and friendly Doctors. Good treatment  and affordable price than other hospitals 
1 star,"Worst experience ever with yashorahi....very very bad service...uneducated sisters dnt have ethics to talk n even dnt care to response to anything
Jst busy in chating with each other
Dnt hv proper experience. Very bad service. "
2 stars,Doctors are friendly is the only good point here. Good for usual medical treatment like fever however I don't recommend it for serious treatment. 
4 stars,On road with nice doctors they are happy to help.. With low price than others in near by area's 
1 star,I had very bad experience with Yashorahi. Dr. not available on time. Not given proper treatment Don't waste your money. 
5 stars,Excellent hospital affordable with prize and also good caring and nice treatment and also neat and clean hospital ......best experience 
5 stars,Nice hospital 
3 stars,Play hospital for emergency 
4 stars,Yashorahi Hospital 
4 stars,None
5 stars,None
4 stars,None
1 star,None
5 stars,None
5 stars,None
5 stars,None
2 stars,None
5 stars,None
5 stars,None
3 stars,None
5 stars,None
5 stars,None
1 star,None
5 stars,None
