Rating,Review
5 stars,"My daughter was sick with high grade fever and was admitted to Yog hospital. My neighbour and friends suggested to consult Dr Anupama Tapadia and Dr Abhijeet Darak. I had best experience from these doctors. They have all the medical facilities to treat critical patients. Very friendly and helpful atmosphere in the hospital,  staffs are very polite and professional. "
5 stars,"I am writing this review for Dr. Rajratna Darak (Gynecologist).
Ma'am, you are an excellent, energetic and one of the most empathetic doctor we have ever consulted with. Your understanding & caring nature, terrific subject knowledge and friendly behavior with the patient separates you from the rest. We would like to express our strong gratitude for your utmost care, love and support during the entire duration of pregnancy to delivery.

I am equally thankful to Dr. Anupana Tapadia (paediatrician and neonatologist) for her support during and after delivery.
Our overall experience with Yog hospital was good.

Thank you guys! "
5 stars,"Last 5 years i am connected with Yog Hospital. I never seen such type support and helpful nature in any other hospital. Anytime they are open to support. No matter it is night or Day. Lots of time i called in midnight, they also responded and suggested medicine on whatsup... Thank you for helped Darak sir and ma'am and also Tapade ma'am for my child.. "
5 stars,"Doctors and all staff members is very caring and very cooperative. Our petiant is very critical when we admitted. Now after 20 days we get discharge.
I am very thankful to Dr. Abhijit Darak sir and all staff members "
1 star,"went there for a full body checkup on time.
First I had waited for More than half an hour.
Then the lab person came and collected my blood samples. I was asked to have breakfast. Centeen was just for name. For sonography and other tests takes much time, I had to request a Receptionist, Too much lazy receptionist. Worst experience ever. Do not prefer this hospital for even emergencies. "
5 stars,"My daughter having cough since last night, we gone hospital at 2:30 am. The doctor came & check up and give the medicine. At this time the service is available...

But only one thing regarding medical, the guy was very roudly manner. He say no medicine is available, I think he should call doctor and ask for another medicine. "
4 stars,"Visited Dr. Akshay for physiotherapy ..His gesture was very nice and patiently heard the issue. He did the physiotherapy very well and make us understand the do's and don'ts after physio session..

Overall experience was very nice.

Highly recommended for physio related issues.. "
3 stars,"For diebetis patient...it's good hospital...Dr. Abhijeet sir also good for...their patients...
About other cases of icu & all don't know that much...🙂
Bt for diebetis...good treatment...& Good suggestion of all medication.🤗🤗..
Price is also not so high...so good for diebetic patients....🤗🤗 "
5 stars,The treatment is the best and one can believe in the treatment given. I must admir each and everyone because they deserve it.Thanks for their support. 
5 stars,My experience has been very good. I have been hospitalized during Covid19. Dr. Abhijit Darak took special care and made all the necessary arrangements. My wife has been hospitalized twice but we never faced any difficulty. Dr Darak is just a phone call away for help. Other doctors are very professional and helpful. 
5 stars,"Thanks to all doctors, staff members and nurses to give proper treatment to my mother in Yog hospital .
My mother was unable to move her arms due to frozen shoulder problem.
After five days hospital treatment she is able to move her both hands
Special thanks to Dr.Darak sir, Dr Arvind sir and also thanks physician Dr.Rupnawar sir for giving proper guidance. "
5 stars,"June 2022 i was felt down floor n i got traumatic injury at my left shoulder joint  dr gave me medicines bt my pain not decrease dr advice me to go for physiotherapy. I did my physiotherapy at yog hospital .i highly recommend @Dr Akshay physiotherapist to everyone who needs physiotherapy i appreciate his knowledge n skills.
I got relief within 2to 3 physio session thankyou. "
5 stars,It's very well mannered staff good coordination with patients. All doctors assisted very well and taken good care towards patients. Overall experience is satisfactory. 
5 stars,I was diagnosed with tennis elbow due to recently active Badminton activity. Consulted Dr Amol Tapadia and he recommended me to Dr Akshya (phisio) for physiotherapy along with some medication and exercises. In the initial treatment I have started getting positive results. Thanks to the Doctors for the right treatment. 
