Name,Location,Type,Rating,Price
Chaayos Chai+Snacks=Relax,kondhwa-kh,"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, S...",4.3,250 FOR TWO
Jyoti Restaurant,kondhwa-kh,"North Indian, South Indian, Beverages, Ice Cream, Chinese, Snacks",4.3,300 FOR TWO
Cafe Zam Zam,kondhwa-kh,"Mughlai, North Indian, Chinese, Fast Food, Biryani",4.2,300 FOR TWO
Indore Streets,kondhwa-kh,"Snacks, Sweets, Beverages",3.8,100 FOR TWO
Best Belgian waffle,kondhwa-kh,"Bakery, Desserts, Beverages",4.0,300 FOR TWO
Kwality Walls Frozen Dessert and Ice Cream Shop,kondhwa-kh,"Ice Cream, Desserts",4.2,200 FOR TWO
Butterwala & Co.,kondhwa-kh,"Bakery, Fast Food, North Indian, Parsi, Mughlai, Turkish",4.1,300 FOR TWO
Haldiram's Restaurant,kondhwa-kh,"Chaat, North Indian, South Indian, Desserts, Fast Food, Beverages",4.2,300 FOR TWO
CakeZone,kondhwa-kh,"Bakery, Desserts, Sweets, Ice Cream",4.2,400 FOR TWO
Theobroma,kondhwa-kh,"Bakery, Desserts",4.6,500 FOR TWO
The Dessert Heaven - Pure Veg,kondhwa-kh,"Bakery, Desserts, Sweets, Ice Cream",4.4,200 FOR TWO
Golden Bakery,kondhwa-kh,Bakery,--,200 FOR TWO
Third Wave Coffee,kondhwa-kh,"Beverages, Desserts, Bakery",4.3,400 FOR TWO
ITC Fabelle Chocolates,kondhwa-kh,"Bakery, Desserts",4.8,600 FOR TWO
Cafe Bun Maska,kondhwa-kh,"Snacks, Beverages, Chinese",4.1,250 FOR TWO
Cafe India,kondhwa-kh,"Snacks, Street Food, Beverages",4.3,200 FOR TWO
Karim's Cafe,kondhwa-kh,"Chinese, Fast Food, Beverages",3.8,250 FOR TWO
THE WAFFLE JAR,kondhwa-kh,"Desserts, Bakery, Beverages",2.9,200 FOR TWO
Faasos - Wraps & Rolls,kondhwa-kh,"Fast Food, North Indian, Street Food, Desserts",4.2,200 FOR TWO
LunchBox - Meals and Thalis,kondhwa-kh,"North Indian, Punjabi, Biryani, Healthy Food, Jain, Thalis, Indian, Mughlai, Des...",4.2,200 FOR TWO
New diamond bakery,kondhwa-kh,"Bakery, Desserts",4.6,200 FOR TWO
Kaka Halwai Namkeens And Sweets,kondhwa-kh,"Sweets, Snacks",4.1,300 FOR TWO
Mamma's Foodie House,kondhwa-kh,"Pizzas, Fast Food",--,250 FOR TWO
S Kumar Wadewale,kondhwa-kh,Snacks,4.1,150 FOR TWO
Kings Bakers,kondhwa-kh,Bakery,--,350 FOR TWO
Thorat's Baarbeque Misal,kondhwa-kh,"Street Food, Beverages",3.2,200 FOR TWO
Kitchen Ennovation,kondhwa-kh,"Indian, North Indian",--,250 FOR TWO
Pure Veg Meals by Lunchbox,kondhwa-kh,"North Indian, Desserts, Biryani",4.0,200 FOR TWO
SLAY Coffee,kondhwa-kh,"Beverages, Desserts",4.4,200 FOR TWO
South Samrat Pure Veg ,kondhwa-kh,"North Indian, South Indian, Chinese",4.3,300 FOR TWO
Danny's Kitchen,kondhwa-kh,North Indian,--,120 FOR TWO
Cream Corner,kondhwa-kh,"Fast Food, Desserts, Bakery",4.2,300 FOR TWO
S Kumar Wadewale,kondhwa-kh,Snacks,4.1,150 FOR TWO
Kings Bakers,kondhwa-kh,Bakery,--,350 FOR TWO
Thorat's Baarbeque Misal,kondhwa-kh,"Street Food, Beverages",3.2,200 FOR TWO
Kitchen Ennovation,kondhwa-kh,"Indian, North Indian",--,250 FOR TWO
Pure Veg Meals by Lunchbox,kondhwa-kh,"North Indian, Desserts, Biryani",4.0,200 FOR TWO
SLAY Coffee,kondhwa-kh,"Beverages, Desserts",4.4,200 FOR TWO
South Samrat Pure Veg ,kondhwa-kh,"North Indian, South Indian, Chinese",4.3,300 FOR TWO
Danny's Kitchen,kondhwa-kh,North Indian,--,120 FOR TWO
Cream Corner,kondhwa-kh,"Fast Food, Desserts, Bakery",4.2,300 FOR TWO
Oota Maadi,kondhwa-kh,"South Indian, Beverages",4.2,200 FOR TWO
Haldiram's Sweets and Namkeen,kondhwa-kh,Sweets,4.3,200 FOR TWO
Merwans Cake Stop,kondhwa-kh,"Bakery, Desserts",4.5,400 FOR TWO
Ar-Razzaq Snack'S Centre	,kondhwa-kh,"Snacks, Fast Food",--,300 FOR TWO
Arkie's Born Bakers,kondhwa-kh,Bakery,4.4,300 FOR TWO
Foodies 365,kondhwa-kh,Fast Food,--,200 FOR TWO
Sweet Truth,kondhwa-kh,"Bakery, Desserts",4.3,450 FOR TWO
Bring it on Cafe,kondhwa-kh,"American, Bakery, Italian",--,300 FOR TWO
Angadpal Tiffin Service And Catering Service,kondhwa-kh,"Indian, North Indian",--,200 FOR TWO
Sardarji's Paratha & Chaap House,kondhwa-kh,"North Indian, Beverages",4.0,250 FOR TWO
KANNU KI CHAI,kondhwa-kh,"Italian, Beverages",4.5,350 FOR TWO
Kaka wadewale,kondhwa-kh,"Snacks, Chaat, Beverages",3.9,150 FOR TWO
Faasos' Signature Wraps & Rolls,kondhwa-kh,"Snacks, Beverages, Desserts, Indian",--,350 FOR TWO
Cafe Iranian,kondhwa-kh,"Beverages, Snacks, Fast Food, Indian",--,200 FOR TWO
The Brooklyn Creamery - Healthy Ice Cream,kondhwa-kh,"Desserts, Ice Cream, Healthy Food",4.3,200 FOR TWO
S.A Dosa Cafe,kondhwa-kh,"South Indian, Beverages, Fast Food",--,300 FOR TWO
We Idliwale,kondhwa-kh,South Indian,4.2,300 FOR TWO
Kanha,kondhwa-kh,"South Indian, North Indian, Chinese, Indian, Desserts, Beverages",4.3,300 FOR TWO
Nothing But Chicken,kondhwa-kh,"Salads, Fast Food",4.3,400 FOR TWO
Bliss Bakery & Cafe,kondhwa-kh,"Desserts, Bakery",4.2,350 FOR TWO
OMKAR CHINESE,kondhwa-kh,"Chinese, Snacks",--,300 FOR TWO
Tasty Bites,kondhwa-kh,Chaat,--,200 FOR TWO
FNP Cakes,kondhwa-kh,"Bakery, Desserts",--,499 FOR TWO
Chitale Bandhu Mithaiwale,kondhwa-kh,"Sweets, Snacks",4.7,400 FOR TWO
Karachi Sweet Mart,kondhwa-kh,"Desserts, Indian, Street Food",4.5,450 FOR TWO
Hite Bar,kondhwa-kh,Fast Food,4.2,300 FOR TWO
Chai Point,kondhwa-kh,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",4.5,150 FOR TWO
Noble Bake Food,kondhwa-kh,Bakery,4.5,100 FOR TWO
Dhokla House Sweets and Namkeen,kondhwa-kh,Snacks,4.2,150 FOR TWO
SINDHI BREAKFAST CORNER,kondhwa-kh,"Sindhi, South Indian",--,100 FOR TWO
A La Mode,kondhwa-kh,"Desserts, Bakery",4.9,350 FOR TWO
Beer & Beans,kondhwa-kh,"Italian, Continental, Thai, Pan-Asian, Mexican, Mediterranean",4.2,1000 FOR TWO
GUNBOTE FARSAN HOUSE,kondhwa-kh,Indian,--,180 FOR TWO
Kiosk Kaffee,kondhwa-kh,Beverages,--,200 FOR TWO
Nandu's Paratha,kondhwa-kh,North Indian,3.7,300 FOR TWO
Marzorin Express,kondhwa-kh,"Bakery, Desserts, Beverages, Snacks",4.3,300 FOR TWO
Crazy Cheezy Burger,kondhwa-kh,"Pizzas, Pastas",--,400 FOR TWO
Crazy Cheesy ( Sakunke),kondhwa-kh,"Pizzas, Pastas, American, Italian",4.1,500 FOR TWO
The DJ DAD Cafe,kondhwa-kh,"American, Fast Food",--,200 FOR TWO
Peppy Parathas & Rolls By Chai Point,kondhwa-kh,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",--,150 FOR TWO
Puneri Katta,kondhwa-kh,"Snacks, Fast Food, Maharashtrian",4.1,200 FOR TWO
Enchante By Chai Point,kondhwa-kh,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",--,150 FOR TWO
MAURYA VEG,kondhwa-kh,"North Indian, Chinese, Snacks, Desserts",4.1,600 FOR TWO
Southex Idli,kondhwa-kh,"South Indian, Snacks, Beverages",--,50 FOR TWO
McDonald's,kondhwa-kh,"Burgers, Beverages, Cafe, Desserts",4.3,400 FOR TWO
Maggie In a Bowl,kondhwa-kh,"Bhutanese, Nepalese, North Eastern, Tibetan",3.4,250 FOR TWO
1989 CAFE,kondhwa-kh,Hyderabadi,--,100 FOR TWO
NAADBRAMHA IDLI,kondhwa-kh,"South Indian, Beverages",--,100 FOR TWO
Swiss Bakes,kondhwa-kh,"Desserts, Bakery",4.0,250 FOR TWO
Grub Jars,kondhwa-kh,"Desserts, Beverages",4.6,400 FOR TWO
FLower Aura,kondhwa-kh,"Bakery, Desserts",--,1000 FOR TWO
The Good Food Factory,kondhwa-kh,"South Indian, Snacks",--,150 FOR TWO
Y K WADEWALE,kondhwa-kh,Snacks,--,40 FOR TWO
Cafe peter,kondhwa-kh,"Desserts, Continental, Korean",3.9,300 FOR TWO
THE MOMO BOX,kondhwa-kh,"Chinese, Tibetan, Nepalese, Pizzas, Snacks, Beverages",3.6,200 FOR TWO
S kumar wadewale & premacha chaha,kondhwa-kh,"Fast Food, Snacks, Beverages",4.2,150 FOR TWO
PANDIT CHAHA,kondhwa-kh,"Snacks, Fast Food",--,250 FOR TWO
Pandit Pan Pratisthan,kondhwa-kh,"Paan, Combo",--,100 FOR TWO
Cafe Paradise,kondhwa-kh,"Chinese, Snacks, Beverages",--,200 FOR TWO
Meet Cakes,kondhwa-kh,"Bakery, Desserts",--,400 FOR TWO
Tanishka Cakes & Cafe,kondhwa-kh,"Bakery, Desserts, Fast Food, Beverages",--,400 FOR TWO
Nadbramha Idli,kondhwa-kh,South Indian,4.7,150 FOR TWO
Govinda's,kondhwa-kh,"Desserts, Ice Cream",4.0,700 FOR TWO
Anna Idli,kondhwa-kh,"South Indian, Andhra",4.4,300 FOR TWO
The Burger Park,kondhwa-kh,Chinese,--,200 FOR TWO
"Swaad Lucknowi Chaat, Paratha And More...",kondhwa-kh,Indian,4.0,300 FOR TWO
Shreeji Ice Cream,kondhwa-kh,Ice Cream,--,150 FOR TWO
RED CHILLIES VEG,kondhwa-kh,"North Indian, South Indian, Chinese, Snacks, Punjabi",4.0,130 FOR TWO
Irani cafe,kondhwa-kh,"Snacks, Bakery, Fast Food, Desserts, Beverages, Indian, Street Food",4.3,200 FOR TWO
Mogambo Fries,kondhwa-kh,Snacks,--,250 FOR TWO
Peter's Pan,kondhwa-kh,"American, Italian, Beverages",3.5,400 FOR TWO
Just Burgers,kondhwa-kh,"Fast Food, Indian",--,300 FOR TWO
SDKz Healthy Food,kondhwa-kh,Snacks,--,220 FOR TWO
Fantasy Bakery N Patisserie,kondhwa-kh,"Bakery, Desserts",--,100 FOR TWO
Divya D Cafe,kondhwa-kh,"Pizzas, Italian, Snacks",3.2,250 FOR TWO
SUPERMAN MOMOS,kondhwa-kh,"Chinese, Tibetan, Nepalese, Tandoor, Mongolian, Desserts, Beverages",3.8,200 FOR TWO
Cafe Quick Stories,kondhwa-kh,"Italian, Fast Food, Snacks, Bakery, Beverages",4.1,300 FOR TWO
Dolma Aunty Momos,kondhwa-kh,"Nepalese, Chinese, Tibetan, Pizzas, Snacks, Beverages",4.0,300 FOR TWO
Dulari Cafe House,kondhwa-kh,"Beverages, Snacks, Fast Food",--,200 FOR TWO
Hungry Happening,kondhwa-kh,"North Indian, Seafood, Fast Food",--,400 FOR TWO
Flavogo - Your Taste For All Seasons,kondhwa-kh,"Beverages, Fast Food, Chinese",--,300 FOR TWO
Live Cake,kondhwa-kh,Desserts,--,300 FOR TWO
Golden Cakes,kondhwa-kh,Desserts,--,800 FOR TWO
Krushna Pure Veg,kondhwa-kh,"South Indian, Indian, Chinese",4.3,300 FOR TWO
McDonald's Gourmet Burger Collection,kondhwa-kh,"Burgers, Beverages, Cafe, Desserts",3.9,600 FOR TWO
Yenna Dosa,kondhwa-kh,South Indian,4.4,300 FOR TWO
McCafe by McDonald's,kondhwa-kh,"American, Beverages, Desserts",--,250 FOR TWO
Indore Streets,kondhwa-lh,"Snacks, Sweets, Beverages",3.8,100 FOR TWO
Jyoti Restaurant,kondhwa-lh,"North Indian, South Indian, Beverages, Ice Cream, Chinese, Snacks",4.3,300 FOR TWO
Cafe Zam Zam,kondhwa-lh,"Mughlai, North Indian, Chinese, Fast Food, Biryani",4.2,300 FOR TWO
Chaayos Chai+Snacks=Relax,kondhwa-lh,"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, S...",4.3,250 FOR TWO
Best Belgian waffle,kondhwa-lh,"Bakery, Desserts, Beverages",4.0,300 FOR TWO
Kwality Walls Frozen Dessert and Ice Cream Shop,kondhwa-lh,"Ice Cream, Desserts",4.2,200 FOR TWO
Butterwala & Co.,kondhwa-lh,"Bakery, Fast Food, North Indian, Parsi, Mughlai, Turkish",4.1,300 FOR TWO
Haldiram's Restaurant,kondhwa-lh,"Chaat, North Indian, South Indian, Desserts, Fast Food, Beverages",4.2,300 FOR TWO
CakeZone,kondhwa-lh,"Bakery, Desserts, Sweets, Ice Cream",4.2,400 FOR TWO
Cafe India,kondhwa-lh,"Snacks, Street Food, Beverages",4.3,200 FOR TWO
The Dessert Heaven - Pure Veg,kondhwa-lh,"Bakery, Desserts, Sweets, Ice Cream",4.4,200 FOR TWO
Golden Bakery,kondhwa-lh,Bakery,--,200 FOR TWO
Mad Momos,kondhwa-lh,"Chinese, Tibetan, Nepalese, Beverages, Pizzas, Snacks",3.8,200 FOR TWO
