,Name,Type,Rating,Delivery Time,Price
0,Malvan Samudraa,"Seafood, Malwani",4.0,29 MINS,500 FOR TWO
1,Burger King,"Burgers, American",4.0,30 MINS,350 FOR TWO
2,McDonald's,"Burgers, Beverages, Cafe, Desserts",4.3,21 MINS,400 FOR TWO
3,Khandeshi Darbar,Indian,--,34 MINS,300 FOR TWO
4,Aroma's Hyderabad House,"Biryani, Mughlai, North Indian, Chinese",4.1,24 MINS,500 FOR TWO
5,Varuna Pure Veg,"North Indian, Punjabi, Chinese, Biryani",4.0,27 MINS,250 FOR TWO
6,Maha Khavaiyye (Wakad),Maharashtrian,4.0,32 MINS,250 FOR TWO
7,The Chinese Factory,"Chinese, Asian, Beverages, Desserts, Snacks, Rs.40 Off",4.3,31 MINS,200 FOR TWO
8,Apricot Veg,"Chinese, North Indian",4.1,31 MINS,350 FOR TWO
9,KGN Xprs,"Tandoor, Biryani, North Indian, Chinese",3.9,28 MINS,600 FOR TWO
10,Mad Over Bowls (MOB),"Chinese, Asian, Beverages",4.2,26 MINS,200 FOR TWO
11,Homely Meals @69,Home Food,4.1,27 MINS,150 FOR TWO
12,Spring Onion,"Chinese, Thai, Pan-Asian, Seafood",4.2,30 MINS,500 FOR TWO
13,Pizza Hut,Pizzas,3.6,35 MINS,350 FOR TWO
14,Hotel Kunal,"North Indian, Chinese",3.9,26 MINS,500 FOR TWO
15,Saffron The Exotic Retreat,"Biryani, Mughlai, Indian, Kebabs, Chinese",4.3,30 MINS,150 FOR TWO
16,PK Biryani House (Deccan),"Biryani, Maharashtrian, North Indian, Mughlai, Hyderabadi, Indian",4.0,27 MINS,400 FOR TWO
17,MH 12 Pav Bhaji,"Snacks, Pizzas, Beverages, Street Food",4.2,24 MINS,250 FOR TWO
18,Kok Pa Chinese,"Chinese, Asian",4.1,26 MINS,250 FOR TWO
19,Durvankur Dining Hall,Maharashtrian,--,27 MINS,600 FOR TWO
20,Chaitanya Paranthas,"North Indian, Punjabi, Chinese, Thalis, Beverages, Desserts",4.1,27 MINS,250 FOR TWO
21,Panchali Restaurant,North Indian,4.2,20 MINS,500 FOR TWO
22,Oh! Calcutta,Bengali,4.2,40 MINS,800 FOR TWO
23,Shahji's Parantha House (Laxmi Road),North Indian,4.3,29 MINS,400 FOR TWO
24,Oven Story Pizza,"Pizzas, Italian",4.1,25 MINS,400 FOR TWO
25,Hotel Bismillah,North Indian,3.9,29 MINS,300 FOR TWO
26,Faasos - Wraps & Rolls,"Fast Food, North Indian, Street Food, Desserts",4.4,23 MINS,200 FOR TWO
27,Pizza Hut,Pizzas,3.7,31 MINS,350 FOR TWO
28,Oye Kiddan,"Punjabi, North Indian, Desserts, Thalis",4.2,38 MINS,250 FOR TWO
29,Gokul Chinese,Chinese,3.9,25 MINS,300 FOR TWO
30,Vrudheshwar Pure Veg,North Indian,4.0,24 MINS,300 FOR TWO
31,McDonald's,"Burgers, Beverages, Cafe, Desserts",4.2,23 MINS,400 FOR TWO
32,M D FAMILY RESTAURANT,"Indian, Fast Food",--,33 MINS,500 FOR TWO
33,Hotel Silver Oak,North Indian,3.9,35 MINS,100 FOR TWO
34,Burger King,"Burgers, American",4.1,34 MINS,350 FOR TWO
35,Hotel Al Zaika,"North Indian, Chinese, Punjabi, Desserts, Beverages",3.8,32 MINS,500 FOR TWO
36,McDonald's,"Burgers, Beverages, Cafe, Desserts",4.3,33 MINS,400 FOR TWO
37,EKACH PELA,"Chinese, Beverages",--,44 MINS,500 FOR TWO
38,Pranam Restaurant,"Chinese, North Indian, Fast Food",3.8,39 MINS,200 FOR TWO
39,Hotel Sarthak,"North Indian, South Indian, Hyderabadi, Kerala, Biryani, Seafood, Chinese, Punja...",3.6,37 MINS,350 FOR TWO
40,Sarthak Foods,"Indian, Chinese, North Indian",--,49 MINS,300 FOR TWO
41,Biryani King,"Mughlai, North Indian, Chinese",3.5,34 MINS,500 FOR TWO
42,Roll Kings,"Biryani, Indian",3.4,36 MINS,400 FOR TWO
43,Malabar,Indian,3.4,32 MINS,400 FOR TWO
44,Zaika Biryani,"Biryani, Fast Food",--,34 MINS,400 FOR TWO
45,Hotel Lazeez,Seafood,3.4,35 MINS,450 FOR TWO
46,CIRCLE OF CRUST,"Italian, Desserts, Beverages",4.1,39 MINS,500 FOR TWO
47,Tandoor Point,North Indian,3.6,33 MINS,400 FOR TWO
48,RITIKA RESTAURANT,"South Indian, Chinese, Beverages",--,47 MINS,200 FOR TWO
49,BURGER & PIZZA EXPRESS,Pizzas,--,49 MINS,400 FOR TWO
50,Pinaz Chocolate,Desserts,--,50 MINS,350 FOR TWO
51,Qing Qong,"Chinese, Thai, Pastas, Beverages",3.7,61 MINS,500 FOR TWO
52,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",4.1,52 MINS,500 FOR TWO
53,The Good Bowl,"North Indian, Punjabi, Biryani, Chinese, Beverages, Desserts, Jain, Indian, Hyde...",4.1,50 MINS,400 FOR TWO
54,The Biryani Life,"Biryani, Hyderabadi, Lucknowi, North Indian, Mughlai, Desserts",3.8,49 MINS,250 FOR TWO
55,Mandarin Oak- The Heavenly Chinese,"Chinese, Oriental, Pan-Asian, Snacks",4.0,56 MINS,350 FOR TWO
56,Sweet Truth - Cake and Desserts,"Bakery, Desserts",4.3,49 MINS,450 FOR TWO
57,The Brooklyn Creamery - Healthy Ice Cream,"Desserts, Ice Cream, Healthy Food",--,45 MINS,200 FOR TWO
58,Pure Veg Meals by Lunchbox,"North Indian, Desserts, Biryani",4.0,52 MINS,200 FOR TWO
59,Firangi Bake,"Italian, Mexican, Pastas, Ice Cream",4.3,53 MINS,400 FOR TWO
60,Faasos' Signature Wraps & Rolls,"Snacks, Beverages, Desserts, Indian",4.2,51 MINS,350 FOR TWO
61,Best Belgian waffle,"Waffle, Beverages, Desserts",4.0,52 MINS,250 FOR TWO
62,Reddy's Restaurant,"Chinese, North Indian, Biryani",3.5,47 MINS,300 FOR TWO
63,La Cheezy,"Pizzas, Italian, American, Beverages",--,53 MINS,250 FOR TWO
64,Hotel Bliss Family Restaurant,Indian,--,25 MINS,300 FOR TWO
65,Annapurna Pure Veg,"Indian, Chinese",3.9,20 MINS,300 FOR TWO
66,Konkan Kinara,Seafood,3.8,30 MINS,700 FOR TWO
67,8A ShetMala,"Biryani, North Indian, Chinese, Tandoor",4.6,49 MINS,400 FOR TWO
68,"Hotel Maaz Gaon, Veg & Non-Veg Family  Restaurant",Indian,--,22 MINS,300 FOR TWO
69,HOTEL GOLDEN TRIO,"North Indian, Chinese, Tandoor",--,33 MINS,800 FOR TWO
70,Ramesh Dining Hall,Maharashtrian,4.4,26 MINS,200 FOR TWO
71,PIZZA DESTINATION,"Pizzas, Snacks",3.8,25 MINS,300 FOR TWO
72,Hotel Garva,North Indian,3.6,24 MINS,400 FOR TWO
73,RAJMAHAL ,"North Indian, Chinese, Tandoor",3.8,23 MINS,400 FOR TWO
74,"Dwarka Tandoor, Kabab & Biryani House","North Indian, Chinese, Tandoor",4.0,25 MINS,500 FOR TWO
75,Garva Biryani and  Tandoori Point,"Biryani, Tandoor",--,20 MINS,300 FOR TWO
76,Nath Juice And Cafe	,"Bakery, Beverages",--,28 MINS,200 FOR TWO
77,Pokket Cafe,"Pizzas, Snacks, Desserts, Beverages",3.9,37 MINS,350 FOR TWO
78,HOTEL SHETKARI GARDEN,"Indian, Chinese, North Indian, Tandoor",--,24 MINS,300 FOR TWO
79,ARYANS CAKE SHOP,Bakery,--,25 MINS,300 FOR TWO
80,Slow Motion Kitchen,"Awadhi, Biryani, Mughlai, North Indian, Kebabs",4.6,31 MINS,800 FOR TWO
81,Natural Ice Cream,"Ice Cream, Desserts",4.8,17 MINS,150 FOR TWO
82,Aroma's Hyderabad House,"Biryani, Mughlai, North Indian, Chinese",4.0,29 MINS,500 FOR TWO
83,Bebe Di Rasoi - Punjabi,"North Indian, Biryani, Chinese, Snacks",4.0,31 MINS,300 FOR TWO
84,PK Biryani House (Baner),"Maharashtrian, Biryani, Indian, Tandoor",3.8,31 MINS,400 FOR TWO
85,Burger King,"Burgers, American",4.1,28 MINS,350 FOR TWO
86,Hudson Chopsticks,"Chinese, Pan-Asian",4.2,30 MINS,500 FOR TWO
87,Chaitanya Paranthas,"North Indian, Punjabi, Chinese, Combo, Thalis, Beverages, Desserts",4.1,42 MINS,200 FOR TWO
88,McDonald's,"Burgers, Beverages, Cafe, Desserts",4.4,25 MINS,400 FOR TWO
89,FLAVOURS OF ANDHRA,"Biryani, Andhra, Hyderabadi, North Indian, Chinese, Beverages",3.7,25 MINS,500 FOR TWO
90,Pizza Hut,Pizzas,3.3,35 MINS,350 FOR TWO
91,KEKWALE,Bakery,--,26 MINS,349 FOR TWO
92,The Quick Wok,"Chinese, Thai, Desserts, Fast Food",4.0,27 MINS,400 FOR TWO
93,Biriyani House veg non veg,Biryani,2.9,24 MINS,300 FOR TWO
94,KFC,"Burgers, Biryani, American, Snacks, Fast Food",4.0,25 MINS,400 FOR TWO
95,Signature,"Mughlai, Afghani, North Indian",3.9,31 MINS,500 FOR TWO
96,Al-Baik The Royal Biryani,"Biryani, North Indian, Chinese",--,36 MINS,200 FOR TWO
97,New Mayur Pure Veg,"Chinese, North Indian, Maharashtrian, Snacks",--,33 MINS,500 FOR TWO
98,New Shangai Lunch Home Chinese Veg and Nonveg,Chinese,--,27 MINS,100 FOR TWO
99,8A ShetMala,"Biryani, North Indian, Chinese, Tandoor",4.6,46 MINS,400 FOR TWO
100,5 To 5,"North Indian, Chinese",--,32 MINS,500 FOR TWO
101,Ramdev Dhaba Pure Veg,"Rajasthani, Indian, Chinese",4.0,36 MINS,450 FOR TWO
102,KING OF FAST FOOD AND CHINESE,Indian,3.7,31 MINS,280 FOR TWO
103,Freshly Italy Pizza and Cafe,"Italian, Snacks",3.7,40 MINS,300 FOR TWO
104,The Galaxy Cafe,"Fast Food, Beverages",3.8,39 MINS,300 FOR TWO
105,Panchvati dining Hall,Maharashtrian,3.6,34 MINS,200 FOR TWO
106,NEW MARATHA BIRYANI HOUSE,Chinese,3.0,34 MINS,350 FOR TWO
107,Hotel vedant,"Tandoor, Chinese, Kebabs",2.5,33 MINS,200 FOR TWO
108,McDonald's,"Burgers, Beverages, Cafe, Desserts",4.2,30 MINS,400 FOR TWO
109,Hotel Sher-E-Punjab,"North Indian, Maharashtrian",4.0,30 MINS,300 FOR TWO
110,Hotel mahi,"North Indian, Biryani",--,33 MINS,300 FOR TWO
111,Chakan Biryani House,"North Indian, Biryani, Indian",3.5,29 MINS,140 FOR TWO
112,McDonald's,"Burgers, Beverages, Cafe, Desserts",4.3,30 MINS,400 FOR TWO
